"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"AJ000037912","1955-01","39.9","48.5","-16.0","DJAFARHAN, AJ","2",",I","1",",I","0",",I","7.8",",,I,01,","9.9",",,,I"
"AJ000037912","1955-02","39.9","48.5","-16.0","DJAFARHAN, AJ","4","2,I","1","2,I","0","2,I","4.8","2,,I,23,","7.2","2,,,I"
"AJ000037912","1955-03","39.9","48.5","-16.0","DJAFARHAN, AJ","7","1,I","4","1,I","0","1,I","11.3","1,,I,08,","27.1","1,,,I"
"AJ000037912","1955-04","39.9","48.5","-16.0","DJAFARHAN, AJ","4",",I","3",",I","0",",I","10.7",",,I,10,","19.2",",,,I"
"AJ000037912","1955-05","39.9","48.5","-16.0","DJAFARHAN, AJ","7",",I","2",",I","0",",I","16.4",",,I,26,","26.6",",,,I"
"AJ000037912","1955-06","39.9","48.5","-16.0","DJAFARHAN, AJ","4",",I","2",",I","0",",I","7.3",",,I,09,","18.0",",,,I"
"AJ000037912","1955-07","39.9","48.5","-16.0","DJAFARHAN, AJ","1","1,I","1","1,I","0","1,I","9.7","1,,I,29,","9.7","1,,,I"
"AJ000037912","1955-08","39.9","48.5","-16.0","DJAFARHAN, AJ","2",",I","1",",I","0",",I","2.6",",,I,16,","4.1",",,,I"
"AJ000037912","1955-09","39.9","48.5","-16.0","DJAFARHAN, AJ","4",",I","2",",I","0",",I","17.0",",,I,27,","26.3",",,,I"
"AJ000037912","1955-10","39.9","48.5","-16.0","DJAFARHAN, AJ","1",",I","1",",I","0",",I","5.4",",,I,24,","5.4",",,,I"
"AJ000037912","1955-11","39.9","48.5","-16.0","DJAFARHAN, AJ","8","2,I","6","2,I","0","2,I","12.7","2,,I,04,","43.2","2,,,I"
"AJ000037912","1955-12","39.9","48.5","-16.0","DJAFARHAN, AJ","5","1,I","3","1,I","0","1,I","11.3","1,,I,01,","25.5","1,,,I"
"AJ000037912","1956-01","39.9","48.5","-16.0","DJAFARHAN, AJ","7",",I","2",",I","0",",I","7.9",",,I,13,","17.5",",,,I"
"AJ000037912","1956-02","39.9","48.5","-16.0","DJAFARHAN, AJ","11","2,I","6","2,I","0","2,I","22.3","2,,I,29,","58.6","2,,,I"
"AJ000037912","1956-03","39.9","48.5","-16.0","DJAFARHAN, AJ","11",",I","6",",I","0",",I","19.2",",,I,18,","67.0",",,,I"
"AJ000037912","1956-04","39.9","48.5","-16.0","DJAFARHAN, AJ","7",",I","5",",I","0",",I","14.1",",,I,18,","44.3",",,,I"
"AJ000037912","1956-05","39.9","48.5","-16.0","DJAFARHAN, AJ","5",",I","4",",I","0",",I","19.1",",,I,26,","36.1",",,,I"
"AJ000037912","1956-06","39.9","48.5","-16.0","DJAFARHAN, AJ","3","2,I","1","2,I","0","2,I","9.0","2,,I,03,","11.5","2,,,I"
"AJ000037912","1956-08","39.9","48.5","-16.0","DJAFARHAN, AJ","1","2,I","1","2,I","0","2,I","4.4","2,,I,11,","4.6","2,,,I"
"AJ000037912","1956-11","39.9","48.5","-16.0","DJAFARHAN, AJ","3","2,I","0","2,I","0","2,I","2.2","2,,I,26,","5.0","2,,,I"
"AJ000037912","1956-12","39.9","48.5","-16.0","DJAFARHAN, AJ","9","4,I","3","4,I","0","4,I","11.9","4,,I,22,","26.4","4,,,I"
"AJ000037912","1957-01","39.9","48.5","-16.0","DJAFARHAN, AJ","13",",I","6",",I","0",",I","12.3",",,I,30,","55.3",",,,I"
"AJ000037912","1957-02","39.9","48.5","-16.0","DJAFARHAN, AJ","8",",I","4",",I","0",",I","8.1",",,I,03,","22.0",",,,I"
"AJ000037912","1957-03","39.9","48.5","-16.0","DJAFARHAN, AJ","10",",I","4",",I","0",",I","10.6",",,I,27,","35.1",",,,I"
"AJ000037912","1957-04","39.9","48.5","-16.0","DJAFARHAN, AJ","2",",I","2",",I","0",",I","9.9",",,I,01,","13.6",",,,I"
"AJ000037912","1957-05","39.9","48.5","-16.0","DJAFARHAN, AJ","4","1,I","2","1,I","0","1,I","11.5","1,,I,29,","16.7","1,,,I"
"AJ000037912","1957-06","39.9","48.5","-16.0","DJAFARHAN, AJ","3","1,I","2","1,I","0","1,I","5.9","1,,I,04,","9.7","1,,,I"
"AJ000037912","1957-07","39.9","48.5","-16.0","DJAFARHAN, AJ","2","1,I","1","1,I","0","1,I","3.7","1,,I,04,","4.2","1,,,I"
"AJ000037912","1957-08","39.9","48.5","-16.0","DJAFARHAN, AJ","2",",I","2",",I","0",",I","6.3",",,I,14,","11.8",",,,I"
"AJ000037912","1957-09","39.9","48.5","-16.0","DJAFARHAN, AJ","3","1,I","2","1,I","0","1,I","9.2","1,,I,30,","13.9","1,,,I"
"AJ000037912","1957-10","39.9","48.5","-16.0","DJAFARHAN, AJ","5","1,I","4","1,I","1","1,I","39.9","1,,I,28,","62.2","1,,,I"
"AJ000037912","1957-11","39.9","48.5","-16.0","DJAFARHAN, AJ","8",",I","2",",I","0",",I","4.3",",,I,21,","15.3",",,,I"
"AJ000037912","1957-12","39.9","48.5","-16.0","DJAFARHAN, AJ","5",",I","1",",I","1",",I","26.8",",,I,20,","29.1",",,,I"
"AJ000037912","1958-01","39.9","48.5","-16.0","DJAFARHAN, AJ","5",",I","3",",I","0",",I","8.2",",,I,05,","20.2",",,,I"
"AJ000037912","1958-02","39.9","48.5","-16.0","DJAFARHAN, AJ","2","1,I","0","1,I","0","1,I","1.1","1,,I,23,","2.4","1,,,I"
"AJ000037912","1958-03","39.9","48.5","-16.0","DJAFARHAN, AJ","8",",I","2",",I","0",",I","9.0",",,I,26,","19.9",",,,I"
"AJ000037912","1958-04","39.9","48.5","-16.0","DJAFARHAN, AJ","10",",I","2",",I","0",",I","8.1",",,I,05,","23.7",",,,I"
"AJ000037912","1958-05","39.9","48.5","-16.0","DJAFARHAN, AJ","1","1,I","0","1,I","0","1,I","0.6","1,,I,03,","0.6","1,,,I"
"AJ000037912","1958-06","39.9","48.5","-16.0","DJAFARHAN, AJ","4","1,I","1","1,I","0","1,I","5.1","1,,I,11,","7.8","1,,,I"
"AJ000037912","1958-07","39.9","48.5","-16.0","DJAFARHAN, AJ","4",",I","4",",I","0",",I","14.6",",,I,09,","25.6",",,,I"
"AJ000037912","1958-08","39.9","48.5","-16.0","DJAFARHAN, AJ","1",",I","1",",I","0",",I","19.9",",,I,03,","19.9",",,,I"
"AJ000037912","1958-09","39.9","48.5","-16.0","DJAFARHAN, AJ","4",",I","3",",I","0",",I","4.7",",,I,19,","12.5",",,,I"
"AJ000037912","1958-10","39.9","48.5","-16.0","DJAFARHAN, AJ","7","1,I","4","1,I","0","1,I","18.0","1,,I,28,","39.3","1,,,I"
"AJ000037912","1958-11","39.9","48.5","-16.0","DJAFARHAN, AJ","6","1,I","5","1,I","0","1,I","13.2","1,,I,07,","29.7","1,,,I"
"AJ000037912","1958-12","39.9","48.5","-16.0","DJAFARHAN, AJ","8",",I","5",",I","0",",I","19.5",",,I,01,","44.5",",,,I"
"AJ000037912","1959-02","39.9","48.5","-16.0","DJAFARHAN, AJ","6",",I","3",",I","0",",I","7.6",",,I,25,","21.8",",,,I"
"AJ000037912","1959-03","39.9","48.5","-16.0","DJAFARHAN, AJ","14",",I","5",",I","0",",I","9.5",",,I,06,","43.0",",,,I"
"AJ000037912","1959-04","39.9","48.5","-16.0","DJAFARHAN, AJ","4","1,I","1","1,I","0","1,I","4.7","1,,I,05,","6.4","1,,,I"
"AJ000037912","1959-05","39.9","48.5","-16.0","DJAFARHAN, AJ","2","1,I","1","1,I","0","1,I","5.4","1,,I,23,","7.8","1,,,I"
"AJ000037912","1959-06","39.9","48.5","-16.0","DJAFARHAN, AJ","4","1,I","2","1,I","0","1,I","5.5","1,,I,02,","10.7","1,,,I"
"AJ000037912","1959-07","39.9","48.5","-16.0","DJAFARHAN, AJ","0",",I","0",",I","0",",I","0.0",",T,I,30,+","0.0",",T,,I"
"AJ000037912","1959-08","39.9","48.5","-16.0","DJAFARHAN, AJ","1",",I","0",",I","0",",I","0.7",",,I,25,","0.7",",,,I"
"AJ000037912","1959-09","39.9","48.5","-16.0","DJAFARHAN, AJ","1","1,I","0","1,I","0","1,I","2.2","1,,I,23,","2.5","1,,,I"
"AJ000037912","1959-10","39.9","48.5","-16.0","DJAFARHAN, AJ","6","1,I","2","1,I","0","1,I","5.0","1,,I,15,","11.6","1,,,I"
"AJ000037912","1959-11","39.9","48.5","-16.0","DJAFARHAN, AJ","11",",I","5",",I","0",",I","13.7",",,I,19,","42.4",",,,I"
"AJ000037912","1959-12","39.9","48.5","-16.0","DJAFARHAN, AJ","3","3,I","2","3,I","0","3,I","4.3","3,,I,25,","7.8","3,,,I"
"AJ000037912","1960-01","39.9","48.5","-16.0","DJAFARHAN, AJ","5","1,I","2","1,I","0","1,I","9.3","1,,I,10,","18.4","1,,,I"
"AJ000037912","1960-02","39.9","48.5","-16.0","DJAFARHAN, AJ","4","3,I","2","3,I","0","3,I","4.9","3,,I,03,","10.2","3,,,I"
