"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00091240","1980-09","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","","","13",",a","12",",a","1",",a","","","","","","","","","","","","","39.2",",,a,15,","","","","","","","147.0",",,,a","","","","","",""
"ASN00091240","1980-10","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","0.0","1,a","11",",a","9",",a","0",",a","0","1,a","1","1,a","0",",a","0",",a","0",",a","-0.5","1,a,04,","19.8",",,a,07,","20.5",",a,23,","","","203.7",",a","76.1",",,,a","11.55","1,a","16.49",",,,a","6.62","1,,,a"
"ASN00091240","1980-11","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","3.3",",a","15",",a","5",",a","0",",a","0",",a","1",",a","0",",a","6",",a","0",",a","-0.5",",a,04,","16.4",",,a,07,","29.0",",a,27,","","","153.6",",a","57.3",",,,a","13.32",",a","18.53",",,,a","8.11",",,,a"
"ASN00091240","1980-12","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","5.7",",a","11",",a","4",",a","1",",a","0",",a","0",",a","0",",a","12",",a","0",",a","3.2",",a,07,","40.8",",,a,03,","28.0",",a,20,","","","102.2",",a","61.0",",,,a","15.22",",a","20.65",",,,a","9.79",",,,a"
"ASN00091240","1981-01","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","19.0","2,a","10",",a","5",",a","0",",a","0","1,a","0","1,a","0","2,a","24","2,a","0","2,a","7.0","1,a,24,","12.8",",,a,09,","30.7","2,a,01,","27.4","a","27.4","2,a","43.0",",,,a","18.13","2,a","23.57","2,,,a","12.69","1,,,a"
"ASN00091240","1981-02","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","26.4",",a","10",",a","3",",a","1",",a","0",",a","0",",a","0",",a","21",",a","0",",a","1.8",",a,11,","32.8",",,a,09,","30.4",",a,03,","70.4","a","43.0",",a","51.2",",,,a","17.74",",a","23.01",",,,a","12.48",",,,a"
"ASN00091240","1981-03","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","2.0",",a","12",",a","8",",a","0",",a","0",",a","0",",a","0",",a","3",",a","0",",a","1.3",",a,26,","23.0",",,a,02,","23.9",",a,29,","210.2","a","139.8",",a","101.2",",,,a","13.89",",a","19.04",",,,a","8.74",",,,a"
"ASN00091240","1981-04","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","3.2",",a","18",",a","9",",a","1",",a","0",",a","2",",a","0",",a","2",",a","0",",a","-0.6",",a,26,","46.5",",,a,06,","23.5",",a,01,","380.0","a","169.8",",a","130.5",",,,a","12.78",",a","16.73",",,,a","8.84",",,,a"
"ASN00091240","1981-05","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","0.0",",a","16",",a","7",",a","1",",a","0",",a","5",",a","0",",a","0",",a","0",",a","-4.3",",a,19,","35.4",",,a,06,","18.7",",a,26,","644.7","a","264.7",",a","106.8",",,,a","9.80",",a","14.19",",,,a","5.40",",,,a"
"ASN00091240","1981-06","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","0.0",",a","22",",a","17",",a","2",",a","0",",a","9",",a","0",",a","0",",a","0",",a","-3.7",",a,17,","78.4",",,a,10,","15.7",",a,03,","966.6","a","321.9",",a","254.0",",,,a","7.60",",a","12.25",",,,a","2.96",",,,a"
"ASN00091240","1981-07","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0",",a","23",",a","19",",a","2",",a","0",",a","10",",a","0",",a","0",",a","0",",a","-5.0",",a,10,","45.4",",,a,04,","14.4",",a,29,","1325.4","a","358.8",",a","269.6",",,,a","6.76",",a","11.03",",,,a","2.49",",,,a"
"ASN00091240","1981-08","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0","5,a","24","2,a","19","2,a","3","2,a","0","3,a","3","3,a","0","3,a","0","3,a","0","3,a","-2.9","3,a,28,","46.0","2,,a,13,","15.3","3,a,29,","1601.0","a","275.6","3,a","272.8",",a,,a","7.82","5,a","12.05","3,,,a","3.60","3,,,a"
"ASN00091240","1981-09","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0",",a","15",",a","9",",a","0",",a","0",",a","1",",a","0",",a","0",",a","0",",a","-2.6",",a,05,","16.0",",,a,22,","17.4",",a,07,","1842.6","a","241.6",",a","75.4",",,,a","10.28",",a","14.87",",,,a","5.68",",,,a"
"ASN00091240","1981-10","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0",",a","14",",a","11",",a","0",",a","0",",a","0",",a","0",",a","1",",a","0",",a","0.7",",a,23,","23.4",",,a,02,","23.0",",a,27,","2060.8","a","218.2",",a","108.8",",,,a","11.30",",a","16.21",",,,a","6.38",",,,a"
"ASN00091240","1981-11","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.3","a","0.3",",a","8",",a","4",",a","0",",a","0",",a","0",",a","0",",a","5",",a","0",",a","1.5",",a,16,","18.4",",,a,04,","22.4",",a,24,","2215.1","a","154.3",",a","51.4",",,,a","13.20",",a","18.17",",,,a","8.23",",,,a"
"ASN00091240","1981-12","-41.3","145.9833","80.0","GUNNS PLAINS, AS","2.7","a","2.4","2,a","7","2,a","2","2,a","0","2,a","0","1,a","0","1,a","0","1,a","16","1,a","0","1,a","3.1","1,a,21,","8.4","2,,a,08,","27.8","1,a,29,","2308.7","a","93.6","1,a","29.0",",a,,a","15.19","2,a","21.06","1,,,a","9.32","1,,,a"
"ASN00091240","1982-01","-41.3","145.9833","80.0","GUNNS PLAINS, AS","25.0","a","22.3",",a","11",",a","5",",a","0",",a","0",",a","0",",a","0",",a","20",",a","2",",a","2.9",",a,05,","20.0",",,a,07,","33.5",",a,20,","52.9","a","52.9",",a","49.8",",,,a","17.35",",a","23.23",",,,a","11.47",",,,a"
"ASN00091240","1982-02","-41.3","145.9833","80.0","GUNNS PLAINS, AS","45.0","a","20.0",",a","3",",a","1",",a","1",",a","0",",a","0",",a","0",",a","18",",a","1",",a","0.6",",a,27,","38.6",",,a,21,","32.2",",a,07,","134.7","a","81.8",",a","42.4",",,,a","16.13",",a","22.90",",,,a","9.35",",,,a"
"ASN00091240","1982-03","-41.3","145.9833","80.0","GUNNS PLAINS, AS","49.5","a","4.5","3,a","9",",a","5",",a","1",",a","0","2,a","0","2,a","0","2,a","13","2,a","0","2,a","2.1","2,a,02,","56.6",",,a,28,","26.6","2,a,05,","244.3","a","109.6","2,a","86.9",",,,a","14.63","3,a","21.02","2,,,a","8.24","2,,,a"
"ASN00091240","1982-04","-41.3","145.9833","80.0","GUNNS PLAINS, AS","49.5","a","0.0",",a","14",",a","7",",a","1",",a","0",",a","2",",a","0",",a","2",",a","0",",a","-2.0",",a,08,","35.0",",,a,27,","22.2",",a,11,","442.0","a","197.7",",a","104.6",",,,a","11.74",",a","16.97",",,,a","6.52",",,,a"
"ASN00091240","1982-05","-41.3","145.9833","80.0","GUNNS PLAINS, AS","49.5","a","0.0",",a","19",",a","11",",a","0",",a","0",",a","0",",a","0",",a","0",",a","0",",a","0.2",",a,15,","15.8",",,a,21,","18.0",",a,18,","697.2","a","255.2",",a","91.8",",,,a","10.10",",a","14.32",",,,a","5.88",",,,a"
"ASN00091240","1982-06","-41.3","145.9833","80.0","GUNNS PLAINS, AS","49.5","a","0.0",",a","16",",a","9",",a","0",",a","0",",a","10",",a","0",",a","0",",a","0",",a","-5.0",",a,03,","21.2",",,a,16,","14.8",",a,06,","1048.1","a","350.9",",a","105.0",",,,a","6.64",",a","11.84",",,,a","1.43",",,,a"
"ASN00091240","1982-07","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0",",a","16",",a","8",",a","1",",a","0",",a","15",",a","0",",a","0",",a","0",",a","-6.5",",a,20,","71.0",",,a,04,","14.0",",a,11,","1437.9","a","389.8",",a","144.4",",,,a","5.76",",a","11.15",",,,a","0.36",",,,a"
"ASN00091240","1982-08","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0",",a","13",",a","6",",a","0",",a","0",",a","4",",a","0",",a","0",",a","0",",a","-3.0",",a,31,","7.8",",,a,14,","18.8",",a,29,","1725.7","a","287.8",",a","35.0",",,,a","9.05",",a","14.47",",,,a","3.63",",,,a"
"ASN00091240","1982-09","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0","3,a","18",",a","12",",a","1",",a","0","3,a","5","3,a","0",",a","0",",a","0",",a","-3.2","3,a,30,","36.0",",,a,03,","18.5",",a,26,+","1998.6","a","272.9",",a","151.0",",,,a","8.21","3,a","13.52",",,,a","2.89","3,,,a"
"ASN00091240","1982-10","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0","3,a","13",",a","5",",a","0",",a","0","2,a","1","2,a","0","2,a","1","2,a","0","2,a","-1.4","2,a,05,","9.6",",,a,16,","22.0","2,a,12,","2205.8","a","207.2","2,a","35.6",",,,a","10.99","3,a","16.26","2,,,a","5.71","2,,,a"
"ASN00091240","1982-11","-41.3","145.9833","80.0","GUNNS PLAINS, AS","4.7","a","4.7",",a","8",",a","5",",a","0",",a","0",",a","1",",a","0",",a","16",",a","0",",a","0.0",",a,01,","21.8",",,a,18,","30.2",",a,24,","2342.2","a","136.4",",a","43.6",",,,a","13.94",",a","20.85",",,,a","7.04",",,,a"
"ASN00091240","1982-12","-41.3","145.9833","80.0","GUNNS PLAINS, AS","9.5","a","4.8",",a","11",",a","6",",a","1",",a","0",",a","1",",a","0",",a","14",",a","0",",a","0.0",",a,02,","48.0",",,a,08,","30.2",",a,23,","2466.2","a","124.0",",a","84.1",",,,a","14.49",",a","20.66",",,,a","8.31",",,,a"
"ASN00091240","1983-01","-41.3","145.9833","80.0","GUNNS PLAINS, AS","14.0","a","4.5",",a","12",",a","6",",a","0",",a","0",",a","0",",a","0",",a","12",",a","0",",a","1.6",",a,19,","12.6",",,a,04,","28.6",",a,01,","120.2","a","120.2",",a","44.4",",,,a","14.60",",a","20.13",",,,a","9.07",",,,a"
"ASN00091240","1983-02","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","","","5",",a","2",",a","0",",a","0","4,a","0","4,a","0","4,a","20","4,a","2","4,a","2.2","4,a,14,","3.0",",,a,28,+","34.2","4,a,07,","","","","","8.2",",,,a","17.58","6,a","25.19","4,,,a","9.97","4,,,a"
"ASN00091240","1983-03","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","11.1","1,a","11",",a","8",",a","0",",a","0","1,a","0","1,a","0",",a","10",",a","0",",a","2.5","1,a,25,+","25.2",",,a,23,","29.5",",a,02,","","","105.2",",a","66.4",",,,a","15.18","1,a","20.61",",,,a","9.75","1,,,a"
"ASN00091240","1983-04","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","0.0",",a","12",",a","8",",a","1",",a","0",",a","6",",a","0",",a","1",",a","0",",a","-0.5",",a,19,","50.0",",,a,11,","23.7",",a,23,","","","227.2",",a","137.4",",,,a","10.76",",a","16.60",",,,a","4.92",",,,a"
"ASN00091240","1983-05","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","0.0",",a","14",",a","6",",a","2",",a","0",",a","1",",a","0",",a","0",",a","0",",a","-1.3",",a,26,","83.4",",,a,28,","18.2",",a,01,","","","242.4",",a","155.5",",,,a","10.51",",a","14.94",",,,a","6.09",",,,a"
"ASN00091240","1983-06","-41.3","145.9833","80.0","GUNNS PLAINS, AS","","","0.0",",a","17",",a","9",",a","0",",a","0",",a","8",",a","0",",a","0",",a","0",",a","-4.5",",a,30,+","18.0",",,a,21,","15.4",",a,21,","","","329.3",",a","98.2",",,,a","7.36",",a","11.62",",,,a","3.09",",,,a"
"ASN00091240","1983-07","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0","3,a","19","3,a","9","3,a","1","3,a","0","2,a","12","2,a","0","2,a","0","2,a","0","2,a","-5.2","2,a,09,","28.4","3,,a,01,","14.6","2,a,03,","","","345.3","2,a","99.9",",a,,a","6.02","3,a","11.39","2,,,a","0.64","2,,,a"
"ASN00091240","1983-08","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0",",a","18",",a","10",",a","2",",a","0",",a","4",",a","0",",a","0",",a","0",",a","-3.4",",a,04,+","38.2",",,a,26,","19.4",",a,29,","","","293.4",",a","156.4",",,,a","8.87",",a","13.69",",,,a","4.04",",,,a"
"ASN00091240","1983-09","-41.3","145.9833","80.0","GUNNS PLAINS, AS","0.0","a","0.0",",a","22",",a","15",",a","1",",a","0",",a","4",",a","0",",a","0",",a","0",",a","-3.6",",a,14,","26.4",",,a,20,","17.5",",a,30,","","","278.6",",a","168.2",",,,a","9.05",",a","13.47",",,,a","4.62",",,,a"
