"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00095023","1957-05","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","6",",a","6",",a","4",",a","47.0",",,a,21,","140.5",",,,a"
"ASN00095023","1957-06","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","3",",a","3",",a","1",",a","70.9",",,a,30,","91.7",",,,a"
"ASN00095023","1957-07","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","1",",a","1",",a","0",",a","14.7",",,a,30,","14.7",",,,a"
"ASN00095023","1957-08","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","3",",a","3",",a","0",",a","21.3",",,a,31,","33.5",",,,a"
"ASN00095023","1957-09","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","2",",a","2",",a","2",",a","67.6",",,a,18,","118.4",",,,a"
"ASN00095023","1957-12","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","2",",a","2",",a","2",",a","91.2",",,a,31,","169.9",",,,a"
"ASN00095023","1958-01","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","2",",a","2",",a","1",",a","37.3",",,a,31,","45.7",",,,a"
"ASN00095023","1958-02","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","3",",a","3",",a","2",",a","49.3",",,a,28,","88.7",",,,a"
"ASN00095023","1958-03","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","1",",a","1",",a","1",",a","94.5",",,a,31,","94.5",",,,a"
"ASN00095023","1958-04","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","1",",a","1",",a","1",",a","98.8",",,a,30,","98.8",",,,a"
"ASN00095023","1958-05","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","5",",a","5",",a","4",",a","137.9",",,a,26,","425.5",",,,a"
"ASN00095023","1958-06","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","1",",a","1",",a","1",",a","121.4",",,a,30,","121.4",",,,a"
"ASN00095023","1958-07","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","1",",a","1",",a","1",",a","138.4",",,a,31,","138.4",",,,a"
"ASN00095023","1958-08","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","2",",a","2",",a","2",",a","194.1",",,a,26,","222.8",",,,a"
"ASN00095023","1958-09","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","2",",a","2",",a","1",",a","34.3",",,a,30,","51.3",",,,a"
"ASN00095023","1958-10","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","1",",a","1",",a","1",",a","206.5",",,a,31,","206.5",",,,a"
"ASN00095023","1958-11","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","1",",a","1",",a","1",",a","82.6",",,a,30,","82.6",",,,a"
"ASN00095023","1958-12","-42.5425","146.4675","413.0","THE SETTLEMENT, AS","2",",a","2",",a","1",",a","87.1",",,a,18,","102.1",",,,a"
