"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AUM00011155","1966-10","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","0","5,S","3","5,S","","","","","","","-10.0","5,S,31,","","","","","","","","","","","","","","","","","6.60","5,,,S"
"AUM00011155","1967-03","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","16","3,S","0","3,S","0","3,S","","","","","","","8.9","3,S,10,+","","","","","","","","","0.26","3,,,S","",""
"AUM00011155","1967-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","1","3,S","0","3,S","0","3,S","","","","","","","17.8","3,S,28,","","","","","","","","","10.35","3,,,S","",""
"AUM00011155","1967-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","2","4,S","0","4,S","","","","","","","21.1","4,S,16,+","","","","","","","","","14.20","4,,,S","",""
"AUM00011155","1967-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","1","5,S","0","5,S","","","","","","","21.1","5,S,03,","","","","","","","","","11.46","5,,,S","",""
"AUM00011155","1968-01","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","20","4,S","0","4,S","0","4,S","","","","","","","7.2","4,S,31,","","","","","","","","","-3.87","4,,,S","",""
"AUM00011155","1968-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","3","5,S","0","5,S","0","5,S","","","","","","","17.8","5,S,22,","","","","","","","","","8.29","5,,,S","",""
"AUM00011155","1968-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","17.2","4,S,29,+","","","","","","","","","9.21","4,,,S","",""
"AUM00011155","1968-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","3","5,S","0","5,S","","","","","","","22.2","5,S,10,+","","","","","","","","","12.63","5,,,S","",""
"AUM00011155","1968-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","17.2","4,S,15,","","","","","","","","","10.88","4,,,S","",""
"AUM00011155","1968-10","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","0","2,S","0","2,S","","","","","","","18.9","2,S,31,","","","","","","","","","9.58","2,,,S","",""
"AUM00011155","1969-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","1","4,S","0","4,S","","","","","","","22.8","4,S,14,","","","","","","","","","12.39","4,,,S","",""
"AUM00011155","1969-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","0","5,S","2","5,S","0","2,S","0","2,S","0","2,S","-2.2","5,S,05,","","","","","18.9","2,S,18,","","","","","","","7.60","7,S","10.14","2,,,S","5.05","5,,,S"
"AUM00011155","1969-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","5","4,S","0","4,S","","","","","","","22.2","4,S,28,","","","","","","","","","14.34","4,,,S","",""
"AUM00011155","1969-10","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","2","4,S","0","4,S","0","4,S","","","","","","","17.2","4,S,20,+","","","","","","","","","11.07","4,,,S","",""
"AUM00011155","1973-01","47.817","13.717","1620.1","FEUERKOGEL, AU","","","6","5,S","5","5,S","1","5,S","","","","","","","12","5,S","0","5,S","0","5,S","","","","","25.9","5,,S,30,","7.0","5,S,15,+","","","","","66.0","5,,,S","","","0.92","5,,,S","",""
"AUM00011155","1973-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","21","2,S","16","2,S","0","2,S","","","","","","","","","","","","","","","","","14.0","2,,S,22,","","","","","","","127.9","2,,,S","","","","","",""
"AUM00011155","1973-03","47.817","13.717","1620.1","FEUERKOGEL, AU","","","16","3,S","8","3,S","0","3,S","","","","","","","","","","","","","","","","","23.1","3,,S,19,","","","","","","","100.5","3,,,S","","","","","",""
"AUM00011155","1973-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","22","2,S","18","2,S","2","2,S","","","","","","","","","","","","","","","","","33.0","2,,S,19,","","","","","","","191.3","2,,,S","","","","","",""
"AUM00011155","1973-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","12","5,S","9","5,S","0","5,S","","","","","","","","","","","","","","","","","17.0","5,,S,07,","","","","","","","86.7","5,,,S","","","","","",""
"AUM00011155","1973-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","19.0","4,S,14,+","","","","","","","","","12.44","4,,,S","",""
