"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085315","1975-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","4,","0","4,S","","","","","","","10.0","4,S,01,","","","","","","","","","18.33","4,,,S"
"BLM00085315","1976-04","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,","0","5,S","","","","","","","5.0","5,S,24,","","","","","","","","","13.56","5,,,S"
"BLM00085315","1977-02","-20.05","-63.567","792.0","CAMIRI, BL","4","5,S","4","5,S","0","5,S","","","","","","","","","","","","","16.0","5,,S,06,","","","40.9","5,,,S","","","",""
"BLM00085315","1977-06","-20.05","-63.567","792.0","CAMIRI, BL","2","4,S","2","4,S","0","4,S","0","4,","1","4,S","","","","","","","-1.0","4,S,25,","4.1","4,,S,21,+","","","8.2","4,,,S","","","10.77","4,,,S"
"BLM00085315","1977-09","-20.05","-63.567","792.0","CAMIRI, BL","3","3,S","3","3,S","0","3,S","","","","","","","","","","","","","15.0","3,,S,01,","","","24.2","3,,,S","","","",""
"BLM00085315","1977-10","-20.05","-63.567","792.0","CAMIRI, BL","2","5,S","2","5,S","0","5,S","","","","","","","","","","","","","13.0","5,,S,25,","","","19.1","5,,,S","","","",""
"BLM00085315","1977-11","-20.05","-63.567","792.0","CAMIRI, BL","7","3,S","4","3,S","0","3,S","","","","","","","","","","","","","11.9","3,,S,16,","","","28.5","3,,,S","","","",""
"BLM00085315","1977-12","-20.05","-63.567","792.0","CAMIRI, BL","5","4,S","4","4,S","0","4,S","","","","","","","","","","","","","20.1","4,,S,19,","","","42.1","4,,,S","","","",""
"BLM00085315","1978-02","-20.05","-63.567","792.0","CAMIRI, BL","3","4,S","2","4,S","0","4,S","0","5,","0","5,S","","","","","","","17.0","5,S,12,+","24.9","4,,S,25,","","","29.9","4,,,S","","","18.83","5,,,S"
"BLM00085315","1978-03","-20.05","-63.567","792.0","CAMIRI, BL","3","5,S","3","5,S","0","5,S","0","5,S","0","5,S","","","","","","","15.0","5,S,11,+","7.1","5,,S,20,","","","16.3","5,,,S","","","17.69","5,,,S"
"BLM00085315","1978-04","-20.05","-63.567","792.0","CAMIRI, BL","5","4,S","4","4,S","0","4,S","0","5,","0","5,S","","","","","","","12.0","5,S,25,","10.9","4,,S,01,","","","29.9","4,,,S","","","16.20","5,,,S"
"BLM00085315","1978-10","-20.05","-63.567","792.0","CAMIRI, BL","3","4,S","2","4,S","0","4,S","","","","","","","","","","","","","11.9","4,,S,13,","","","22.8","4,,,S","","","",""
"BLM00085315","1978-12","-20.05","-63.567","792.0","CAMIRI, BL","4","5,S","4","5,S","2","5,S","","","","","","","","","","","","","45.0","5,,S,20,","","","105.0","5,,,S","","","",""
"BLM00085315","1979-03","-20.05","-63.567","792.0","CAMIRI, BL","11","3,S","9","3,S","2","3,S","","","","","","","","","","","","","50.0","3,,S,28,","","","175.9","3,,,S","","","",""
"BLM00085315","1979-04","-20.05","-63.567","792.0","CAMIRI, BL","10","2,S","7","2,S","0","2,S","","","","","","","","","","","","","20.1","2,,S,13,","","","69.0","2,,,S","","","",""
