"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR000083743","1979-01","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","12","4,I","8","4,I","3","4,I","","","","","0","5,I","26","5,I","1","5,I","","","31.0","4,,I,30,+","33.0","5,I,02,","","","155.6","4,,,I","","","27.23","5,,,I","",""
"BR000083743","1979-04","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","9","3,I","6","3,I","0","3,I","0","3,I","0","3,I","","","","","","","11.0","3,I,24,","15.0","3,,I,22,","","","","","53.6","3,,,I","","","","","20.52","3,,,I"
"BR000083743","1979-05","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","9","4,I","4","4,I","0","4,I","","","","","","","","","","","","","13.0","4,,I,15,","","","","","38.0","4,,,I","","","","","",""
"BR000083743","1979-11","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","10","5,I","7","5,I","1","5,I","","","","","","","","","","","","","31.0","5,,I,11,","","","","","78.4","5,,,I","","","","","",""
"BR000083743","1980-09","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","10","4,I","8","4,I","0","4,I","","","","","","","","","","","","","22.1","4,,I,11,","","","","","96.0","4,,,I","","","","","",""
"BR000083743","1980-10","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","9","5,I","6","5,I","2","5,I","","","","","","","","","","","","","40.9","5,,I,13,","","","","","121.4","5,,,I","","","","","",""
"BR000083743","1980-11","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","8","5,I","7","5,I","2","5,I","0","5,I","0","5,I","","","","","","","10.0","5,I,01,","59.9","5,,I,12,","","","","","169.5","5,,,I","","","","","19.72","5,,,I"
"BR000083743","1980-12","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","14","2,I","9","2,I","1","2,I","0","3,I","0","3,I","","","","","","","19.0","3,I,10,+","51.1","2,,I,01,","","","","","118.4","2,,,I","","","","","23.25","3,,,I"
"BR000083743","1981-01","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","7","3,I","5","3,I","2","3,I","","","","","","","","","","","","","59.9","3,,I,22,","","","","","114.5","3,,,I","","","","","",""
"BR000083743","1981-02","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","210.0","4,I","4","1,I","3","1,I","0","1,I","0","1,I","0","1,I","0","3,I","25","3,I","7","3,I","21.0","1,I,19,","16.0","1,,I,23,","39.0","3,I,09,","0.0","3,I","33.0","1,,,I","27.18","4,I","30.92","3,,,I","23.44","1,,,I"
"BR000083743","1981-03","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","8","3,I","6","3,I","0","3,I","0","4,I","0","4,I","","","","","","","20.0","4,I,23,","21.1","3,,I,09,","","","","","58.4","3,,,I","","","","","23.22","4,,,I"
"BR000083743","1981-04","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","7",",I","7",",I","1",",I","0","2,I","0","2,I","","","","","","","19.0","2,I,21,+","36.1",",,I,17,","","","","","95.3",",,,I","","","","","21.21","2,,,I"
"BR000083743","1981-05","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","2","2,I","2","2,I","0","2,I","0","3,I","0","3,I","","","","","","","18.0","3,I,31,","5.1","2,,I,29,","","","","","9.2","2,,,I","","","","","20.36","3,,,I"
"BR000083743","1981-06","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","4","1,I","2","1,I","1","1,I","0","2,I","0","2,I","","","","","","","17.0","2,I,24,+","70.1","1,,I,04,","","","","","77.5","1,,,I","","","","","18.43","2,,,I"
"BR000083743","1981-07","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","8","4,I","6","4,I","0","4,I","","","","","","","","","","","","","23.9","4,,I,03,","","","","","67.8","4,,,I","","","","","",""
"BR000083743","1981-08","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","10","1,I","6","1,I","0","1,I","0","2,I","0","2,I","","","","","","","16.0","2,I,22,+","18.0","1,,I,18,","","","","","59.3","1,,,I","","","","","19.10","2,,,I"
"BR000083743","1981-09","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","3","2,I","1","2,I","0","2,I","0","2,I","0","2,I","","","","","","","16.0","2,I,17,","7.1","2,,I,01,","","","","","8.1","2,,,I","","","","","20.07","2,,,I"
"BR000083743","1981-10","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","13",",I","8",",I","0",",I","0","3,I","0","3,I","","","","","","","15.0","3,I,10,","10.9",",,I,20,","","","","","49.5",",,,I","","","","","20.04","3,,,I"
"BR000083743","1981-11","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","11","3,I","5","3,I","1","3,I","0","4,I","0","4,I","","","","","","","20.0","4,I,01,","47.0","3,,I,26,","","","","","124.7","3,,,I","","","","","22.77","4,,,I"
"BR000083743","1981-12","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","16","3,I","11","3,I","3","3,I","0","5,I","0","5,I","","","","","","","19.0","5,I,03,","80.0","3,,I,08,+","","","","","303.7","3,,,I","","","","","22.92","5,,,I"
"BR000083743","1982-05","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","5","3,I","3","3,I","0","3,I","","","","","","","","","","","","","5.1","3,,I,26,","","","","","15.2","3,,,I","","","","","",""
"BR000083743","1982-06","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","4","4,I","2","4,I","0","4,I","","","","","","","","","","","","","7.9","4,,I,25,","","","","","16.5","4,,,I","","","","","",""
"BR000083743","1983-09","-22.917","-43.167","5.0","RIO DE JANEIRO, BR","","","19","5,I","13","5,I","2","5,I","","","","","","","","","","","","","56.9","5,,I,09,","","","","","202.2","5,,,I","","","","","",""
