"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR001946000","1941-09","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","15",",I","11",",I","0",",I","24.0",",,I,06,","133.5",",,,I"
"BR001946000","1941-10","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","7",",I","6",",I","1",",I","45.2",",,I,31,","80.8",",,,I"
"BR001946000","1941-11","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","14",",I","11",",I","1",",I","60.8",",,I,13,","180.6",",,,I"
"BR001946000","1941-12","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","15",",I","15",",I","3",",I","71.8",",,I,02,","288.3",",,,I"
"BR001946000","1942-01","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","15",",I","13",",I","2",",I","75.0",",,I,21,","239.8",",,,I"
"BR001946000","1942-02","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","10",",I","8",",I","2",",I","50.0",",,I,19,","138.5",",,,I"
"BR001946000","1942-03","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","12",",I","11",",I","2",",I","46.2",",,I,02,","180.5",",,,I"
"BR001946000","1942-04","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","11",",I","9",",I","1",",I","53.4",",,I,14,","133.7",",,,I"
"BR001946000","1942-05","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","6",",I","3",",I","0",",I","6.1",",,I,05,","15.1",",,,I"
"BR001946000","1942-06","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","2",",I","1",",I","0",",I","4.0",",,I,05,","4.5",",,,I"
"BR001946000","1942-07","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","2",",I","1",",I","0",",I","17.8",",,I,08,","19.9",",,,I"
"BR001946000","1942-08","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR001946000","1942-09","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","6",",I","5",",I","0",",I","17.3",",,I,24,","38.6",",,,I"
"BR001946000","1942-10","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","13",",I","11",",I","3",",I","40.0",",,I,13,","183.4",",,,I"
"BR001946000","1942-11","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","21",",I","18",",I","3",",I","50.0",",,I,14,","306.1",",,,I"
"BR001946000","1942-12","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","30",",I","29",",I","7",",I","56.0",",,I,16,","522.6",",,,I"
"BR001946000","1943-01","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","25",",I","20",",I","3",",I","37.0",",,I,03,","350.7",",,,I"
"BR001946000","1943-02","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","12",",I","10",",I","1",",I","29.0",",,I,11,","125.0",",,,I"
"BR001946000","1943-03","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","14",",I","7",",I","0",",I","24.0",",,I,07,","75.8",",,,I"
"BR001946000","1943-04","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","6",",I","4",",I","0",",I","24.0",",,I,15,","57.1",",,,I"
"BR001946000","1943-05","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR001946000","1943-06","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","3",",I","2",",I","0",",I","10.0",",,I,08,","14.2",",,,I"
"BR001946000","1943-07","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR001946000","1943-08","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","2",",I","1",",I","0",",I","5.7",",,I,04,","7.3",",,,I"
"BR001946000","1943-09","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","2",",I","2",",I","1",",I","34.6",",,I,24,","38.6",",,,I"
"BR001946000","1943-10","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","11",",I","9",",I","1",",I","40.0",",,I,14,","114.9",",,,I"
"BR001946000","1943-12","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","19",",I","16",",I","3",",I","70.4",",,I,25,","332.7",",,,I"
"BR001946000","1944-01","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","7",",I","7",",I","2",",I","60.4",",,I,28,","150.8",",,,I"
"BR001946000","1944-02","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","14",",I","13",",I","2",",I","74.8",",,I,09,","281.1",",,,I"
"BR001946000","1944-03","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","7",",I","7",",I","0",",I","25.0",",,I,03,","88.4",",,,I"
"BR001946000","1944-04","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","11",",I","7",",I","1",",I","49.0",",,I,11,","95.5",",,,I"
"BR001946000","1944-05","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR001946000","1944-06","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","1",",I","0",",I","0",",I","2.1",",,I,05,","2.1",",,,I"
"BR001946000","1944-07","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR001946000","1944-08","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR001946000","1944-09","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","2",",I","0",",I","0",",I","1.6",",,I,08,","3.0",",,,I"
"BR001946000","1944-10","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","9",",I","7",",I","3",",I","71.6",",,I,26,","183.5",",,,I"
"BR001946000","1944-11","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","8",",I","7",",I","1",",I","30.0",",,I,21,","87.5",",,,I"
"BR001946000","1944-12","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","15",",I","9",",I","3",",I","56.0",",,I,04,","193.2",",,,I"
"BR001946000","1945-01","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","13",",I","11",",I","2",",I","56.6",",,I,20,","177.7",",,,I"
"BR001946000","1945-02","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","17",",I","15",",I","4",",I","73.0",",,I,02,","356.5",",,,I"
"BR001946000","1945-03","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","21",",I","17",",I","3",",I","45.8",",,I,11,","276.1",",,,I"
"BR001946000","1945-04","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","11",",I","7",",I","3",",I","43.4",",,I,01,","146.2",",,,I"
"BR001946000","1945-05","-19.88","-46.03","670.0","TAPIRAI JUSANTE, BR","2",",I","1",",I","0",",I","3.9",",,I,27,","5.3",",,,I"
