"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00C7-0780","1971-01","-21.6","-50.6","420.0","PIACATU, BR","13",",I","9",",I","0",",I","22.2",",,I,08,","100.2",",,,I"
"BR00C7-0780","1971-02","-21.6","-50.6","420.0","PIACATU, BR","12",",I","9",",I","3",",I","36.3",",,I,26,","156.0",",,,I"
"BR00C7-0780","1971-03","-21.6","-50.6","420.0","PIACATU, BR","11",",I","8",",I","2",",I","29.4",",,I,17,","99.9",",,,I"
"BR00C7-0780","1971-04","-21.6","-50.6","420.0","PIACATU, BR","5",",I","4",",I","0",",I","18.6",",,I,21,","41.7",",,,I"
"BR00C7-0780","1971-05","-21.6","-50.6","420.0","PIACATU, BR","6",",I","5",",I","3",",I","35.5",",,I,05,","111.0",",,,I"
"BR00C7-0780","1971-06","-21.6","-50.6","420.0","PIACATU, BR","10",",I","7",",I","2",",I","38.5",",,I,20,","116.4",",,,I"
"BR00C7-0780","1971-07","-21.6","-50.6","420.0","PIACATU, BR","4",",I","3",",I","2",",I","52.5",",,I,05,","97.9",",,,I"
"BR00C7-0780","1971-08","-21.6","-50.6","420.0","PIACATU, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR00C7-0780","1971-09","-21.6","-50.6","420.0","PIACATU, BR","7",",I","4",",I","1",",I","38.5",",,I,25,","76.6",",,,I"
"BR00C7-0780","1971-10","-21.6","-50.6","420.0","PIACATU, BR","6",",I","5",",I","0",",I","14.2",",,I,08,","36.6",",,,I"
"BR00C7-0780","1971-11","-21.6","-50.6","420.0","PIACATU, BR","8",",I","4",",I","0",",I","24.0",",,I,19,","75.1",",,,I"
"BR00C7-0780","1971-12","-21.6","-50.6","420.0","PIACATU, BR","14",",I","11",",I","4",",I","58.6",",,I,04,","248.1",",,,I"
"BR00C7-0780","1972-01","-21.6","-50.6","420.0","PIACATU, BR","20",",I","16",",I","2",",I","48.2",",,I,22,","237.6",",,,I"
"BR00C7-0780","1972-02","-21.6","-50.6","420.0","PIACATU, BR","22",",I","15",",I","4",",I","88.0",",,I,21,","290.4",",,,I"
"BR00C7-0780","1972-03","-21.6","-50.6","420.0","PIACATU, BR","10",",I","6",",I","1",",I","37.9",",,I,09,","92.0",",,,I"
"BR00C7-0780","1972-04","-21.6","-50.6","420.0","PIACATU, BR","4",",I","2",",I","2",",I","41.4",",,I,04,","71.4",",,,I"
"BR00C7-0780","1972-05","-21.6","-50.6","420.0","PIACATU, BR","4",",I","4",",I","2",",I","45.5",",,I,25,","90.4",",,,I"
"BR00C7-0780","1972-06","-21.6","-50.6","420.0","PIACATU, BR","2",",I","0",",I","0",",I","1.1",",,I,19,","1.6",",,,I"
"BR00C7-0780","1972-07","-21.6","-50.6","420.0","PIACATU, BR","8",",I","7",",I","1",",I","29.8",",,I,08,","117.4",",,,I"
"BR00C7-0780","1972-08","-21.6","-50.6","420.0","PIACATU, BR","11",",I","9",",I","0",",I","22.0",",,I,13,","77.2",",,,I"
"BR00C7-0780","1972-09","-21.6","-50.6","420.0","PIACATU, BR","7",",I","5",",I","2",",I","47.3",",,I,28,","112.9",",,,I"
"BR00C7-0780","1972-10","-21.6","-50.6","420.0","PIACATU, BR","10",",I","8",",I","5",",I","94.0",",,I,04,","311.7",",,,I"
"BR00C7-0780","1972-11","-21.6","-50.6","420.0","PIACATU, BR","16",",I","14",",I","5",",I","57.3",",,I,16,","279.2",",,,I"
"BR00C7-0780","1972-12","-21.6","-50.6","420.0","PIACATU, BR","11",",I","8",",I","2",",I","40.8",",,I,22,","159.9",",,,I"
"BR00C7-0780","1973-01","-21.6","-50.6","420.0","PIACATU, BR","12",",I","11",",I","4",",I","73.5",",,I,14,","270.5",",,,I"
