"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00D6-0860","1942-01","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","6",",I","5",",I","3",",I","33.4",",,I,21,","108.7",",,,I"
"BR00D6-0860","1942-02","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","14",",I","14",",I","3",",I","38.9",",,I,03,","285.2",",,,I"
"BR00D6-0860","1942-05","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","4",",I","3",",I","0",",I","16.0",",,I,07,","37.6",",,,I"
"BR00D6-0860","1942-06","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","8",",I","5",",I","0",",I","20.2",",,I,09,","59.3",",,,I"
"BR00D6-0860","1942-07","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR00D6-0860","1942-08","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR00D6-0860","1942-09","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","7",",I","4",",I","0",",I","22.7",",,I,18,","45.2",",,,I"
"BR00D6-0860","1942-10","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","4",",I","4",",I","1",",I","29.3",",,I,28,","50.7",",,,I"
"BR00D6-0860","1942-11","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","9",",I","7",",I","2",",I","51.2",",,I,24,","153.9",",,,I"
"BR00D6-0860","1942-12","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","13",",I","11",",I","6",",I","77.1",",,I,01,","344.5",",,,I"
"BR00D6-0860","1943-05","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR00D6-0860","1943-06","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","1",",I","1",",I","0",",I","10.0",",,I,05,","10.0",",,,I"
"BR00D6-0860","1943-07","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR00D6-0860","1943-08","-22.05","-49.62","550.0","SAO FRANCISCO DA CORREDEIRA, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
