"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00E3-0210","1937-01","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","14",",I","12",",I","2",",I","40.0",",,I,09,","217.0",",,,I"
"BR00E3-0210","1937-02","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","9",",I","9",",I","0",",I","21.0",",,I,14,","89.2",",,,I"
"BR00E3-0210","1937-03","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","6",",I","5",",I","0",",I","23.0",",,I,21,","82.0",",,,I"
"BR00E3-0210","1937-04","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","9",",I","7",",I","2",",I","64.5",",,I,06,","189.5",",,,I"
"BR00E3-0210","1937-05","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","1",",I","1",",I","0",",I","14.0",",,I,03,","14.0",",,,I"
"BR00E3-0210","1937-06","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","2",",I","1",",I","0",",I","3.6",",,I,01,","5.1",",,,I"
"BR00E3-0210","1937-07","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR00E3-0210","1937-08","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","3",",I","2",",I","0",",I","24.0",",,I,23,","42.0",",,,I"
"BR00E3-0210","1937-09","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","2",",I","1",",I","0",",I","4.5",",,I,30,","6.7",",,,I"
"BR00E3-0210","1937-11","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","11",",I","11",",I","4",",I","44.0",",,I,16,","237.9",",,,I"
"BR00E3-0210","1937-12","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","9",",I","9",",I","1",",I","57.0",",,I,17,","149.5",",,,I"
"BR00E3-0210","1938-01","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","8",",I","3",",I","0",",I","3.5",",,I,25,","15.4",",,,I"
"BR00E3-0210","1938-02","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","5",",I","5",",I","0",",I","23.0",",,I,18,","59.5",",,,I"
"BR00E3-0210","1938-03","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","9",",I","6",",I","1",",I","30.0",",,I,18,","66.3",",,,I"
"BR00E3-0210","1938-04","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","5",",I","4",",I","0",",I","20.5",",,I,10,","63.0",",,,I"
"BR00E3-0210","1938-05","-23.22","-46.78","750.0","CAMPO LIMPO PAULISTA, BR","8",",I","7",",I","0",",I","20.0",",,I,26,","93.0",",,,I"
