"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR037041370","1956-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1956-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","10",",I","6",",I","0",",I","","","","","","","17.2",",,I,28,","54.2",",,,I","",""
"BR037041370","1956-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1956-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,30,+","0.0",",,,I","",""
"BR037041370","1956-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1956-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,30,+","0.0",",,,I","",""
"BR037041370","1956-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1956-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","0",",I","0",",I","","","","","","","2.0",",,I,02,","2.0",",,,I","",""
"BR037041370","1956-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","0",",I","","","","","","","8.0",",,I,29,","8.0",",,,I","",""
"BR037041370","1956-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","2",",I","0",",I","","","","","","","17.4",",,I,21,","20.8",",,,I","",""
"BR037041370","1956-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","9",",I","6",",I","1",",I","","","","","","","38.6",",,I,28,","81.7",",,,I","",""
