"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001022795","2000-04","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0","2,C","12","4,C","5","4,C","0","4,C","","","0",",C","0",",C","0","2,C","0","2,C","0","2,C","2.3",",C,24,","","","10.2","4,,C,28,","16.8","2,C,10,","","","282.7","2,C","48.6","4,,,C","8.19","2,C","11.02","2,,,C","5.37",",,,C","","","",""
"CA001022795","2000-06","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0",",C","14",",C","9",",C","3",",C","0",",","0",",C","0",",C","0",",C","1",",C","0",",C","6.9",",C,03,","0",",,C,30,+","51.8",",,C,13,","23.5",",C,03,","","","192.0",",C","193.8",",,,C","11.93",",C","14.28",",,,C","9.59",",,,C","","","",""
"CA001022795","2000-07","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0",",C","8","2,C","4","2,C","0","2,C","","","0",",C","0",",C","0",",C","2",",C","0",",C","9.3",",C,12,","","","10.8","2,,C,24,+","22.4",",C,29,","140.4","C","140.4",",C","37.6","2,,,C","13.80",",C","16.41",",,,C","11.20",",,,C","","","",""
"CA001022795","2000-08","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0",",C","7",",C","6",",C","1",",C","0",",","0",",C","0",",C","0",",C","1",",C","0",",C","9.7",",C,05,","0",",,C,31,+","31.8",",,C,18,","21.3",",C,24,","287.5","C","147.1",",C","67.2",",,,C","13.59",",C","15.92",",,,C","11.26",",,,C","","","",""
"CA001022795","2000-09","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0","3,C","15",",C","9",",C","0",",C","","","0","3,C","0","3,C","0","2,C","0","2,C","0","2,C","6.2","3,C,23,","","","15.8",",,C,09,","20.6","2,C,16,","446.7","C","159.2","2,C","82.8",",,,C","12.41","3,C","15.47","2,,,C","9.35","3,,,C","","","",""
"CA001022795","2000-10","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0",",C","16","2,C","11","2,C","3","2,C","","","0",",C","0",",C","0",",C","0",",C","0",",C","5.5",",C,12,","","","58.4","2,,C,20,","18.2",",C,06,","705.0","C","258.3",",C","289.0","2,,,C","10.00",",C","11.83",",,,C","8.17",",,,C","","","",""
"CA001022795","2000-11","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0",",C","15",",C","12",",C","4",",C","","","0",",C","0",",C","0",",C","0",",C","0",",C","0.5",",C,11,","","","83.2",",,C,25,","11.5",",C,21,","1076.7","C","371.7",",C","337.0",",,,C","5.94",",C","7.59",",,,C","4.30",",,,C","","","",""
"CA001022795","2000-12","50.45","-126.0","8.0","FANNY ISLAND, BC CA","","","0.0",",C","","","","","","","","","0",",C","7",",C","0",",C","0",",C","0",",C","-3.8",",C,15,","","","","","10.1",",C,02,+","1518.3","C","441.6",",C","","","4.09",",C","5.86",",,,C","2.31",",,,C","","","",""
"CA001022795","2001-01","50.45","-126.0","8.0","FANNY ISLAND, BC CA","0.0","C","0.0",",C","","","","","","","","","0",",C","0",",C","0",",C","0",",C","0",",C","1.1",",C,15,","","","","","9.7",",C,02,","1921.9","C","403.6",",C","","","5.31",",C","6.86",",,,C","3.76",",,,C","","","",""
"CA001022795","2001-02","50.45","-126.0","8.0","FANNY ISLAND, BC CA","0.0","C","0.0",",C","9",",C","7",",C","1",",C","","","0",",C","1",",C","0",",C","0",",C","0",",C","-2.0",",C,16,","","","35.8",",,C,02,","10.6",",C,21,","2309.2","C","387.3",",C","124.6",",,,C","4.50",",C","6.66",",,,C","2.34",",,,C","","","",""
