"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA001067868","1916-09","52.4667","-129.0333","162.0","SURF INLET, BC CA","18",",C","13",",C","5",",C","0",",C","0",",,C,30,+","65.0",",,C,26,","283.9",",,,C","0",",,,C"
"CA001067868","1916-10","52.4667","-129.0333","162.0","SURF INLET, BC CA","19",",C","15",",C","8",",C","0",",C","0",",,C,31,+","80.0",",,C,14,","434.8",",,,C","0",",,,C"
"CA001067868","1916-11","52.4667","-129.0333","162.0","SURF INLET, BC CA","21",",C","19",",C","11",",C","0",",C","13",",,C,01,","92.7",",,C,20,","679.3",",,,C","13",",,,C"
"CA001067868","1916-12","52.4667","-129.0333","162.0","SURF INLET, BC CA","21",",C","20",",C","7",",C","4",",C","254",",,C,05,","83.1",",,C,11,","462.7",",,,C","736",",,,C"
"CA001067868","1917-01","52.4667","-129.0333","162.0","SURF INLET, BC CA","20",",C","18",",C","6",",C","8",",C","279",",,C,04,","61.5",",,C,09,","418.6",",,,C","1042",",,,C"
"CA001067868","1917-02","52.4667","-129.0333","162.0","SURF INLET, BC CA","14",",C","14",",C","4",",C","6",",C","305",",,C,02,","105.2",",,C,04,","302.3",",,,C","685",",,,C"
"CA001067868","1917-03","52.4667","-129.0333","162.0","SURF INLET, BC CA","20",",C","18",",C","4",",C","6",",C","203",",,C,22,","78.7",",,C,22,","326.1",",,,C","610",",,,C"
"CA001067868","1917-04","52.4667","-129.0333","162.0","SURF INLET, BC CA","13",",C","12",",C","2",",C","0",",C","0",",,C,30,+","45.7",",,C,03,","218.1",",,,C","0",",,,C"
"CA001067868","1917-05","52.4667","-129.0333","162.0","SURF INLET, BC CA","12",",C","8",",C","0",",C","0",",C","0",",,C,31,+","16.0",",,C,05,","68.5",",,,C","0",",,,C"
"CA001067868","1917-06","52.4667","-129.0333","162.0","SURF INLET, BC CA","14",",C","13",",C","1",",C","0",",C","0",",,C,30,+","71.6",",,C,07,","234.9",",,,C","0",",,,C"
"CA001067868","1917-07","52.4667","-129.0333","162.0","SURF INLET, BC CA","14",",C","12",",C","2",",C","0",",C","0",",,C,31,+","37.3",",,C,04,","202.0",",,,C","0",",,,C"
"CA001067868","1917-08","52.4667","-129.0333","162.0","SURF INLET, BC CA","10",",C","7",",C","2",",C","0",",C","0",",,C,31,+","35.1",",,C,19,","126.4",",,,C","0",",,,C"
"CA001067868","1917-09","52.4667","-129.0333","162.0","SURF INLET, BC CA","16",",C","14",",C","8",",C","0",",C","0",",,C,30,+","64.0",",,C,28,","416.3",",,,C","0",",,,C"
"CA001067868","1917-10","52.4667","-129.0333","162.0","SURF INLET, BC CA","24",",C","22",",C","15",",C","0",",C","0",",,C,31,+","67.1",",,C,31,","792.4",",,,C","0",",,,C"
"CA001067868","1917-11","52.4667","-129.0333","162.0","SURF INLET, BC CA","30",",C","30",",C","20",",C","1",",C","76",",,C,30,","103.6",",,C,17,","981.1",",,,C","76",",,,C"
"CA001067868","1917-12","52.4667","-129.0333","162.0","SURF INLET, BC CA","24",",C","23",",C","7",",C","16",",C","356",",,C,12,","76.7",",,C,31,","474.3",",,,C","1935",",,,C"
"CA001067868","1918-01","52.4667","-129.0333","162.0","SURF INLET, BC CA","24",",C","24",",C","12",",C","2",",C","178",",,C,09,","93.5",",,C,21,","684.3",",,,C","305",",,,C"
"CA001067868","1918-02","52.4667","-129.0333","162.0","SURF INLET, BC CA","18",",C","17",",C","9",",C","6",",C","191",",,C,24,","97.0",",,C,27,","556.0",",,,C","724",",,,C"
"CA001067868","1918-03","52.4667","-129.0333","162.0","SURF INLET, BC CA","20",",C","20",",C","7",",C","9",",C","191",",,C,06,","88.9",",,C,28,","505.2",",,,C","915",",,,C"
