"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001100Q7Q","1983-12","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","","","0.0",",C","8",",C","6",",C","0",",C","31",",C","6",",C","6",",C","31",",C","31",",C","0",",C","0",",C","-24.5",",C,20,","1250",",,C,13,","210",",,C,12,","21.0",",,C,12,","0.0",",C,30,+","878.1",",C","67.0",",,,C","670",",,,C","-9.99",",C","-7.45",",,,C","-12.53",",,,C"
"CA001100Q7Q","1984-01","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","14",",C","10",",C","2",",C","31",",C","10",",C","0",",C","30",",C","16",",C","0",",C","0",",C","-13.0",",C,18,","1460",",,C,22,","290",",,C,21,","29.0",",,C,21,","6.0",",C,30,+","656.3",",C","101.0",",,,C","1010",",,,C","-2.84",",C","-0.56",",,,C","-5.11",",,,C"
"CA001100Q7Q","1984-02","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","21",",C","18",",C","0",",C","24","5,C","18",",C","0",",C","27",",C","22",",C","0",",C","0",",C","-9.5",",C,26,","1970","5,,C,29,","210",",,C,19,","21.0",",,C,19,","7.0",",C,04,","612.9",",C","188.0",",,,C","1880",",,,C","-2.80",",C","-0.88",",,,C","-4.72",",,,C"
"CA001100Q7Q","1984-03","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","17",",C","9",",C","0",",C","31",",C","9",",C","0",",C","27",",C","12",",C","0",",C","0",",C","-8.0",",C,03,","2040",",,C,02,","120",",,C,01,","12.0",",,C,01,","8.5",",C,05,","592.6",",C","69.0",",,,C","660",",,,C","-0.78",",C","1.81",",,,C","-3.37",",,,C"
"CA001100Q7Q","1984-04","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0","1,C","20","1,C","11","1,C","0","1,C","27","3,C","11","1,C","0","1,C","28","1,C","10","1,C","0","1,C","0","1,C","-10.0","1,C,24,","2080","3,,C,12,","120","1,,C,09,","12.0","1,,C,09,","10.0","1,C,15,+","565.9","1,C","75.0","1,,,C","750","1,,,C","-1.18","1,C","1.91","1,,,C","-4.28","1,,,C"
"CA001100Q7Q","1984-12","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","","","0.0",",C","17",",C","12",",C","2",",C","28","3,C","12",",C","3",",C","31",",C","29",",C","0",",C","0",",C","-22.0",",C,29,","2000","3,,C,15,","470",",,C,07,","47.0",",,C,07,","1.0",",C,06,","830.8",",C","198.0",",,,C","1980",",,,C","-8.47",",C","-6.23",",,,C","-10.71",",,,C"
"CA001100Q7Q","1985-01","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","7","1,C","4","1,C","0","1,C","31",",C","2","1,C","0",",C","28",",C","10",",C","0",",C","0",",C","-11.5",",C,30,","1630",",,C,01,","60","1,,C,19,","6.0","1,,C,19,","6.5",",C,23,","615.3",",C","22.5","1,,,C","150","1,,,C","-1.52",",C","0.58",",,,C","-3.61",",,,C"
"CA001100Q7Q","1985-02","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","16",",C","11",",C","0",",C","28",",C","11",",C","0",",C","28",",C","23",",C","0",",C","0",",C","-15.0",",C,03,","1760",",,C,20,+","220",",,C,06,","22.0",",,C,06,","2.5",",C,27,","682.1",",C","108.0",",,,C","1070",",,,C","-6.03",",C","-3.64",",,,C","-8.41",",,,C"
"CA001100Q7Q","1985-03","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","14",",C","13",",C","1",",C","31",",C","12",",C","0",",C","31",",C","22",",C","0",",C","0",",C","-10.0",",C,26,","1930",",,C,30,+","270",",,C,23,","27.0",",,C,23,","6.5",",C,16,","688.8",",C","106.0",",,,C","1010",",,,C","-3.89",",C","-0.97",",,,C","-6.81",",,,C"
"CA001100Q7Q","1985-04","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","16","1,C","10","1,C","1","1,C","30",",C","7","1,C","0",",C","27",",C","8",",C","0",",C","0",",C","-9.5",",C,20,","1880",",,C,27,","290","1,,C,26,","29.0","1,,C,26,","9.5",",C,09,+","566.2",",C","88.0","1,,,C","790","1,,,C","-0.54",",C","2.48",",,,C","-3.57",",,,C"
"CA001100Q7Q","1985-12","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","","","0.0",",C","9",",C","8",",C","0",",C","30","1,C","8",",C","2",",C","27",",C","16",",C","0",",C","0",",C","-21.5",",C,01,","1130","1,,C,08,","140",",,C,07,","14.0",",,C,07,","8.0",",C,25,","623.8",",C","60.0",",,,C","600",",,,C","-1.79",",C","0.68",",,,C","-4.26",",,,C"
"CA001100Q7Q","1986-01","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","24",",C","19",",C","1",",C","30","1,C","18","1,C","0",",C","31",",C","21",",C","0",",C","0",",C","-10.0",",C,03,","1850","1,,C,28,","280","1,,C,17,","28.0",",,C,17,","6.0",",C,12,","653.8",",C","213.0",",,,C","2090","1,,,C","-2.76",",C","-0.77",",,,C","-4.74",",,,C"
"CA001100Q7Q","1986-02","50.1","-122.9167","1540.0","BLACKCOMB MOUNTAIN 1540, BC CA","0.0","C","0.0",",C","8","2,C","7","2,C","1","2,C","26","2,C","7","2,C","2",",C","26",",C","18",",C","0",",C","0",",C","-21.0",",C,19,","2090","2,,C,16,","360","2,,C,15,","36.0","2,,C,15,","8.0",",C,27,","670.1",",C","71.0","2,,,C","710","2,,,C","-5.60",",C","-3.00",",,,C","-8.20",",,,C"
