"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA0011814FR","1988-10","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0","5,C","2","1,C","1","1,C","0","1,C","3","3,C","1","1,C","0","1,C","23","1,C","3","4,C","3","4,C","0","4,C","-17.0","1,C,28,","30","3,,C,28,+","40","1,,C,25,","4.0","1,,C,25,","22.5","4,C,05,+","","","380.7","4,C","5.6","1,,,C","40","1,,,C","3.74","5,C","11.50","4,,,C","-4.02","1,,,C"
"CA0011814FR","1988-11","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0","5,C","7","1,C","4","1,C","0","1,C","","","4","1,C","9","3,C","27","3,C","20","2,C","0","2,C","0","2,C","-25.0","3,C,27,","","","70","1,,C,05,","7.0","1,,C,05,","8.5","2,C,30,","","","695.3","2,C","24.1","1,,,C","241","1,,,C","-9.58","5,C","-4.71","2,,,C","-14.44","3,,,C"
"CA0011814FR","1988-12","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0","3,C","8","1,C","3","1,C","0","1,C","","","3","1,C","14","2,C","29","2,C","20","1,C","0","1,C","0","1,C","-33.5","2,C,31,","","","90","1,,C,01,","9.0","1,,C,01,","7.0","1,C,04,","","","786.1","1,C","27.7","1,,,C","267","1,,,C","-10.00","3,C","-4.75","1,,,C","-15.24","2,,,C"
"CA0011814FR","1989-01","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","3","2,C","3","2,C","0","2,C","","","3","2,C","","","","","","","","","","","","","","","48","2,,C,04,","4.8","2,,C,04,","","","","","","","9.8","2,,,C","98","2,,,C","","","","","",""
"CA0011814FR","1989-02","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0",",C","5",",C","2",",C","0",",C","27","1,C","2",",C","19",",C","28",",C","22",",C","0",",C","0",",C","-35.5",",C,17,+","310","1,,C,28,+","32",",,C,22,","3.2",",,C,22,","4.5",",C,11,","","","921.8",",C","10.8",",,,C","108",",,,C","-14.59",",C","-6.96",",,,C","-22.21",",,,C"
"CA0011814FR","1989-03","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8","5,a,,C","168","5,a,,C","","","","","",""
"CA0011814FR","1989-04","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","1","2,C","1","2,C","0","2,C","","","0","2,C","","","","","0","4,C","0","4,C","0","4,C","","","","","0","2,T,C,20,+","4.2","2,,C,20,","20.0","4,C,29,","","","","","4.2","2,,,C","0","2,T,,C","","","10.46","4,,,C","",""
"CA0011814FR","1989-05","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","4","4,C","1","4,C","0","4,C","","","0","2,C","","","","","","","","","","","","","","","0","2,,C,31,+","18.0","4,,C,30,","","","","","","","21.6","4,,,C","0","2,,,C","","","","","",""
"CA0011814FR","1989-06","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","4.5",",C","11","1,C","6","1,C","0","1,C","0",",C","0",",C","0",",C","0",",C","0",",C","13",",C","0",",C","2.0",",C,17,","0",",,C,30,+","0",",,C,30,+","18.6","1,,C,08,","29.0",",C,12,+","","","133.5",",C","58.6","1,,,C","0",",,,C","14.03",",C","20.82",",,,C","7.25",",,,C"
"CA0011814FR","1989-07","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","","","","","","","0",",","","","","","","","","","","","","","","","0",",,C,31,+","","","","","","","","","","","","","","","","","","","",""
"CA0011814FR","1989-08","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","9","5,C","7","5,C","1","5,C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","0",",,C,31,+","34.0","5,,C,21,","","","","","","","80.8",",a,,C","0",",,,C","","","","","",""
"CA0011814FR","1989-09","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","7","5,C","4","5,C","0","5,C","0",",C","0","3,C","0","4,C","10","4,C","","","","","","","-2.0","4,C,24,+","0",",,C,30,+","0","3,T,C,16,","15.4","5,,C,28,","","","","","","","40.8","3,a,,C","0","3,T,,C","","","","","2.23","4,,,C"
"CA0011814FR","1989-10","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0",",C","8","2,C","3","2,C","0","2,C","","","2","2,C","1",",C","23",",C","4",",C","0",",C","0",",C","-21.0",",C,31,","","","110","2,,C,22,","11.0","2,,C,22,","19.0",",C,03,","","","509.8",",C","25.4","2,,,C","170","2,,,C","1.89",",C","6.97",",,,C","-3.19",",,,C"
"CA0011814FR","1989-11","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0","3,C","7",",C","5",",C","0",",C","26",",C","5",",C","12","1,C","28","1,C","15","2,C","0","2,C","0","2,C","-29.5","1,C,15,","200",",,C,16,","90",",,C,06,","9.0",",,C,06,","11.0","2,C,03,","","","718.7","2,C","29.4",",,,C","294",",,,C","-8.45","3,C","-2.30","2,,,C","-14.60","1,,,C"
"CA0011814FR","1989-12","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","","","3","5,C","3","5,C","0","5,C","","","3","3,","","","","","","","","","","","","","","","64","3,,,07,","6.4","5,,C,07,","","","","","","","16.2","3,a,,C","162","3,a,,","","","","","",""
"CA0011814FR","1990-02","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0","1,C","5",",C","5",",C","0",",C","","","5",",C","17","1,C","26","1,C","19",",C","0",",C","0",",C","-42.0","1,C,16,+","","","140",",,C,10,","14.0",",,C,10,","9.5",",C,28,","","","895.2",",C","31.0",",,,C","310",",,,C","-14.76","1,C","-7.57",",,,C","-21.94","1,,,C"
"CA0011814FR","1990-03","56.3","-121.0167","759.0","CHARLIE LAKE, BC CA","","","0.0","1,C","3","1,C","2","1,C","0","1,C","","","2","1,C","4","1,C","28","1,C","6","1,C","0","1,C","0","1,C","-27.0","1,C,21,","","","130","1,,C,07,","13.0","1,,C,07,","12.0","1,C,02,","","","602.5","1,C","22.0","1,,,C","220","1,,,C","-1.75","1,C","5.32","1,,,C","-8.82","1,,,C"
