"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA002100690","1974-06","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","0.0",",C","16",",C","9",",C","0",",C","","","0","2,C","0",",C","4",",C","0",",C","0",",C","0",",C","-6.7",",C,04,","","","0","2,T,C,28,+","22.9",",,C,18,","20.6",",C,15,","","","311.3",",C","88.7",",,,C","0","2,T,,C","7.96",",C","12.04",",,,C","3.87",",,,C"
"CA002100690","1974-07","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","0.0",",C","19",",C","8",",C","0",",C","","","0",",C","0",",C","1",",C","0",",C","2",",C","0",",C","-2.8",",C,01,","","","0",",,C,31,+","10.2",",,C,09,","21.7",",C,29,+","236.1","","236.1",",C","57.1",",,,C","0",",,,C","10.72",",C","15.02",",,,C","6.42",",,,C"
"CA002100690","1974-08","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","0.0",",C","11",",C","7",",C","0",",C","","","0","3,C","0",",C","6",",C","4",",C","3",",C","0",",C","-6.1",",C,22,","","","0","3,T,C,19,","13.5",",,C,22,","23.3",",C,31,","539.1","","303.0",",C","52.3",",,,C","0","3,T,,C","8.56",",C","12.57",",,,C","4.55",",,,C"
"CA002100690","1974-09","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","0.0",",C","10",",C","4",",C","0",",C","","","0","2,C","0",",C","10",",C","4",",C","0",",C","0",",C","-11.7",",C,29,","","","0","2,,C,30,+","7.9",",,C,15,","20.6",",C,01,","944.5","","405.4",",C","26.5",",,,C","0","2,,,C","4.82",",C","8.71",",,,C","0.92",",,,C"
"CA002100690","1975-06","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","1.1",",C","17",",C","6",",C","0",",C","","","0",",C","0",",C","1",",C","0",",C","1",",C","0",",C","-0.6",",C,11,","","","0",",T,C,09,","7.6",",,C,02,","23.3",",C,29,","","","265.1",",C","41.5",",,,C","0",",T,,C","9.54",",C","13.61",",,,C","5.46",",,,C"
"CA002100690","1975-07","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","3.1",",C","16",",C","8",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","6",",C","0",",C","0.6",",C,29,","","","0",",,C,31,+","14.2",",,C,24,","25.6",",C,11,","198.4","","198.4",",C","82.2",",,,C","0",",,,C","12.03",",C","16.58",",,,C","7.48",",,,C"
"CA002100690","1975-08","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","0.0",",C","11",",C","7",",C","0",",C","","","0","1,C","0",",C","4",",C","0",",C","1",",C","0",",C","-5.6",",C,28,","","","0","1,,C,31,+","16.3",",,C,06,","21.1",",C,13,","515.6","","317.2",",C","44.4",",,,C","0","1,,,C","8.10",",C","12.33",",,,C","3.87",",,,C"
"CA002100690","1976-06","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","0.0",",C","12",",C","7",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","1",",C","0",",C","0.6",",C,11,","","","0",",,C,30,+","16.3",",,C,21,","23.3",",C,26,","","","280.4",",C","65.3",",,,C","0",",,,C","8.99",",C","13.32",",,,C","4.66",",,,C"
"CA002100690","1976-07","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","1.7",",C","14",",C","9",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","3",",C","0",",C","4.4",",C,12,+","","","0",",,C,31,+","24.1",",,C,09,","24.4",",C,30,","190.0","","190.0",",C","79.9",",,,C","0",",,,C","12.26",",C","16.97",",,,C","7.54",",,,C"
"CA002100690","1976-08","64.0833","-141.0","1257.0","LITTLE GOLD CREEK, YT CA","1.7",",C","11",",C","8",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","4",",C","0",",C","2.2",",C,20,","","","0",",,C,31,+","10.4",",,C,12,","25.6",",C,01,","421.8","","231.8",",C","52.9",",,,C","0",",,,C","10.91",",C","14.97",",,,C","6.85",",,,C"
