"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA003012233","2004-11","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","0",",C","0",",C","0",",C","5",",C","0",",C","50",",,C,02,+","0",",T,C,20,","0.0",",T,C,20,","0.0",",T,,C","0",",T,,C"
"CA003012233","2004-12","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","9",",C","4",",C","0",",C","22",",C","4",",C","90",",,C,31,","70",",,C,30,","7.0",",,C,30,","28.1",",,,C","281",",,,C"
"CA003012233","2005-01","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","6",",C","2",",C","0",",C","31",",C","2",",C","130",",,C,21,","70",",,C,20,","7.0",",,C,20,","19.0",",,,C","190",",,,C"
"CA003012233","2005-02","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","4",",C","2",",C","0",",C","24",",C","2",",C","70",",,C,08,+","40",",,C,04,","4.0",",,C,04,","9.6",",,,C","96",",,,C"
"CA003012233","2005-03","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","4",",C","4",",C","0",",C","9","3,C","4",",C","100","3,,C,23,","60",",,C,22,","6.0",",,C,22,","16.0",",,,C","160",",,,C"
"CA003012233","2005-04","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","0",",C","0",",C","0",",C","0","3,C","0",",C","0","3,,C,30,+","0",",,C,30,+","0.0",",,C,30,+","0.0",",,,C","0",",,,C"
"CA003012233","2005-11","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","0",",C","0",",C","0",",C","","","0",",C","","","0",",,C,30,+","0.0",",,C,30,+","0.0",",,,C","0",",,,C"
"CA003012233","2005-12","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","2",",C","0",",C","0",",C","3",",C","0",",C","60",",,C,06,","20",",,C,05,+","2.0",",,C,05,+","4.0",",,,C","40",",,,C"
"CA003012233","2006-01","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","0",",C","0",",C","0",",C","","","0",",C","","","0",",T,C,11,","0.0",",T,C,11,","0.0",",T,,C","0",",T,,C"
"CA003012233","2006-02","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","3",",C","1",",C","0",",C","","","1",",C","","","110",",,C,28,","11.0",",,C,28,","14.0",",,,C","140",",,,C"
"CA003012233","2006-03","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","3",",C","2",",C","0",",C","","","2",",C","","","250",",,C,19,","25.0",",,C,19,","32.0",",,,C","320",",,,C"
"CA003012233","2006-11","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","4","1,C","0","1,C","0","1,C","","","0","1,C","","","17","1,,C,27,","1.7","1,,C,27,","4.8","1,,,C","48","1,,,C"
"CA003012233","2006-12","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","2",",C","1",",C","0",",C","","","1",",C","","","30",",,C,05,","3.0",",,C,05,","5.0",",,,C","50",",,,C"
"CA003012233","2007-01","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","0",",C","0",",C","0",",C","","","0",",C","","","0",",,C,31,+","0.0",",,C,31,+","0.0",",,,C","0",",,,C"
"CA003012233","2007-02","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","5",",C","3",",C","0",",C","","","3",",C","","","30",",,C,22,+","3.0",",,C,22,+","13.0",",,,C","130",",,,C"
"CA003012233","2007-03","53.6667","-113.3667","683.0","EDMONTON GARRISON, AB CA","0",",C","0",",C","0",",C","","","0",",C","","","0",",,C,31,+","0.0",",,C,31,+","0.0",",,,C","0",",,,C"
