"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA003021465","1982-06","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","11",",C","4",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,30,+","0",",,C,30,+","11.0",",,C,26,","","","","","38.6",",,,C","0",",,,C","","","","","",""
"CA003021465","1982-07","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","","","","","","","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","0",",,C,31,+","","","","","","","","","0",",,,C","","","","","",""
"CA003021465","1982-08","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","8",",C","3",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","0",",,C,31,+","23.0",",,C,02,","","","","","39.1",",,,C","0",",,,C","","","","","",""
"CA003021465","1982-09","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","7",",C","6",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,30,+","0",",,C,30,+","24.2",",,C,26,","","","","","56.8",",,,C","0",",,,C","","","","","",""
"CA003021465","1982-10","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","3",",C","1",",C","0",",C","0",",C","1",",C","","","","","","","","","","","","","0",",,C,31,+","60",",,C,17,","10.0",",,C,17,","","","","","13.0",",,,C","60",",,,C","","","","","",""
"CA003021465","1982-11","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","1",",C","1",",C","0",",C","","","1",",C","","","","","","","","","","","","","","","100",",,C,18,","10.0",",,C,18,","","","","","10.0",",,,C","100",",,,C","","","","","",""
"CA003021465","1982-12","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","3",",C","2",",C","0",",C","","","2",",C","","","","","","","","","","","","","","","30",",,C,20,+","3.0",",,C,20,+","","","","","8.0",",,,C","80",",,,C","","","","","",""
"CA003021465","1983-01","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","2",",C","1",",C","0",",C","","","1",",C","","","","","","","","","","","","","","","25",",,C,22,","2.5",",,C,22,","","","","","3.5",",,,C","35",",,,C","","","","","",""
"CA003021465","1983-02","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","3",",C","0",",C","0",",C","","","0",",C","","","","","","","","","","","","","","","20",",,C,28,","2.0",",,C,28,","","","","","4.0",",,,C","40",",,,C","","","","","",""
"CA003021465","1983-03","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","8",",C","5",",C","0",",C","","","5",",C","","","","","","","","","","","","","","","53",",,C,30,","5.3",",,C,30,","","","","","23.4",",,,C","198",",,,C","","","","","",""
"CA003021465","1983-04","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","7",",C","3",",C","0",",C","0",",C","1",",C","","","","","","","","","","","","","0",",,C,30,+","28",",,C,09,","14.2",",,C,25,","","","","","28.4",",,,C","50",",,,C","","","","","",""
"CA003021465","1983-05","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","5",",C","0",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","0",",,C,31,+","2.4",",,C,17,","","","","","7.1",",,,C","0",",,,C","","","","","",""
"CA003021465","1983-06","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","11",",C","6",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,30,+","0",",,C,30,+","14.4",",,C,18,","","","","","53.0",",,,C","0",",,,C","","","","","",""
"CA003021465","1983-07","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","12",",C","8",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","0",",,C,31,+","16.6",",,C,02,","","","","","53.9",",,,C","0",",,,C","","","","","",""
"CA003021465","1983-08","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","4",",C","3",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","0",",,C,31,+","7.0",",,C,18,","","","","","15.0",",,,C","0",",,,C","","","","","",""
"CA003021465","1983-09","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","6",",C","2",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,30,+","0",",,C,30,+","9.0",",,C,08,","","","","","18.5",",,,C","0",",,,C","","","","","",""
"CA003021465","1983-10","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","2",",C","2",",C","0",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","0",",T,C,22,","7.1",",,C,23,","","","","","12.1",",,,C","0",",T,,C","","","","","",""
"CA003021465","1983-11","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","6",",C","3",",C","0",",C","","","3",",C","","","","","","","","","","","","","","","30",",,C,28,+","3.0",",,C,28,+","","","","","13.5",",,,C","135",",,,C","","","","","",""
"CA003021465","1983-12","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","5",",C","3",",C","0",",C","","","3",",C","","","","","","","","","","","","","","","60",",,C,26,","6.0",",,C,26,","","","","","17.0",",,,C","170",",,,C","","","","","",""
"CA003021465","1984-01","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","7",",C","5",",C","0",",C","","","5",",C","","","","","","","","","","","","","","","55",",,C,15,","5.5",",,C,15,","","","","","18.5",",,,C","185",",,,C","","","","","",""
"CA003021465","1984-03","51.0167","-111.55","701.0","CESSFORD, AB CA","","","","","6",",C","3",",C","0",",C","","","3",",C","","","","","","","","","","","","","","","55",",,C,12,","5.5",",,C,12,","","","","","14.6",",,,C","146",",,,C","","","","","",""
