"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA005031201","2005-02","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","0.0",",C","10",",C","3",",C","0",",C","28",",C","3",",C","17",",C","28",",C","21",",C","0",",C","0",",C","-32.7",",C,19,","450",",,C,27,+","75",",,C,01,","7.5",",,C,01,","5.8",",C,02,","","","856.9",",C","27.3",",,,C","273",",,,C","-12.27",",C","-5.42",",,,C","-19.12",",,,C","","","",""
"CA005031201","2005-03","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","0.0",",C","12",",C","2",",C","0",",C","31",",C","2",",C","13",",C","30",",C","20",",C","0",",C","0",",C","-29.4",",C,08,","440",",,C,05,+","44",",,C,13,","4.4",",,C,13,","9.6",",C,29,","","","805.1",",C","20.7",",,,C","169",",,,C","-7.64",",C","-0.84",",,,C","-14.44",",,,C","","","",""
"CA005031201","2005-04","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","0.0",",C","8",",C","1",",C","0",",C","2",",C","0",",C","0",",C","14",",C","0",",C","2",",C","0",",C","-5.0",",C,01,","110",",,C,01,","0",",,C,30,+","4.5",",,C,10,","21.2",",C,18,+","","","343.0",",C","13.7",",,,C","0",",,,C","6.90",",C","12.45",",,,C","1.35",",,,C","","","",""
"CA005031201","2005-05","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","1.0",",C","12",",C","6",",C","1",",C","0",",C","0",",C","0",",C","6",",C","0",",C","4",",C","0",",C","-5.0",",C,02,","0",",,C,31,+","2",",,C,01,","27.0",",,C,21,","27.9",",C,20,","","","252.7",",C","74.0",",,,C","2",",,,C","10.21",",C","15.07",",,,C","5.36",",,,C","","","",""
"CA005031201","2005-06","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","27.0",",C","19",",C","13",",C","3",",C","0",",C","0",",C","0",",C","0",",C","0",",C","14",",C","0",",C","7.1",",C,25,","0",",,C,30,+","0",",,C,30,+","45.4",",,C,03,","30.1",",C,23,+","","","66.9",",C","226.4",",,,C","0",",,,C","17.00",",C","21.29",",,,C","12.71",",,,C","","","",""
"CA005031201","2005-07","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","73.6",",C","8",",C","5",",C","0",",C","0",",C","0",",C","0",",C","0",",C","0",",C","22",",C","1",",C","7.9",",C,01,","0",",,C,31,+","0",",,C,31,+","22.6",",,C,11,","32.8",",C,10,","39.5","C","39.5",",C","58.6",",,,C","0",",,,C","19.43",",C","24.73",",,,C","14.14",",,,C","","","",""
"CA005031201","2005-08","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","30.0",",C","13",",C","9",",C","0",",C","0",",C","0",",C","0",",C","0",",C","0",",C","17",",C","0",",C","7.1",",C,16,","0",",,C,31,+","0",",,C,31,+","7.4",",,C,08,","31.6",",C,01,","97.9","C","58.4",",C","51.0",",,,C","0",",,,C","17.42",",C","22.19",",,,C","12.64",",,,C","","","",""
"CA005031201","2005-09","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","16.0",",C","10",",C","8",",C","0",",C","0",",C","0",",C","0",",C","0",",C","0",",C","10",",C","0",",C","2.6",",C,29,","0",",,C,30,+","0",",,C,30,+","11.0",",,C,05,","27.6",",C,11,","241.1","C","143.2",",C","52.2",",,,C","0",",,,C","14.10",",C","19.15",",,,C","9.04",",,,C","","","",""
"CA005031201","2005-10","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","0.0",",C","4",",C","2",",C","0",",C","0",",C","0",",C","0",",C","5",",C","0",",C","1",",C","0",",C","-0.9",",C,06,","0",",,C,31,+","0",",,C,31,+","5.8",",,C,21,","25.2",",C,02,","571.5","C","330.4",",C","13.2",",,,C","0",",,,C","7.68",",C","11.75",",,,C","3.60",",,,C","","","",""
"CA005031201","2005-11","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","0.0",",C","5",",C","4",",C","0",",C","","","2",",C","3",",C","24",",C","9",",C","0",",C","0",",C","-21.0",",C,17,","","","30",",,C,14,","8.2",",,C,08,","12.0",",C,11,","1206.2","C","634.7",",C","18.9",",,,C","58",",,,C","-2.82",",C","0.83",",,,C","-6.48",",,,C","","","",""
"CA005031201","2005-12","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","","","0.0",",C","0",",C","0",",C","0",",C","","","0",",C","7",",C","31",",C","26",",C","0",",C","0",",C","-28.0",",C,18,","","","0",",,C,31,+","0.0",",,C,31,+","1.5",",C,09,","2050.3","C","844.1",",C","0.0",",,,C","0",",,,C","-8.90",",C","-5.59",",,,C","-12.20",",,,C","","","",""
"CA005031201","2006-01","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","0.0","C","0.0",",C","0",",C","0",",C","0",",C","","","0",",C","7",",C","31",",C","27",",C","0",",C","0",",C","-28.8",",C,22,","","","0",",,C,31,+","0.0",",,C,31,+","5.5",",C,26,","2881.5","C","831.2",",C","0.0",",,,C","0",",,,C","-8.48",",C","-3.99",",,,C","-12.97",",,,C","","","",""
"CA005031201","2006-02","50.5167","-95.9833","253.0","GREAT FALLS CLIMATE, MB CA","0.0","C","0.0",",C","0",",C","0",",C","0",",C","","","0",",C","18",",C","28",",C","28",",C","0",",C","0",",C","-34.0",",C,17,","","","0",",,C,28,+","0.0",",,C,28,+","-2.0",",C,28,","3821.9","C","940.4",",C","0.0",",,,C","0",",,,C","-15.25",",C","-9.09",",,,C","-21.41",",,,C","","","",""
