"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006109517","2003-11","45.05","-75.3333","75.0","WINCHESTER, ON CA","","","0.0",",C","","","","","","","","","0",",C","20",",C","2",",C","0",",C","0",",C","-11.2",",C,09,","","","","","17.2",",C,24,+","","","475.2",",C","","","2.49",",C","6.93",",,,C","-1.94",",,,C"
"CA006109517","2003-12","45.05","-75.3333","75.0","WINCHESTER, ON CA","","","0.0",",C","","","","","","","","","4",",C","28",",C","16",",C","0",",C","0",",C","-22.6",",C,20,","","","","","7.6",",C,29,","","","743.4",",C","","","-5.65",",C","-1.27",",,,C","-10.02",",,,C"
"CA006109517","2004-01","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0","1,C","","","","","","","22","1,","16","1,C","30","1,C","28",",C","0",",C","0",",C","-30.2","1,C,14,","90","1,,C,29,+","","","5.1",",C,03,","","","1007.4",",C","","","-15.40","1,C","-11.20",",,,C","-19.60","1,,,C"
"CA006109517","2004-02","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0",",C","","","","","","","29",",","14",",C","29",",C","21",",C","0",",C","0",",C","-27.5",",C,15,","210",",,C,21,","","","6.1",",C,28,","","","810.4",",C","","","-9.61",",C","-2.96",",,,C","-16.26",",,,C"
"CA006109517","2004-03","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0",",C","","","","","","","10","1,","0",",C","23",",C","6",",C","0",",C","0",",C","-16.8",",C,22,","150","1,,C,01,","","","15.7",",C,30,","","","576.3",",C","","","-0.26",",C","4.16",",,,C","-4.67",",,,C"
"CA006109517","2004-04","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.9","C","0.9","1,C","","","","","","","","","0","1,C","15","1,C","1",",C","2",",C","0",",C","-10.8","1,C,05,","","","","","26.0",",C,30,","","","382.4",",C","","","5.09","1,C","10.43",",,,C","-0.26","1,,,C"
"CA006109517","2004-05","45.05","-75.3333","75.0","WINCHESTER, ON CA","1.8","C","0.9","2,C","12","3,C","9","3,C","0","3,C","","","0","2,C","2","2,C","0","1,C","8","1,C","0","1,C","-2.9","2,C,08,","","","16.0","3,,C,02,","28.0","1,C,13,","","","183.5","1,C","77.6","3,,,C","12.08","2,C","18.39","1,,,C","5.77","2,,,C"
"CA006109517","2004-06","45.05","-75.3333","75.0","WINCHESTER, ON CA","19.7","C","17.9","1,C","9","1,C","8","1,C","1","1,C","","","0","1,C","0","1,C","0","1,C","20","1,C","0","1,C","4.2","1,C,04,","","","25.8","1,,C,01,","28.2","1,C,08,","","","75.8","1,C","74.0","1,,,C","16.34","1,C","22.71","1,,,C","9.97","1,,,C"
"CA006109517","2004-07","45.05","-75.3333","75.0","WINCHESTER, ON CA","68.6","C","48.9","1,C","12","2,C","7","2,C","3","2,C","","","0","1,C","0","1,C","0","1,C","29","1,C","0","1,C","7.2","1,C,26,","","","32.2","2,,C,31,","29.4","1,C,04,","13.9","C","13.9","1,C","123.2","2,,,C","19.50","1,C","25.16","1,,,C","13.84","1,,,C"
"CA006109517","2004-08","45.05","-75.3333","75.0","WINCHESTER, ON CA","94.9","C","26.3",",C","9",",C","6",",C","0",",C","","","0",",C","0",",C","0",",C","23",",C","0",",C","4.1",",C,22,","","","7.2",",,C,19,","28.2",",C,28,","70.5","C","56.6",",C","30.4",",,,C","17.35",",C","23.32",",,,C","11.39",",,,C"
"CA006109517","2004-09","45.05","-75.3333","75.0","WINCHESTER, ON CA","97.8","C","2.9","1,C","3","2,C","2","2,C","1","2,C","","","0","1,C","0","1,C","0",",C","18",",C","0",",C","0.9","1,C,30,","","","78.0","2,,C,09,","27.7",",C,03,","167.5","C","97.0",",C","83.2","2,,,C","15.05","1,C","21.73",",,,C","8.38","1,,,C"
"CA006109517","2004-10","45.05","-75.3333","75.0","WINCHESTER, ON CA","97.8","C","0.0","2,C","","","","","","","","","0","2,C","12","2,C","0","2,C","2","2,C","0","2,C","-4.9","2,C,28,","","","","","24.5","2,C,08,","473.6","C","306.1","2,C","","","7.78","2,C","13.83","2,,,C","1.73","2,,,C"
"CA006109517","2004-12","45.05","-75.3333","75.0","WINCHESTER, ON CA","","","0.0","1,C","","","","","","","21",",","10",",C","30",",C","16","1,C","0","1,C","0","1,C","-30.2",",C,20,","210",",,C,23,","","","8.3","1,C,31,","","","778.9","1,C","","","-7.90","1,C","-2.03","1,,,C","-13.77",",,,C"
"CA006109517","2005-01","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0",",C","","","","","","","31",",","14",",C","31",",C","26",",C","0",",C","0",",C","-29.7",",C,22,+","140",",,C,20,","","","13.0",",C,13,","","","929.7",",C","","","-11.66",",C","-6.56",",,,C","-16.76",",,,C"
"CA006109517","2005-02","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0","2,C","","","","","","","28",",","9","2,C","25","2,C","19","2,C","0","2,C","0","2,C","-26.3","2,C,24,","130",",,C,28,+","","","5.7","2,C,07,","","","685.3","2,C","","","-8.03","2,C","-2.34","2,,,C","-13.71","2,,,C"
"CA006109517","2005-03","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0",",C","","","","","","","30",",","6",",C","29",",C","12",",C","0",",C","0",",C","-21.0",",C,10,","270",",,C,02,","","","17.1",",C,31,","","","730.9",",C","","","-5.24",",C","1.13",",,,C","-11.62",",,,C"
"CA006109517","2005-04","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0",",C","","","","","","","","","0",",C","12",",C","0",",C","2",",C","0",",C","-4.3",",C,16,+","","","","","23.3",",C,19,","","","362.6",",C","","","6.25",",C","12.26",",,,C","0.23",",,,C"
"CA006109517","2005-05","45.05","-75.3333","75.0","WINCHESTER, ON CA","0.0","C","0.0","1,C","8","2,C","4","2,C","0","2,C","","","0","1,C","5","1,C","0",",C","8",",C","0",",C","-4.8","1,C,13,","","","5.0","2,,C,14,","28.1",",C,10,","","","234.2",",C","22.2","2,,,C","10.45","1,C","16.90",",,,C","4.00","1,,,C"
"CA006109517","2005-06","45.05","-75.3333","75.0","WINCHESTER, ON CA","88.8","C","88.8",",C","10","1,C","7","1,C","1","1,C","","","0",",C","0",",C","0",",C","24",",C","0",",C","5.9",",C,23,","","","27.2","1,,C,17,","31.8",",C,25,","","","28.8",",C","108.2","1,,,C","20.33",",C","26.32",",,,C","14.35",",,,C"
"CA006109517","2005-07","45.05","-75.3333","75.0","WINCHESTER, ON CA","177.3","C","88.5",",C","13",",C","6",",C","1",",C","","","0",",C","0",",C","0",",C","30",",C","1",",C","6.7",",C,28,","","","36.2",",,C,09,","32.4",",C,11,","12.5","C","12.5",",C","107.6",",,,C","20.79",",C","26.98",",,,C","14.59",",,,C"
