"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006112340","1958-07","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","30.7","3,C","7",",C","4",",C","1",",C","","","0",",C","0","3,C","0","3,C","0","1,C","27","1,C","0","1,C","5.0","3,C,20,","","","0",",,C,31,+","41.7",",,C,10,","30.0","1,C,28,+","23.9","C","23.9","1,C","69.1",",,,C","0",",,,C","18.53","3,C","25.30","1,,,C","11.75","3,,,C"
"CA006112340","1958-08","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","40.2",",C","12",",C","8",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","26",",C","1",",C","3.9",",C,27,","","","0",",,C,31,+","18.8",",,C,20,","32.2",",C,05,","63.3","C","39.4",",C","78.1",",,,C","0",",,,C","18.36",",C","25.90",",,,C","10.82",",,,C"
"CA006112340","1958-09","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","11.2",",C","12",",C","7",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","11",",C","0",",C","1.1",",C,28,","","","0",",,C,30,+","19.6",",,C,09,","28.3",",C,15,","187.8","C","124.5",",C","58.0",",,,C","0",",,,C","14.56",",C","20.24",",,,C","8.87",",,,C"
"CA006112340","1958-10","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","9",",C","5",",C","0",",C","","","0",",C","0",",C","7",",C","0",",C","2",",C","0",",C","-6.1",",C,06,","","","0",",,C,31,+","17.0",",,C,10,","23.3",",C,07,","483.0","C","295.2",",C","40.6",",,,C","0",",,,C","8.81",",C","14.35",",,,C","3.27",",,,C"
"CA006112340","1958-11","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","15",",C","7",",C","0",",C","","","4",",C","0",",C","18",",C","4",",C","0",",C","0",",C","-13.9",",C,30,","","","127",",,C,29,+","18.0",",,C,15,","19.4",",C,18,","937.1","C","454.1",",C","70.7",",,,C","420",",,,C","3.20",",C","7.41",",,,C","-1.02",",,,C"
"CA006112340","1958-12","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","18",",C","10",",C","0",",C","","","10",",C","11",",C","31",",C","23",",C","0",",C","0",",C","-33.3",",C,20,","","","152",",,C,16,","15.2",",,C,16,","4.4",",C,28,","1796.9","C","859.8",",C","80.7",",,,C","798",",,,C","-9.40",",C","-3.46",",,,C","-15.34",",,,C"
"CA006112340","1959-01","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","21",",C","15",",C","0",",C","","","12",",C","9",",C","31",",C","24",",C","0",",C","0",",C","-35.6",",C,26,","","","152",",,C,25,+","15.2",",,C,25,+","7.8",",C,21,","2651.2","C","854.3",",C","124.6",",,,C","970",",,,C","-9.22",",C","-4.73",",,,C","-13.72",",,,C"
"CA006112340","1959-02","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","16",",C","10",",C","1",",C","","","9",",C","9",",C","28",",C","18",",C","0",",C","0",",C","-31.1",",C,19,","","","305",",,C,10,","30.5",",,C,10,","3.9",",C,28,+","3460.5","C","809.3",",C","96.3",",,,C","900",",,,C","-10.57",",C","-4.32",",,,C","-16.82",",,,C"
"CA006112340","1959-03","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","13",",C","5",",C","0",",C","","","1",",C","5",",C","30",",C","12",",C","0",",C","0",",C","-23.3",",C,10,","","","33",",,C,12,","6.4",",,C,14,+","9.4",",C,20,+","4159.4","C","698.9",",C","33.9",",,,C","119",",,,C","-4.21",",C","1.45",",,,C","-9.87",",,,C"
"CA006112340","1959-04","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","10",",C","7",",C","0",",C","","","0",",C","0",",C","18",",C","0",",C","2",",C","0",",C","-7.8",",C,13,","","","13",",,C,03,","13.7",",,C,28,","24.4",",C,25,","4527.0","C","367.6",",C","60.0",",,,C","13",",,,C","6.08",",C","12.14",",,,C","0.02",",,,C"
"CA006112340","1959-05","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","9.3","C","9.3",",C","14",",C","10",",C","1",",C","","","0",",C","0",",C","8",",C","0",",C","15",",C","0",",C","-3.9",",C,01,","","","0",",,C,31,+","41.7",",,C,19,","28.3",",C,06,","4708.4","C","181.4",",C","115.4",",,,C","0",",,,C","12.78",",C","19.32",",,,C","6.24",",,,C"
