"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006144232","1914-10","43.4333","-80.5","343.0","KITCHENER, ON CA","","","","","5",",C","1",",C","0",",C","0",",C","","","","","","","","","","","","","0",",,C,31,+","8.6",",,C,29,","","","","","","","14.3",",,,C","0",",,,C","","","","","",""
"CA006144232","1914-11","43.4333","-80.5","343.0","KITCHENER, ON CA","","","0.0",",C","20",",C","13",",C","0",",C","7",",C","0",",C","22",",C","6",",C","0",",C","0",",C","-16.1",",C,20,","76",",,C,22,","15.5",",,C,16,","16.7",",C,08,","","","530.3",",C","114.4",",,,C","356",",,,C","0.66",",C","5.22",",,,C","-3.90",",,,C"
"CA006144232","1914-12","43.4333","-80.5","343.0","KITCHENER, ON CA","","","0.0",",C","16",",C","15",",C","0",",C","13",",C","3",",C","28",",C","22",",C","0",",C","0",",C","-26.1",",C,26,","165",",,C,13,","16.5",",,C,13,","13.3",",C,02,","","","739.9",",C","97.3",",,,C","833",",,,C","-5.53",",C","-2.20",",,,C","-8.87",",,,C"
"CA006144232","1915-01","43.4333","-80.5","343.0","KITCHENER, ON CA","0.0","C","0.0",",C","13",",C","10",",C","0",",C","9",",C","9",",C","31",",C","24",",C","0",",C","0",",C","-22.2",",C,28,+","178",",,C,19,","17.8",",,C,19,","5.0",",C,17,+","","","812.4",",C","84.8",",,,C","686",",,,C","-7.87",",C","-3.46",",,,C","-12.29",",,,C"
"CA006144232","1915-02","43.4333","-80.5","343.0","KITCHENER, ON CA","0.0","C","0.0",",C","9",",C","6",",C","0",",C","3",",C","2",",C","24",",C","13",",C","0",",C","0",",C","-24.4",",C,04,","127",",,C,03,","19.3",",,C,01,","6.1",",C,20,","","","661.5",",C","74.2",",,,C","267",",,,C","-5.29",",C","-0.98",",,,C","-9.61",",,,C"
"CA006144232","1915-03","43.4333","-80.5","343.0","KITCHENER, ON CA","0.0","C","0.0",",C","5",",C","4",",C","0",",C","4",",C","0",",C","30",",C","14",",C","0",",C","0",",C","-13.9",",C,30,","114",",,C,05,","11.4",",,C,05,","6.7",",C,25,","","","674.7",",C","26.0",",,,C","240",",,,C","-3.43",",C","0.55",",,,C","-7.42",",,,C"
"CA006144232","1915-04","43.4333","-80.5","343.0","KITCHENER, ON CA","15.6","C","15.6",",C","9",",C","4",",C","0",",C","1",",C","0",",C","15",",C","0",",C","8",",C","0",",C","-5.6",",C,01,","36",",,C,06,","5.1",",,C,23,","29.4",",C,27,","","","299.2",",C","22.8",",,,C","64",",,,C","8.88",",C","14.39",",,,C","3.37",",,,C"
"CA006144232","1915-05","43.4333","-80.5","343.0","KITCHENER, ON CA","15.6","C","0.0",",C","12",",C","7",",C","0",",C","0",",C","0",",C","2",",C","0",",C","3",",C","0",",C","-0.6",",C,18,","0",",,C,31,+","9.9",",,C,22,","23.3",",C,12,","","","262.5",",C","44.8",",,,C","0",",,,C","9.86",",C","15.28",",,,C","4.45",",,,C"
"CA006144232","1915-06","43.4333","-80.5","343.0","KITCHENER, ON CA","21.4","C","5.8",",C","8",",C","4",",C","0",",C","0",",C","0",",C","0",",C","0",",C","20",",C","0",",C","3.3",",C,24,","0",",,C,30,+","21.6",",,C,15,","28.3",",C,30,+","","","84.7",",C","64.9",",,,C","0",",,,C","15.70",",C","22.17",",,,C","9.24",",,,C"
"CA006144232","1915-07","43.4333","-80.5","343.0","KITCHENER, ON CA","66.2","C","44.8",",C","15",",C","8",",C","1",",C","0",",C","0",",C","0",",C","0",",C","28",",C","0",",C","7.8",",C,22,+","0",",,C,31,+","36.6",",,C,08,","29.4",",C,15,","22.7","C","22.7",",C","143.8",",,,C","0",",,,C","19.05",",C","24.42",",,,C","13.67",",,,C"
