"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00705LG09","1976-07","48.25","-68.7833","148.0","LADRIERE, QC CA","","","26.9",",C","15",",C","9",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","19",",C","0",",C","2.2",",C,22,","","","0",",,C,31,+","14.5",",,C,13,","31.7",",C,07,","61.2","C","61.2",",C","77.9",",,,C","0",",,,C","17.23",",C","23.10",",,,C","11.36",",,,C"
"CA00705LG09","1976-08","48.25","-68.7833","148.0","LADRIERE, QC CA","","","36.7",",C","12",",C","9",",C","1",",C","","","0",",C","0",",C","1",",C","0",",C","16",",C","0",",C","0.0",",C,07,","","","0",",,C,31,+","27.9",",,C,09,","28.9",",C,22,","159.8","C","98.6",",C","99.8",",,,C","0",",,,C","16.34",",C","21.81",",,,C","10.87",",,,C"
"CA00705LG09","1976-09","48.25","-68.7833","148.0","LADRIERE, QC CA","","","0.0",",C","14",",C","6",",C","0",",C","","","0",",C","0",",C","8",",C","0",",C","4",",C","0",",C","-3.9",",C,26,","","","0",",,C,30,+","21.6",",,C,20,","23.9",",C,18,","429.3","C","269.5",",C","63.9",",,,C","0",",,,C","9.35",",C","14.77",",,,C","3.93",",,,C"
"CA00705LG09","1976-10","48.25","-68.7833","148.0","LADRIERE, QC CA","","","0.0","3,C","14",",C","11",",C","2",",C","","","5",",C","0","2,C","21","2,C","2","3,C","1","3,C","0","3,C","-11.1","2,C,27,","","","239",",,C,31,","43.7",",,C,09,","21.7","3,C,05,","847.9","C","418.6","3,C","179.7",",,,C","546",",,,C","3.40","3,C","7.88","3,,,C","-1.08","2,,,C"
"CA00705LG09","1976-11","48.25","-68.7833","148.0","LADRIERE, QC CA","","","0.0",",C","10",",C","7",",C","0",",C","","","5",",C","3",",C","30",",C","23",",C","0",",C","0",",C","-18.3",",C,30,+","","","97",",,C,26,+","16.8",",,C,04,","3.9",",C,27,+","1514.9","C","667.0",",C","61.2",",,,C","353",",,,C","-3.90",",C","-1.27",",,,C","-6.53",",,,C"
"CA00705LG09","1976-12","48.25","-68.7833","148.0","LADRIERE, QC CA","","","0.0",",C","11",",C","9",",C","1",",C","","","8",",C","20",",C","31",",C","30",",C","0",",C","0",",C","-32.2",",C,29,","","","325",",,C,30,","32.5",",,C,30,","2.2",",C,07,","2535.3","C","1020.4",",C","126.6",",,,C","1192",",,,C","-14.58",",C","-9.46",",,,C","-19.71",",,,C"
"CA00705LG09","1977-01","48.25","-68.7833","148.0","LADRIERE, QC CA","0.0","C","0.0","1,C","13",",C","7",",C","0",",C","","","7",",C","17","1,C","30","1,C","30","1,C","0","1,C","0","1,C","-38.3","1,C,15,","","","191",",,C,10,","19.1",",,C,10,","-1.7","1,C,25,","3548.2","C","1012.9","1,C","75.8",",,,C","758",",,,C","-15.43","1,C","-10.34","1,,,C","-20.52","1,,,C"
"CA00705LG09","1977-02","48.25","-68.7833","148.0","LADRIERE, QC CA","0.0","C","0.0",",C","13",",C","9",",C","1",",C","","","9",",C","11",",C","28",",C","27",",C","0",",C","0",",C","-34.4",",C,24,","","","267",",,C,13,","26.7",",,C,13,","1.1",",C,28,","4391.4","C","843.2",",C","86.4",",,,C","864",",,,C","-11.78",",C","-7.06",",,,C","-16.51",",,,C"
"CA00705LG09","1977-03","48.25","-68.7833","148.0","LADRIERE, QC CA","0.0","C","0.0",",C","11",",C","9",",C","2",",C","","","8",",C","1",",C","29",",C","13",",C","0",",C","0",",C","-18.3",",C,01,","","","318",",,C,17,","31.8",",,C,17,","10.6",",C,30,","5048.1","C","656.7",",C","97.1",",,,C","853",",,,C","-2.85",",C","1.39",",,,C","-7.10",",,,C"
"CA00705LG09","1977-04","48.25","-68.7833","148.0","LADRIERE, QC CA","0.0","C","0.0",",C","10",",C","5",",C","0",",C","","","3",",C","1",",C","25",",C","9",",C","0",",C","0",",C","-18.3",",C,11,","","","64",",,C,05,","8.9",",,C,28,","16.7",",C,21,","5602.7","C","554.6",",C","33.1",",,,C","161",",,,C","-0.15",",C","4.97",",,,C","-5.27",",,,C"
