"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA007103283","1995-02","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0","5,C","","","","","","","23","5,C","23","5,C","23","5,C","0","5,C","0","5,C","-40.4","5,C,25,","","","-13.3","5,C,07,","","","1092.4","5,C","","","-29.16","5,C","-25.04","5,,,C","-33.28","5,,,C"
"CA007103283","1995-05","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","","","","","","","","","","","","","9","5,C","0","5,C","0","5,C","","","","","10.7","5,C,19,","","","","","","","","","3.55","5,,,C","",""
"CA007103283","1995-07","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0","3,C","","","","","","","0","3,C","0","3,C","0",",C","2",",C","0",",C","1.6","3,C,05,","","","23.6",",C,01,","254.6","C","254.6",",C","","","9.14","3,C","13.21",",,,C","5.07","3,,,C"
"CA007103283","1995-08","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","","","","","","","","","","","","","0","4,C","0","4,C","0","4,C","","","","","20.0","4,C,16,","","","","","","","","","13.88","4,,,C","",""
"CA007103283","1995-09","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0","5,C","","","","","","","0","5,C","4","5,C","0","4,C","0","4,C","0","4,C","-0.5","5,C,27,+","","","9.6","4,C,01,","","","345.7","4,C","","","4.51","5,C","6.97","4,,,C","2.06","5,,,C"
"CA007103283","1995-11","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0","4,C","","","","","","","4","4,C","26","4,C","26","3,C","0","3,C","0","3,C","-23.3","4,C,27,","","","0.2","3,C,01,","","","674.6","3,C","","","-7.56","4,C","-4.38","3,,,C","-10.74","4,,,C"
"CA007103283","1995-12","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","","","","","","","","","","","","","26","5,C","0","5,C","0","5,C","","","","","-2.4","5,C,20,","","","","","","","","","-15.50","5,,,C","",""
"CA007103283","1996-02","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","17",",C","5",",C","0",",C","25",",C","29",",C","29",",C","0",",C","0",",C","-38.1",",C,18,","7.5",",,C,27,","-5.9",",C,25,","","","1196.3",",C","37.0",",,,C","-22.92",",C","-19.18",",,,C","-26.66",",,,C"
"CA007103283","1996-03","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","16",",C","2",",C","0",",C","29",",C","31",",C","31",",C","0",",C","0",",C","-31.8",",C,16,","4.5",",,C,14,","-9.3",",C,13,","","","1216.1",",C","20.0",",,,C","-20.90",",C","-16.32",",,,C","-25.48",",,,C"
"CA007103283","1996-04","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","16",",C","4",",C","0",",C","5",",C","30",",C","25",",C","0",",C","0",",C","-24.0",",C,20,","4.5",",,C,29,","2.3",",C,21,","","","826.0",",C","21.0",",,,C","-9.20",",C","-5.37",",,,C","-13.03",",,,C"
"CA007103283","1996-05","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","15","1,C","2","1,C","0","1,C","0",",C","30",",C","22",",C","0",",C","0",",C","-16.7",",C,18,","8.5","1,,C,01,","2.3",",C,30,","","","735.0",",C","24.5","1,,,C","-5.38",",C","-2.32",",,,C","-8.43",",,,C"
"CA007103283","1996-06","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","18","1,C","7","1,C","0","1,C","0",",C","18",",C","0",",C","1",",C","0",",C","-2.8",",C,19,","8.0","1,,C,09,","21.7",",C,29,","","","412.2",",C","37.5","1,,,C","4.59",",C","8.77",",,,C","0.41",",,,C"
"CA007103283","1996-07","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","5","1,C","0","1,C","0","1,C","0",",C","0",",C","0",",C","7",",C","0",",C","1.6",",C,04,","0.5","1,,C,31,+","26.3",",C,24,","189.9","C","189.9",",C","2.5","1,,,C","12.21",",C","18.33",",,,C","6.09",",,,C"
"CA007103283","1996-09","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0","5,C","12","4,C","7","4,C","0","4,C","0","5,C","7","5,C","0","5,C","0","5,C","0","5,C","-1.9","5,C,01,","12.5","4,,C,05,","14.4","5,C,02,","","","298.5","5,C","45.5","4,,,C","6.39","5,C","10.33","5,,,C","2.46","5,,,C"
"CA007103283","1996-10","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","23",",C","6",",C","0",",C","0",",C","22",",C","11",",C","0",",C","0",",C","-15.2",",C,17,","13.0",",,C,05,","6.9",",C,22,","","","607.4",",C","56.5",",,,C","-1.26",",C","1.34",",,,C","-3.86",",,,C"
"CA007103283","1996-11","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","22","1,C","7","1,C","0","1,C","0",",C","29",",C","20",",C","0",",C","0",",C","-14.2",",C,23,","10.5","1,,C,07,","3.0",",C,07,","","","671.6",",C","50.5","1,,,C","-4.06",",C","-1.75",",,,C","-6.36",",,,C"
"CA007103283","1996-12","58.4667","-78.0833","26.0","INUKJUAK A, QC CA","","","0.0",",C","18","1,C","4","1,C","0","1,C","15",",C","31",",C","30",",C","0",",C","0",",C","-31.6",",C,28,","3.5","1,,C,13,+","0.1",",C,14,","","","1016.0",",C","25.0","1,,,C","-14.44",",C","-11.44",",,,C","-17.45",",,,C"
