"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA1BC000030","2016-02","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","5","5,N","4","5,N","0","5,N","","","","","","","","","11.2","5,,N,13,","30.4","1,a,,N","",""
"CA1BC000030","2016-03","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","14",",N","9",",N","0",",N","","","","","","","","","19.1",",,N,10,","69.4",",,,N","",""
"CA1BC000030","2016-04","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","4","3,N","3","3,N","0","3,N","","","","","","","","","8.9","3,,N,23,","15.5","1,a,,N","",""
"CA1BC000030","2016-05","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","9","2,N","4","2,N","0","2,N","","","","","","","","","9.9","2,,N,20,","30.9",",a,,N","",""
"CA1BC000030","2016-06","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","4",",N","3",",N","0",",N","","","0","5,N","","","0","5,,N,30,+","11.2",",,N,19,","20.0",",,,N","0","5,,,N"
"CA1BC000030","2016-08","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","6",",N","3",",N","0",",N","","","","","","","","","4.3",",,N,08,","14.7",",,,N","",""
"CA1BC000030","2016-09","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","11","4,N","2","4,N","0","4,N","","","","","","","","","4.6","4,,N,04,","17.9","4,,,N","",""
"CA1BC000030","2016-10","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","15","1,N","8","1,N","0","1,N","","","","","","","","","21.3","1,,N,09,","83.3","1,,,N","",""
"CA1BC000030","2016-11","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","12",",N","5",",N","0",",N","","","","","","","","","14.0",",,N,26,","38.5",",,,N","",""
"CA1BC000030","2016-12","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","10","3,N","3","3,N","0","3,N","","","4","3,N","","","81","3,,N,11,","6.1","3,,N,04,","25.3","1,a,,N","286","3,,,N"
"CA1BC000030","2017-01","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","7","3,N","2","3,N","0","3,N","26","5,N","3","4,N","284","5,,N,10,","89","4,,N,09,","7.1","3,,N,09,","21.1","3,,,N","195","4,,,N"
"CA1BC000030","2017-02","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","10",",N","5",",N","0",",N","28",",N","4","3,N","381",",,N,10,","130","3,,N,09,","20.6",",,N,16,","63.8",",,,N","378","3,,,N"
"CA1BC000030","2017-03","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","12",",N","7",",N","0",",N","","","","","","","","","10.2",",,N,18,","40.6",",,,N","",""
"CA1BC000030","2017-04","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","10","2,N","3","2,N","0","2,N","","","","","","","","","7.4","2,,N,02,","24.0","2,,,N","",""
"CA1BC000030","2017-05","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","10","2,N","8","2,N","0","2,N","","","","","","","","","6.6","2,,N,17,","36.9",",a,,N","",""
"CA1BC000030","2017-06","50.13663","-120.96872","540.7","MERRITT 13.1 WNW, BC CA","4","3,N","0","3,N","0","3,N","","","","","","","","","1.5","3,,N,10,","3.5",",a,,N","",""
