"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"CA1ON000313","2015-11","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","45.5","5,a,,N"
"CA1ON000313","2016-07","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","45.5","5,a,,N"
"CA1ON000313","2016-08","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","107.8","2,a,,N"
"CA1ON000313","2016-10","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","48.7",",a,,N"
"CA1ON000313","2016-11","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","58.8",",a,,N"
"CA1ON000313","2017-04","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","106.4","2,a,,N"
"CA1ON000313","2017-05","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","149.5","1,a,,N"
"CA1ON000313","2017-06","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","82.5",",a,,N"
"CA1ON000313","2017-08","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","76.3",",a,,N"
"CA1ON000313","2017-09","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","21.6","2,a,,N"
"CA1ON000313","2017-10","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","75.5","2,a,,N"
"CA1ON000313","2017-11","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","63.4",",a,,N"
"CA1ON000313","2018-05","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","62.1",",a,,N"
"CA1ON000313","2018-06","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","100.1","1,a,,N"
"CA1ON000313","2018-08","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","124.0","1,a,,N"
"CA1ON000313","2018-10","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","62.4","1,a,,N"
"CA1ON000313","2018-11","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","112.8","3,a,,N"
"CA1ON000313","2019-02","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","72.3","1,a,,N"
"CA1ON000313","2019-03","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","25.6","2,a,,N"
"CA1ON000313","2019-04","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","81.6","2,a,,N"
"CA1ON000313","2019-05","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","146.5","1,a,,N"
"CA1ON000313","2019-06","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","99.3","4,a,,N"
"CA1ON000313","2019-07","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","83.1","3,a,,N"
"CA1ON000313","2019-09","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","42.3","5,a,,N"
"CA1ON000313","2019-10","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","146.0","1,a,,N"
"CA1ON000313","2019-11","43.423621","-79.902563","228.0","BURLINGTON 9.3 NW HRCA, ON CA","53.3","2,a,,N"
