"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"CA1ON000698","2019-06","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","11","1,N","9","1,N","0","1,N","17.5","1,,N,21,","93.4","1,,,N"
"CA1ON000698","2019-07","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","12",",N","9",",N","0",",N","11.9",",,N,14,","77.7",",,,N"
"CA1ON000698","2019-08","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","11",",N","7",",N","0",",N","24.9",",,N,22,","86.2",",,,N"
"CA1ON000698","2019-09","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","10",",N","6",",N","1",",N","36.1",",,N,12,","64.0",",,,N"
"CA1ON000698","2019-10","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","11",",N","9",",N","1",",N","30.0",",,N,27,","132.2",",,,N"
"CA1ON000698","2020-04","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","11","3,N","6","3,N","0","3,N","9.4","3,,N,09,","42.0","3,,,N"
"CA1ON000698","2020-05","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","8","1,N","6","1,N","0","1,N","20.1","1,,N,11,","74.9","1,,,N"
"CA1ON000698","2020-06","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","7",",N","6",",N","0",",N","18.0",",,N,27,","51.5",",,,N"
"CA1ON000698","2020-07","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","10","2,N","7","2,N","1","2,N","106.9","2,,N,11,","168.6","2,,,N"
"CA1ON000698","2020-08","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","8",",N","4",",N","1",",N","104.9",",,N,02,","168.1",",,,N"
"CA1ON000698","2020-09","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","8","1,N","5","1,N","1","1,N","46.2","1,,N,02,","100.3","1,,,N"
"CA1ON000698","2020-10","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","14","3,N","8","3,N","0","3,N","7.9","3,,N,16,","52.9","3,,,N"
"CA1ON000698","2021-04","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","10",",N","4",",N","0",",N","8.9",",,N,11,","33.5",",,,N"
"CA1ON000698","2021-05","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","9",",N","6",",N","0",",N","15.5",",,N,29,","45.9",",,,N"
"CA1ON000698","2021-06","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","11","1,N","4","1,N","1","1,N","65.5","1,,N,26,","97.7","1,,,N"
"CA1ON000698","2021-07","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","14","1,N","10","1,N","2","1,N","29.7","1,,N,30,","135.3","1,,,N"
"CA1ON000698","2021-08","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","10","3,N","7","3,N","0","3,N","22.1","3,,N,17,","81.5","3,,,N"
"CA1ON000698","2021-09","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","12",",N","10",",N","2",",N","90.9",",,N,23,","202.0",",,,N"
"CA1ON000698","2021-10","42.8151","-81.62823","225.6","APPIN 2.7 NE, ON CA","16","1,N","9","1,N","2","1,N","26.9","1,,N,16,+","140.8","1,,,N"
