"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CS000078774","1979-01","10.6","-85.533","80.0","LIBERIA, CS","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","","","0.0",",,,I","","","","","",""
"CS000078774","1979-02","10.6","-85.533","80.0","LIBERIA, CS","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,28,+","","","","","","","0.0",",,,I","","","","","",""
"CS000078774","1979-03","10.6","-85.533","80.0","LIBERIA, CS","","","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","0.8",",,I,26,","","","","","","","0.8",",,,I","","","","","",""
"CS000078774","1979-04","10.6","-85.533","80.0","LIBERIA, CS","","","","","8",",I","6",",I","1",",I","","","","","","","","","","","","","83.5",",,I,25,","","","","","","","122.3",",,,I","","","","","",""
"CS000078774","1979-05","10.6","-85.533","80.0","LIBERIA, CS","","","","","12",",I","7",",I","2",",I","","","","","","","","","","","","","51.5",",,I,02,","","","","","","","154.7",",,,I","","","","","",""
"CS000078774","1979-06","10.6","-85.533","80.0","LIBERIA, CS","","","","","20",",I","14",",I","7",",I","","","","","","","","","","","","","204.2",",,I,05,","","","","","","","761.2",",,,I","","","","","",""
"CS000078774","1979-07","10.6","-85.533","80.0","LIBERIA, CS","","","","","18",",I","14",",I","1",",I","","","","","","","","","","","","","35.6",",,I,21,","","","","","","","176.7",",,,I","","","","","",""
"CS000078774","1979-08","10.6","-85.533","80.0","LIBERIA, CS","","","","","20",",I","15",",I","3",",I","","","","","","","","","","","","","40.2",",,I,31,","","","","","","","226.2",",,,I","","","","","",""
"CS000078774","1979-09","10.6","-85.533","80.0","LIBERIA, CS","","","","","26",",I","20",",I","8",",I","","","","","","","","","","","","","196.7",",,I,10,","","","","","","","640.1",",,,I","","","","","",""
"CS000078774","1979-10","10.6","-85.533","80.0","LIBERIA, CS","","","","","22",",I","20",",I","4",",I","","","","","","","","","","","","","29.0",",,I,31,","","","","","","","294.5",",,,I","","","","","",""
