"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EIM00003973","1929-10","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","2.8","2,S,27,","","","","","","","","","","","","","","","8.26","2,,,S"
"EIM00003973","1929-11","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","5,S","0","5,S","","","","","","","1.7","5,S,17,","","","","","","","","","","","","","","","6.24","5,,,S"
"EIM00003973","1929-12","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","5,S","0","5,S","","","","","","","0.6","5,S,22,","","","","","","","","","","","","","","","4.76","5,,,S"
"EIM00003973","1930-01","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","4,S","1","4,S","","","","","","","-0.6","4,S,11,","","","","","","","","","","","","","","","3.25","4,,,S"
"EIM00003973","1930-02","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","2","2,S","","","","","","","-0.6","2,S,11,+","","","","","","","","","","","","","","","2.15","2,,,S"
"EIM00003973","1930-03","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","3","2,S","","","","","","","-1.1","2,S,21,","","","","","","","","","","","","","","","3.45","2,,,S"
"EIM00003973","1930-04","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0",",S","1",",S","","","","","","","0.0",",S,06,","","","","","","","","","","","","","","","6.01",",,,S"
"EIM00003973","1930-05","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","3,S","0","3,S","","","","","","","5.0","3,S,01,","","","","","","","","","","","","","","","8.19","3,,,S"
"EIM00003973","1930-07","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","8.9","2,S,31,","","","","","","","","","","","","","","","11.95","2,,,S"
"EIM00003973","1930-08","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","8.9","1,S,17,","","","","","","","","","","","","","","","11.65","1,,,S"
"EIM00003973","1930-09","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","3,S","0","3,S","","","","","","","7.8","3,S,27,","","","","","","","","","","","","","","","11.34","3,,,S"
"EIM00003973","1930-10","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","4,S","0","4,S","","","","","","","3.3","4,S,19,","","","","","","","","","","","","","","","8.51","4,,,S"
"EIM00003973","1930-11","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","4,S","0","4,S","","","","","","","2.2","4,S,06,","","","","","","","","","","","","","","","5.95","4,,,S"
"EIM00003973","1931-02","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","5,S","0","5,S","","","","","","","0.6","5,S,28,","","","","","","","","","","","","","","","3.87","5,,,S"
"EIM00003973","1931-04","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","0","5,S","0","5,S","0","5,S","2.8","2,S,02,","","","12.8","5,S,30,","","","","","","","8.62","7,S","10.71","5,,,S","6.52","2,,,S"
"EIM00003973","1931-05","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0",",S","0",",S","","","","","","","3.3",",S,05,","","","","","","","","","","","","","","","8.24",",,,S"
"EIM00003973","1931-06","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","7.2","2,S,12,","","","","","","","","","","","","","","","11.00","2,,,S"
"EIM00003973","1931-07","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","8.9","1,S,06,","","","","","","","","","","","","","","","11.52","1,,,S"
"EIM00003973","1931-08","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0",",S","0",",S","","","","","","","6.1",",S,25,","","","","","","","","","","","","","","","11.66",",,,S"
"EIM00003973","1931-09","53.91","-8.818","202.7","CONNAUGHT, EI","0.0","4,S","","","","","","","0",",S","0",",S","0","4,S","0","4,S","0","4,S","6.1",",S,08,","","","19.4","4,S,01,","","","137.0","4,S","","","13.06","4,S","15.44","4,,,S","10.67",",,,S"
"EIM00003973","1931-10","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","4,S","0","4,S","","","","","","","2.2","4,S,26,+","","","","","","","","","","","","","","","9.17","4,,,S"
"EIM00003973","1931-12","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","5,S","1","5,S","","","","","","","-0.6","5,S,07,","","","","","","","","","","","","","","","7.11","5,,,S"
"EIM00003973","1932-02","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","1","1,S","","","","","","","0.0","1,S,19,","","","","","","","","","","","","","","","4.03","1,,,S"
"EIM00003973","1932-03","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","5,S","1","5,S","","","","","","","0.0","5,S,10,","","","","","","","","","","","","","","","4.27","5,,,S"
"EIM00003973","1932-04","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","1.1","2,S,11,","","","","","","","","","","","","","","","5.26","2,,,S"
"EIM00003973","1932-05","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0",",S","0",",S","","","","","","","2.2",",S,08,","","","","","","","","","","","","","","","8.58",",,,S"
"EIM00003973","1932-06","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","5,S","0","5,S","","","","","","","8.3","5,S,11,","","","","","","","","","","","","","","","11.80","5,,,S"
"EIM00003973","1932-07","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","10.0","2,S,02,","","","","","","","","","","","","","","","12.61","2,,,S"
"EIM00003973","1932-08","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","10.6","2,S,29,","","","","","","","","","","","","","","","13.53","2,,,S"
"EIM00003973","1932-09","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","0","5,S","0","5,S","0","5,S","5.0","1,S,24,","","","18.9","5,S,15,","","","","","","","13.12","6,S","15.41","5,,,S","10.83","1,,,S"
"EIM00003973","1932-10","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","3.3","1,S,29,","","","","","","","","","","","","","","","7.88","1,,,S"
"EIM00003973","1932-11","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","5,S","0","5,S","","","","","","","4.4","5,S,27,+","","","","","","","","","","","","","","","6.53","5,,,S"
"EIM00003973","1932-12","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","4,S","0","4,S","","","","","","","2.2","4,S,17,","","","","","","","","","","","","","","","5.15","4,,,S"
"EIM00003973","1933-03","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","4,S","0","4,S","","","","","","","1.1","4,S,02,","","","","","","","","","","","","","","","5.72","4,,,S"
"EIM00003973","1933-04","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","2.2","1,S,21,","","","","","","","","","","","","","","","7.47","1,,,S"
"EIM00003973","1933-05","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","7.2","1,S,28,+","","","","","","","","","","","","","","","9.11","1,,,S"
"EIM00003973","1933-06","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","7.2","2,S,11,","","","","","","","","","","","","","","","10.81","2,,,S"
"EIM00003973","1933-07","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","3,S","0","3,S","","","","","","","10.6","3,S,30,+","","","","","","","","","","","","","","","12.92","3,,,S"
"EIM00003973","1933-08","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","10.0","2,S,22,+","","","","","","","","","","","","","","","12.42","2,,,S"
"EIM00003973","1933-09","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","2,S","0","2,S","","","","","","","8.3","2,S,28,+","","","","","","","","","","","","","","","12.36","2,,,S"
"EIM00003973","1933-10","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","2.2","1,S,28,","","","","","","","","","","","","","","","8.89","1,,,S"
"EIM00003973","1933-11","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","3,S","1","3,S","","","","","","","0.0","3,S,30,","","","","","","","","","","","","","","","5.87","3,,,S"
"EIM00003973","1933-12","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","1.1","1,S,13,","","","","","","","","","","","","","","","4.22","1,,,S"
"EIM00003973","1934-01","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","3,S","1","3,S","","","","","","","-1.1","3,S,21,","","","","","","","","","","","","","","","4.66","3,,,S"
"EIM00003973","1934-02","53.91","-8.818","202.7","CONNAUGHT, EI","","","","","","","","","0","1,S","0","1,S","","","","","","","1.1","1,S,28,","","","","","","","","","","","","","","","4.66","1,,,S"
