"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ENE00175071","1915-04","58.8742","26.2719","89.0","TOOMA, EN","11",",E","6",",E","0",",E","8.1",",,E,09,","39.1",",,,E"
"ENE00175071","1915-05","58.8742","26.2719","89.0","TOOMA, EN","12",",E","6",",E","0",",E","17.5",",,E,01,","63.5",",,,E"
"ENE00175071","1915-06","58.8742","26.2719","89.0","TOOMA, EN","15",",E","7",",E","1",",E","30.2",",,E,29,","76.7",",,,E"
"ENE00175071","1915-07","58.8742","26.2719","89.0","TOOMA, EN","20",",E","13",",E","2",",E","31.8",",,E,25,","140.6",",,,E"
"ENE00175071","1915-08","58.8742","26.2719","89.0","TOOMA, EN","11",",E","8",",E","0",",E","9.0",",,E,29,","54.0",",,,E"
"ENE00175071","1915-09","58.8742","26.2719","89.0","TOOMA, EN","15",",E","12",",E","0",",E","20.7",",,E,01,","98.8",",,,E"
"ENE00175071","1915-10","58.8742","26.2719","89.0","TOOMA, EN","10",",E","3",",E","0",",E","12.5",",,E,01,","30.7",",,,E"
"ENE00175071","1915-11","58.8742","26.2719","89.0","TOOMA, EN","17",",E","9",",E","0",",E","5.7",",,E,09,","44.2",",,,E"
"ENE00175071","1915-12","58.8742","26.2719","89.0","TOOMA, EN","16","1,E","8","1,E","0","1,E","6.3","1,,E,06,","41.9","1,,,E"
"ENE00175071","1916-03","58.8742","26.2719","89.0","TOOMA, EN","11","1,E","3","1,E","0","1,E","4.9","1,,E,06,","20.2","1,,,E"
"ENE00175071","1916-09","58.8742","26.2719","89.0","TOOMA, EN","13",",E","4",",E","0",",E","10.1",",,E,12,","35.7",",,,E"
"ENE00175071","1916-10","58.8742","26.2719","89.0","TOOMA, EN","20",",E","10",",E","0",",E","18.9",",,E,10,","78.3",",,,E"
"ENE00175071","1916-11","58.8742","26.2719","89.0","TOOMA, EN","12",",E","7",",E","0",",E","5.7",",,E,10,","34.6",",,,E"
"ENE00175071","1916-12","58.8742","26.2719","89.0","TOOMA, EN","15","1,E","3","1,E","0","1,E","6.3","1,,E,23,","29.6","1,,,E"
"ENE00175071","1920-01","58.8742","26.2719","89.0","TOOMA, EN","10",",E","1",",E","0",",E","3.5",",,E,17,","14.4",",,,E"
"ENE00175071","1920-02","58.8742","26.2719","89.0","TOOMA, EN","9",",E","1",",E","0",",E","3.7",",,E,24,","13.4",",,,E"
"ENE00175071","1920-03","58.8742","26.2719","89.0","TOOMA, EN","7",",E","4",",E","0",",E","6.9",",,E,01,","22.3",",,,E"
"ENE00175071","1920-04","58.8742","26.2719","89.0","TOOMA, EN","17",",E","11",",E","0",",E","10.4",",,E,08,","79.7",",,,E"
"ENE00175071","1920-05","58.8742","26.2719","89.0","TOOMA, EN","11",",E","7",",E","0",",E","15.2",",,E,09,","58.8",",,,E"
"ENE00175071","1920-06","58.8742","26.2719","89.0","TOOMA, EN","12",",E","5",",E","0",",E","10.2",",,E,03,","36.0",",,,E"
"ENE00175071","1920-07","58.8742","26.2719","89.0","TOOMA, EN","12",",E","5",",E","0",",E","23.0",",,E,31,","75.6",",,,E"
