"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FIE00141864","1995-10","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","","","0.0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","1.9",",E,31,","18.2",",E,09,","","","248.2",",E","10.33",",E","11.88",",,,E","8.77",",,,E"
"FIE00141864","1995-11","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","","","0.0",",E","0",",E","12",",E","0",",E","0",",E","0",",E","-2.9",",E,28,","7.4",",E,06,","","","474.0",",E","2.53",",E","4.10",",,,E","0.97",",,,E"
"FIE00141864","1995-12","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","","","0.0","1,E","0","1,E","25","1,E","13","1,E","0","1,E","0","1,E","-10.4","1,E,28,","4.8","1,E,15,","","","594.4","1,E","-1.48","1,E","0.61","1,,,E","-3.57","1,,,E"
"FIE00141864","1996-01","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","0.0","","0.0",",E","0",",E","27",",E","16",",E","0",",E","0",",E","-11.3",",E,06,","2.2",",E,29,","","","633.7",",E","-2.11",",E","-0.60",",,,E","-3.61",",,,E"
"FIE00141864","1996-02","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","0.0","","0.0",",E","0",",E","28",",E","21",",E","0",",E","0",",E","-10.5",",E,24,","3.4",",E,29,","","","667.6",",E","-4.69",",E","-2.74",",,,E","-6.63",",,,E"
"FIE00141864","1999-09","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","","","1.0","5,E","0","5,E","0","5,E","0","3,E","2","3,E","0","3,E","8.6","5,E,14,","21.8","3,E,04,","","","79.1","3,E","15.20","5,E","16.85","3,,,E","13.56","5,,,E"
"FIE00141864","1999-10","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","","","0.0","1,E","0","1,E","0","1,E","0","1,E","0","1,E","0","1,E","3.9","1,E,28,+","14.7","1,E,03,","","","294.0","1,E","8.53","1,E","10.00","1,,,E","7.07","1,,,E"
"FIE00141864","1999-11","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","","","0.0",",E","0",",E","4",",E","0",",E","0",",E","0",",E","-0.9",",E,20,","11.4",",E,02,","","","395.2",",E","5.16",",E","6.70",",,,E","3.62",",,,E"
"FIE00141864","1999-12","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","","","0.0",",E","0",",E","22",",E","3",",E","0",",E","0",",E","-7.6",",E,17,","7.1",",E,01,","","","550.6",",E","0.57",",E","2.63",",,,E","-1.49",",,,E"
"FIE00141864","2000-01","60.3008","19.135","3.0","HAMMARLAND MARKET, FI","0.0","E","0.0",",E","0",",E","21",",E","5",",E","0",",E","0",",E","-6.8",",E,01,","6.4",",E,08,","","","551.3",",E","0.55",",E","2.38",",,,E","-1.28",",,,E"
