"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FIE00146152","1976-09","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","","","","","11",",E","5",",E","0",",E","","","","","","","","","","","","","7.8",",,E,10,","","","","","","","34.0",",,,E","","","","","",""
"FIE00146152","1976-10","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","","","","","10",",E","5",",E","0",",E","","","","","","","","","","","","","5.9",",,E,09,","","","","","","","26.4",",,,E","","","","","",""
"FIE00146152","1977-01","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","0.0","E","0.0",",E","19",",E","6",",E","0",",E","17",",E","31",",E","29",",E","0",",E","0",",E","-35.0",",E,25,+","6.7",",,E,27,","3.0",",E,06,","","","998.3",",E","40.0",",,,E","-13.87",",E","-9.59",",,,E","-18.15",",,,E"
"FIE00146152","1977-02","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","0.0","E","0.0",",E","14",",E","1",",E","0",",E","18",",E","28",",E","28",",E","0",",E","0",",E","-28.2",",E,12,","5.7",",,E,04,","-2.2",",E,07,","","","924.3",",E","17.0",",,,E","-14.68",",E","-10.78",",,,E","-18.58",",,,E"
"FIE00146152","1977-03","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","0.0","E","0.0",",E","17",",E","5",",E","0",",E","12",",E","31",",E","20",",E","0",",E","0",",E","-26.7",",E,06,","15.3",",,E,17,","5.5",",E,24,","","","821.4",",E","42.0",",,,E","-8.16",",E","-3.05",",,,E","-13.28",",,,E"
"FIE00146152","1977-04","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","0.0","E","0.0",",E","19",",E","7",",E","0",",E","3",",E","28",",E","11",",E","0",",E","0",",E","-23.0",",E,07,","8.1",",,E,25,","9.0",",E,30,","","","647.1",",E","51.6",",,,E","-3.24",",E","0.50",",,,E","-6.97",",,,E"
"FIE00146152","1977-05","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","0.0","E","0.0",",E","10",",E","5",",E","0",",E","0",",E","17",",E","0",",E","0",",E","0",",E","-9.5",",E,08,","23.7",",,E,15,","12.6",",E,22,","","","465.4",",E","44.5",",,,E","3.32",",E","7.63",",,,E","-0.99",",,,E"
"FIE00146152","1977-06","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","0.0","E","0.0",",E","13",",E","9",",E","0",",E","0",",E","0",",E","0",",E","3",",E","0",",E","0.2",",E,01,","23.3",",,E,15,","24.0",",E,15,","","","273.1",",E","71.0",",,,E","9.23",",E","13.85",",,,E","4.61",",,,E"
"FIE00146152","1977-07","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","4.2","E","4.2",",E","21",",E","14",",E","0",",E","0",",E","0",",E","0",",E","6",",E","0",",E","4.0",",E,13,","16.5",",,E,23,","27.5",",E,08,","160.6","","160.6",",E","111.1",",,,E","13.29",",E","17.67",",,,E","8.90",",,,E"
"FIE00146152","1977-08","67.4831","23.9","213.0","KOLARI RAUTUVAARA, FI","4.2","E","0.0",",E","9",",E","5",",E","0",",E","0",",E","3",",E","0",",E","1",",E","0",",E","-1.0",",E,29,+","20.0",",,E,05,","21.8",",E,10,","387.1","","226.5",",E","51.3",",,,E","11.03",",E","15.76",",,,E","6.29",",,,E"
