"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"FIE00146648","1965-01","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","15",",E","2",",E","0",",E","5.9",",,E,01,","20.0",",,,E"
"FIE00146648","1965-02","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","15",",E","5",",E","0",",E","8.4",",,E,01,","36.8",",,,E"
"FIE00146648","1965-03","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","1",",E","0",",E","7.5",",,E,20,","19.6",",,,E"
"FIE00146648","1965-04","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","4",",E","2",",E","0",",E","6.7",",,E,21,","12.1",",,,E"
"FIE00146648","1965-05","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","5",",E","0",",E","0",",E","2.2",",,E,27,","5.6",",,,E"
"FIE00146648","1965-06","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","10",",E","4",",E","0",",E","13.6",",,E,28,","46.0",",,,E"
"FIE00146648","1965-07","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","15",",E","9",",E","1",",E","34.6",",,E,08,","89.2",",,,E"
"FIE00146648","1965-08","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","18",",E","8",",E","1",",E","27.6",",,E,21,","79.3",",,,E"
"FIE00146648","1965-09","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","8",",E","0",",E","20.9",",,E,17,","53.0",",,,E"
"FIE00146648","1965-10","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","14",",E","5",",E","0",",E","13.5",",,E,20,","40.7",",,,E"
"FIE00146648","1965-11","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","13",",E","0",",E","0",",E","2.4",",,E,16,","11.0",",,,E"
"FIE00146648","1965-12","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","12",",E","5",",E","0",",E","5.5",",,E,27,","27.6",",,,E"
"FIE00146648","1966-01","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","8",",E","1",",E","0",",E","2.6",",,E,18,","10.2",",,,E"
"FIE00146648","1966-02","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","7",",E","1",",E","0",",E","2.9",",,E,18,","8.8",",,,E"
"FIE00146648","1966-03","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","0",",E","0",",E","2.3",",,E,05,","12.0",",,,E"
"FIE00146648","1966-04","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","9",",E","2",",E","0",",E","4.9",",,E,04,","15.6",",,,E"
"FIE00146648","1966-05","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","9",",E","5",",E","0",",E","7.8",",,E,20,","32.2",",,,E"
"FIE00146648","1966-06","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","14",",E","8",",E","0",",E","10.8",",,E,22,","49.7",",,,E"
"FIE00146648","1966-07","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","15",",E","4",",E","0",",E","23.3",",,E,18,","55.0",",,,E"
"FIE00146648","1966-08","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","8",",E","0",",E","10.1",",,E,12,","59.8",",,,E"
"FIE00146648","1966-09","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","13",",E","4",",E","0",",E","15.0",",,E,17,","32.8",",,,E"
"FIE00146648","1966-10","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","17",",E","6",",E","0",",E","12.4",",,E,23,","53.2",",,,E"
"FIE00146648","1966-11","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","3",",E","0",",E","7.5",",,E,06,","23.7",",,,E"
"FIE00146648","1966-12","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","8",",E","1",",E","0",",E","2.8",",,E,31,","6.9",",,,E"
"FIE00146648","1967-01","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","13",",E","2",",E","0",",E","7.0",",,E,17,","21.9",",,,E"
"FIE00146648","1967-02","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","8",",E","1",",E","0",",E","2.8",",,E,21,","10.9",",,,E"
"FIE00146648","1967-03","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","14",",E","5",",E","0",",E","16.4",",,E,12,","41.5",",,,E"
"FIE00146648","1967-04","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","6",",E","2",",E","0",",E","5.8",",,E,15,","14.2",",,,E"
"FIE00146648","1967-05","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","2",",E","1",",E","0",",E","12.7",",,E,19,","13.6",",,,E"
"FIE00146648","1967-06","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","6",",E","0",",E","9.0",",,E,23,","32.8",",,,E"
"FIE00146648","1967-07","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","17",",E","10",",E","0",",E","23.2",",,E,29,","71.4",",,,E"
"FIE00146648","1967-08","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","13",",E","11",",E","0",",E","17.2",",,E,06,","88.9",",,,E"
"FIE00146648","1967-09","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","3",",E","0",",E","10.4",",,E,26,","25.2",",,,E"
"FIE00146648","1967-10","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","15",",E","11",",E","0",",E","22.5",",,E,05,","94.5",",,,E"
"FIE00146648","1967-11","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","16",",E","4",",E","0",",E","7.0",",,E,15,","32.9",",,,E"
"FIE00146648","1967-12","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","8",",E","2",",E","0",",E","6.2",",,E,04,","17.6",",,,E"
"FIE00146648","1968-01","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","12",",E","0",",E","0",",E","2.0",",,E,10,","12.5",",,,E"
"FIE00146648","1968-02","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","13",",E","2",",E","0",",E","4.7",",,E,12,","22.9",",,,E"
"FIE00146648","1968-03","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","5",",E","0",",E","6.0",",,E,24,","25.2",",,,E"
"FIE00146648","1968-04","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","15",",E","4",",E","0",",E","7.4",",,E,26,","33.1",",,,E"
"FIE00146648","1968-05","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","7",",E","2",",E","0",",E","5.5",",,E,09,","14.6",",,,E"
"FIE00146648","1968-06","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","13",",E","6",",E","1",",E","27.3",",,E,06,","84.9",",,,E"
"FIE00146648","1968-07","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","14",",E","7",",E","0",",E","14.7",",,E,07,","50.7",",,,E"
"FIE00146648","1968-08","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","13",",E","6",",E","0",",E","13.5",",,E,14,","54.5",",,,E"
"FIE00146648","1968-09","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","5",",E","3",",E","0",",E","12.4",",,E,17,","23.2",",,,E"
"FIE00146648","1968-10","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","11",",E","5",",E","0",",E","15.9",",,E,06,","47.2",",,,E"
"FIE00146648","1968-11","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","17",",E","4",",E","0",",E","8.0",",,E,04,","28.4",",,,E"
"FIE00146648","1968-12","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","17",",E","6",",E","0",",E","6.0",",,E,04,","33.5",",,,E"
"FIE00146648","1969-01","69.5831","25.9667","122.0","UTSJOKI OUTAKOSKI, FI","10",",E","3",",E","0",",E","2.9",",,E,23,+","14.9",",,,E"
