"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GG000037178","1966-03","43.2","40.35","4.0","PICUNDA, GG","11",",I","7",",I","3",",I","37.7",",,I,28,","120.7",",,,I"
"GG000037178","1966-04","43.2","40.35","4.0","PICUNDA, GG","15",",I","9",",I","1",",I","39.7",",,I,02,","128.2",",,,I"
"GG000037178","1966-05","43.2","40.35","4.0","PICUNDA, GG","14",",I","10",",I","2",",I","49.3",",,I,26,","165.1",",,,I"
"GG000037178","1966-06","43.2","40.35","4.0","PICUNDA, GG","11","2,I","4","2,I","2","2,I","48.4","2,,I,15,","119.1","2,,,I"
"GG000037178","1966-07","43.2","40.35","4.0","PICUNDA, GG","5",",I","4",",I","1",",I","45.4",",,I,04,","70.7",",,,I"
"GG000037178","1966-08","43.2","40.35","4.0","PICUNDA, GG","10",",I","5",",I","1",",I","59.9",",,I,29,","107.7",",,,I"
"GG000037178","1966-09","43.2","40.35","4.0","PICUNDA, GG","6",",I","4",",I","1",",I","29.8",",,I,10,","79.1",",,,I"
"GG000037178","1966-10","43.2","40.35","4.0","PICUNDA, GG","0",",I","0",",I","0",",I","0.0",",T,I,29,","0.0",",T,,I"
"GG000037178","1966-11","43.2","40.35","4.0","PICUNDA, GG","6",",I","3",",I","0",",I","9.3",",,I,30,","26.4",",,,I"
"GG000037178","1966-12","43.2","40.35","4.0","PICUNDA, GG","20",",I","16",",I","2",",I","42.2",",,I,18,","209.1",",,,I"
"GG000037178","1967-01","43.2","40.35","4.0","PICUNDA, GG","15","1,I","13","1,I","2","1,I","32.1","1,,I,11,","166.0","1,,,I"
"GG000037178","1967-02","43.2","40.35","4.0","PICUNDA, GG","11",",I","8",",I","0",",I","16.8",",,I,27,","82.0",",,,I"
"GG000037178","1967-03","43.2","40.35","4.0","PICUNDA, GG","11",",I","9",",I","1",",I","28.4",",,I,05,","118.0",",,,I"
"GG000037178","1967-04","43.2","40.35","4.0","PICUNDA, GG","9","1,I","8","1,I","2","1,I","46.6","1,,I,21,","129.9","1,,,I"
"GG000037178","1967-05","43.2","40.35","4.0","PICUNDA, GG","10",",I","4",",I","2",",I","50.6",",,I,28,","119.3",",,,I"
"GG000037178","1967-06","43.2","40.35","4.0","PICUNDA, GG","10",",I","2",",I","0",",I","21.5",",,I,03,","34.9",",,,I"
"GG000037178","1967-07","43.2","40.35","4.0","PICUNDA, GG","7",",I","5",",I","1",",I","47.6",",,I,24,","86.9",",,,I"
"GG000037178","1967-08","43.2","40.35","4.0","PICUNDA, GG","10",",I","7",",I","3",",I","55.6",",,I,17,","154.1",",,,I"
"GG000037178","1967-09","43.2","40.35","4.0","PICUNDA, GG","10",",I","7",",I","2",",I","40.0",",,I,27,","127.0",",,,I"
"GG000037178","1967-10","43.2","40.35","4.0","PICUNDA, GG","8",",I","6",",I","1",",I","47.0",",,I,11,","92.5",",,,I"
"GG000037178","1967-11","43.2","40.35","4.0","PICUNDA, GG","14",",I","12",",I","3",",I","52.5",",,I,24,","222.6",",,,I"
"GG000037178","1967-12","43.2","40.35","4.0","PICUNDA, GG","18","1,I","15","1,I","0","1,I","24.9","1,,I,04,","189.2","1,,,I"
"GG000037178","1968-01","43.2","40.35","4.0","PICUNDA, GG","22",",I","16",",I","1",",I","26.7",",,I,24,","177.1",",,,I"
"GG000037178","1968-02","43.2","40.35","4.0","PICUNDA, GG","11","1,I","7","1,I","2","1,I","29.6","1,,I,20,","115.9","1,,,I"
"GG000037178","1968-03","43.2","40.35","4.0","PICUNDA, GG","9","1,I","8","1,I","0","1,I","24.1","1,,I,02,","98.5","1,,,I"
"GG000037178","1968-04","43.2","40.35","4.0","PICUNDA, GG","8","2,I","4","2,I","0","2,I","22.2","2,,I,18,","54.8","2,,,I"
"GG000037178","1968-05","43.2","40.35","4.0","PICUNDA, GG","3","2,I","1","2,I","0","2,I","3.5","2,,I,20,","4.8","2,,,I"
"GG000037178","1968-06","43.2","40.35","4.0","PICUNDA, GG","9",",I","8",",I","3",",I","76.5",",,I,19,","206.9",",,,I"
"GG000037178","1968-07","43.2","40.35","4.0","PICUNDA, GG","4",",I","4",",I","1",",I","28.2",",,I,02,","62.4",",,,I"
"GG000037178","1968-08","43.2","40.35","4.0","PICUNDA, GG","11",",I","9",",I","1",",I","29.1",",,I,31,","92.1",",,,I"
"GG000037178","1968-09","43.2","40.35","4.0","PICUNDA, GG","11",",I","11",",I","1",",I","33.0",",,I,29,","148.1",",,,I"
"GG000037178","1968-10","43.2","40.35","4.0","PICUNDA, GG","18",",I","13",",I","3",",I","53.6",",,I,04,","219.3",",,,I"
"GG000037178","1968-11","43.2","40.35","4.0","PICUNDA, GG","7",",I","3",",I","0",",I","8.0",",,I,10,","24.0",",,,I"
"GG000037178","1968-12","43.2","40.35","4.0","PICUNDA, GG","12",",I","9",",I","2",",I","36.0",",,I,09,","129.6",",,,I"
"GG000037178","1969-01","43.2","40.35","4.0","PICUNDA, GG","12",",I","7",",I","1",",I","32.2",",,I,13,","64.7",",,,I"
"GG000037178","1969-02","43.2","40.35","4.0","PICUNDA, GG","9",",I","9",",I","1",",I","30.6",",,I,28,","85.9",",,,I"
"GG000037178","1969-03","43.2","40.35","4.0","PICUNDA, GG","16",",I","9",",I","0",",I","15.9",",,I,30,","80.8",",,,I"
"GG000037178","1969-04","43.2","40.35","4.0","PICUNDA, GG","12","1,I","7","1,I","1","1,I","41.6","1,,I,01,","103.2","1,,,I"
"GG000037178","1969-05","43.2","40.35","4.0","PICUNDA, GG","9",",I","5",",I","1",",I","30.0",",,I,14,","63.5",",,,I"
"GG000037178","1969-06","43.2","40.35","4.0","PICUNDA, GG","9",",I","5",",I","0",",I","17.4",",,I,24,","57.4",",,,I"
"GG000037178","1969-07","43.2","40.35","4.0","PICUNDA, GG","7",",I","3",",I","0",",I","8.9",",,I,14,","24.9",",,,I"
"GG000037178","1969-08","43.2","40.35","4.0","PICUNDA, GG","6",",I","3",",I","2",",I","86.9",",,I,04,","149.6",",,,I"
"GG000037178","1969-09","43.2","40.35","4.0","PICUNDA, GG","5",",I","2",",I","1",",I","33.1",",,I,19,","45.5",",,,I"
"GG000037178","1969-10","43.2","40.35","4.0","PICUNDA, GG","11",",I","6",",I","1",",I","42.4",",,I,28,","109.7",",,,I"
"GG000037178","1969-11","43.2","40.35","4.0","PICUNDA, GG","8",",I","6",",I","1",",I","32.3",",,I,30,","65.4",",,,I"
"GG000037178","1969-12","43.2","40.35","4.0","PICUNDA, GG","14",",I","8",",I","1",",I","30.8",",,I,13,","121.6",",,,I"
"GG000037178","1970-01","43.2","40.35","4.0","PICUNDA, GG","11","3,I","7","3,I","0","3,I","19.2","3,,I,30,","75.5","3,,,I"
"GG000037178","1970-02","43.2","40.35","4.0","PICUNDA, GG","11","2,I","9","2,I","2","2,I","31.2","2,,I,18,","149.5","2,,,I"
"GG000037178","1970-03","43.2","40.35","4.0","PICUNDA, GG","11","2,I","7","2,I","1","2,I","36.1","2,,I,02,","73.0","2,,,I"
"GG000037178","1970-04","43.2","40.35","4.0","PICUNDA, GG","7",",I","5",",I","0",",I","17.0",",,I,01,","49.8",",,,I"
"GG000037178","1970-05","43.2","40.35","4.0","PICUNDA, GG","17","1,I","11","1,I","1","1,I","34.5","1,,I,26,","130.4","1,,,I"
"GG000037178","1970-06","43.2","40.35","4.0","PICUNDA, GG","9","1,I","5","1,I","1","1,I","53.4","1,,I,30,","111.5","1,,,I"
"GG000037178","1970-07","43.2","40.35","4.0","PICUNDA, GG","7",",I","4",",I","0",",I","14.9",",,I,29,","36.5",",,,I"
"GG000037178","1970-08","43.2","40.35","4.0","PICUNDA, GG","5",",I","5",",I","1",",I","39.1",",,I,27,","79.9",",,,I"
"GG000037178","1970-09","43.2","40.35","4.0","PICUNDA, GG","7","2,I","5","2,I","1","2,I","41.2","2,,I,03,","69.3","2,,,I"
"GG000037178","1970-10","43.2","40.35","4.0","PICUNDA, GG","11","1,I","10","1,I","3","1,I","51.2","1,,I,07,","197.3","1,,,I"
"GG000037178","1970-11","43.2","40.35","4.0","PICUNDA, GG","10","1,I","8","1,I","1","1,I","47.3","1,,I,25,","120.7","1,,,I"
"GG000037178","1970-12","43.2","40.35","4.0","PICUNDA, GG","17","4,I","13","4,I","5","4,I","44.0","4,,I,21,","281.3","4,,,I"
"GG000037178","1971-01","43.2","40.35","4.0","PICUNDA, GG","4",",I","3",",I","0",",I","8.4",",,I,30,","17.2",",,,I"
"GG000037178","1971-02","43.2","40.35","4.0","PICUNDA, GG","12","1,I","8","1,I","0","1,I","22.2","1,,I,11,","115.0","1,,,I"
"GG000037178","1971-03","43.2","40.35","4.0","PICUNDA, GG","15","1,I","10","1,I","1","1,I","26.6","1,,I,28,","112.1","1,,,I"
"GG000037178","1971-04","43.2","40.35","4.0","PICUNDA, GG","10","1,I","9","1,I","0","1,I","18.2","1,,I,17,","85.5","1,,,I"
"GG000037178","1971-05","43.2","40.35","4.0","PICUNDA, GG","10","1,I","6","1,I","2","1,I","33.1","1,,I,11,","81.7","1,,,I"
"GG000037178","1971-06","43.2","40.35","4.0","PICUNDA, GG","9",",I","8",",I","1",",I","48.9",",,I,02,","130.6",",,,I"
"GG000037178","1971-07","43.2","40.35","4.0","PICUNDA, GG","6","2,I","5","2,I","0","2,I","16.3","2,,I,23,","35.7","2,,,I"
