"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017611","1957-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","3","1,X","0","1,X","0","1,X","4","1,X","0","1,X","0",",X","14",",X","5",",X","0",",X","0",",X","5","","","","-6.7",",X,02,+","25","1,,X,07,+","8","1,,X,05,","1.3","1,,X,05,","12.8",",X,20,","","","473.1",",X","1.9","1,,,X","18","1,,,X","2.56",",X","5.43",",,,X","-0.30",",,,X","135",",X","30.8",",X"
"GLW00017611","1957-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0","3,X","9","3,X","7","3,X","0","3,X","0","3,X","0","3,X","0","3,X","4","3,X","0","3,X","0","3,X","0","3,X","10","","","","-1.7","3,X,25,+","0","3,,X,31,+","0","3,T,X,24,+","12.7","3,,X,18,","11.1","3,X,31,+","373.1","","373.1","3,X","60.1","3,,,X","0","3,T,,X","5.01","3,X","7.06","3,,,X","2.95","3,,,X","135","3,X","39.6","3,X"
"GLW00017611","1957-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","13",",X","1",",X","0",",X","0",",X","10","","","","-3.3",",X,25,","0",",,X,31,+","0",",T,X,28,+","0.8",",,X,15,+","8.9",",X,12,","854.0","","480.9",",X","1.6",",,,X","0",",T,,X","2.82",",X","5.28",",,,X","0.36",",,,X","135",",X","29.8",",X"
"GLW00017611","1958-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017611","1958-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","4",",X","1",",X","0",",X","10",",X","2",",X","0",",X","14",",X","5",",X","0",",X","0",",X","8","","","","-7.8",",X,04,+","152",",,X,05,+","127",",,X,05,","3.3",",,X,02,","9.4",",X,10,","","","496.7",",X","6.4",",,,X","195",",,,X","1.78",",X","4.28",",,,X","-0.73",",,,X","113",",X","22.1",",X"
"GLW00017611","1958-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","0",",X","0",",X","11","","","","-0.6",",X,17,","0",",,X,31,+","0",",T,X,02,","4.3",",,X,11,","10.0",",X,23,+","434.7","","434.7",",X","8.7",",,,X","0",",T,,X","4.31",",X","6.53",",,,X","2.09",",,,X","113",",X","26.2",",X"
"GLW00017611","1958-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","3",",X","1",",X","0",",X","0",",X","0",",X","0",",X","21",",X","0",",X","0",",X","0",",X","2","","","","-5.6",",X,30,+","0",",,X,31,+","0",",T,X,23,+","2.5",",,X,01,","7.2",",X,09,+","955.0","","520.3",",X","3.1",",,,X","0",",T,,X","1.55",",X","4.24",",,,X","-1.14",",,,X","113",",X","14.4",",X"
"GLW00017611","1958-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017611","1959-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","1",",X","0",",X","0",",X","1",",X","1",",X","8",",X","31",",X","23",",X","0",",X","0",",X","20","","","","-22.2",",X,11,","25",",,X,06,","25",",,X,06,","0.3",",,X,06,","3.9",",X,17,","","","808.1",",X","0.3",",,,X","25",",,,X","-7.73",",X","-4.37",",,,X","-11.10",",,,X","113",",X","19.5",",X"
"GLW00017611","1959-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","17",",X","4",",X","0",",X","0",",X","11","","","","-3.9",",X,13,+","0",",T,X,23,+","0",",T,X,24,+","0.0",",T,X,30,+","12.2",",X,27,","","","488.4",",X","0.0",",T,,X","0",",T,,X","2.05",",X","4.31",",,,X","-0.21",",,,X","113",",X","17.0",",X"
