"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00123382","1998-05","48.7928","10.7075","502.0","HARBURG, GM","","","7.5","1,E","","","","","","","","","0","1,E","0","1,E","0","1,E","19","1,E","0","1,E","1.1","1,E,24,","","","","","29.4","1,E,09,","","","117.9","1,E","","","14.65","1,E","21.86","1,,,E","7.44","1,,,E"
"GME00123382","1998-06","48.7928","10.7075","502.0","HARBURG, GM","","","35.8","2,E","13","3,E","6","3,E","1","3,E","","","0","2,E","0","2,E","0","2,E","22","2,E","3","2,E","3.6","2,E,14,","","","32.8","3,,E,11,","35.1","2,E,06,","","","49.6","2,E","78.1","3,,,E","17.84","2,E","24.48","2,,,E","11.20","2,,,E"
"GME00123382","1998-07","48.7928","10.7075","502.0","HARBURG, GM","","","28.8","5,E","","","","","","","","","0","5,E","0","5,E","0","5,E","21","5,E","1","5,E","6.2","5,E,15,","","","","","35.4","5,E,20,","31.7","","31.7","5,E","","","18.22","5,E","24.22","5,,,E","12.22","5,,,E"
"GME00123382","1998-08","48.7928","10.7075","502.0","HARBURG, GM","","","46.9","1,E","7","1,E","3","1,E","0","1,E","","","0","1,E","0","1,E","0","1,E","20","1,E","5","1,E","4.8","1,E,28,","","","9.8","1,,E,24,","38.0","1,E,12,","83.4","","51.7","1,E","26.9","1,,,E","18.17","1,E","25.25","1,,,E","11.10","1,,,E"
"GME00123382","1998-09","48.7928","10.7075","502.0","HARBURG, GM","","","2.8",",E","14","4,E","10","4,E","0","4,E","","","0",",E","0",",E","0",",E","9",",E","0",",E","3.4",",E,19,","","","14.1","4,,E,10,","27.9",",E,09,","226.0","","142.6",",E","77.3","4,,,E","13.68",",E","18.68",",,,E","8.67",",,,E"
"GME00123382","1998-10","48.7928","10.7075","502.0","HARBURG, GM","","","0.0","4,E","19","4,E","14","4,E","0","4,E","","","0","4,E","1","4,E","0","4,E","0","4,E","0","4,E","-0.5","4,E,21,","","","21.4","4,,E,07,","20.3","4,E,17,","461.2","","235.2","4,E","107.3","4,,,E","9.62","4,E","13.11","4,,,E","6.13","4,,,E"
"GME00123382","1998-12","48.7928","10.7075","502.0","HARBURG, GM","","","0.0","5,E","2","5,E","0","5,E","0","5,E","","","0","5,E","22","5,E","8","5,E","0","5,E","0","5,E","-9.7","5,E,09,","","","1.2","5,,E,24,","9.8","5,E,28,","","","481.1","5,E","2.0","5,,,E","-0.17","5,E","2.48","5,,,E","-2.82","5,,,E"
"GME00123382","1999-01","48.7928","10.7075","502.0","HARBURG, GM","0.0","E","0.0","1,E","","","","","","","","","0","1,E","22","1,E","8","1,E","0","1,E","0","1,E","-11.0","1,E,31,","","","","","13.1","1,E,05,","","","525.3","1,E","","","0.82","1,E","3.67","1,,,E","-2.03","1,,,E"
"GME00123382","1999-02","48.7928","10.7075","502.0","HARBURG, GM","0.0","E","0.0",",E","19","3,E","4","3,E","0","3,E","","","0",",E","24",",E","7",",E","0",",E","0",",E","-14.6",",E,12,","","","9.2","3,,E,19,","12.8",",E,27,","","","540.8",",E","42.2","3,,,E","-0.98",",E","2.48",",,,E","-4.44",",,,E"
"GME00123382","1999-03","48.7928","10.7075","502.0","HARBURG, GM","0.0","E","0.0","4,E","","","","","","","","","0","4,E","10","4,E","0","4,E","0","4,E","0","4,E","-4.7","4,E,18,","","","","","20.2","4,E,13,","","","342.3","4,E","","","5.66","4,E","10.15","4,,,E","1.16","4,,,E"
"GME00123382","1999-07","48.7928","10.7075","502.0","HARBURG, GM","","","38.0","2,E","17","2,E","11","2,E","5","2,E","","","0","2,E","0","2,E","0","2,E","23","2,E","2","2,E","8.3","2,E,24,","","","135.6","2,,E,11,","33.4","2,E,04,","26.2","E","26.2","2,E","361.9","2,,,E","18.74","2,E","24.90","2,,,E","12.58","2,,,E"
"GME00123382","1999-08","48.7928","10.7075","502.0","HARBURG, GM","","","35.5",",E","9","4,E","1","4,E","0","4,E","","","0",",E","0",",E","0",",E","26",",E","0",",E","7.2",",E,23,","","","4.4","4,,E,28,","30.1",",E,06,","58.0","E","31.8",",E","14.5","4,,,E","18.45",",E","24.78",",,,E","12.12",",,,E"
"GME00123382","1999-09","48.7928","10.7075","502.0","HARBURG, GM","","","9.1","3,E","11","2,E","5","2,E","0","2,E","","","0","3,E","0","3,E","0","3,E","19","3,E","0","3,E","6.5","3,E,02,","","","10.3","2,,E,20,","29.9","3,E,14,","95.8","E","37.8","3,E","36.8","2,,,E","17.27","3,E","23.57","3,,,E","10.96","3,,,E"
