"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GR000016648","1955-01","39.65","22.45","73.0","LARISSA, GR","0.0","E","0.0",",E","10",",E","5",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0.8",",E,18,","11.1",",,E,21,","19.8",",E,15,","","","285.6",",E","41.8",",,,E","9.12",",E","12.80",",,,E","5.44",",,,E"
"GR000016648","1955-02","39.65","22.45","73.0","LARISSA, GR","0.0","E","0.0",",E","2",",E","1",",E","0",",E","0",",E","5",",E","0",",E","4",",E","0",",E","-1.8",",E,16,","8.7",",,E,04,","22.3",",E,26,","","","230.1",",E","10.6",",,,E","10.11",",E","16.85",",,,E","3.38",",,,E"
"GR000016648","1955-03","39.65","22.45","73.0","LARISSA, GR","0.0","E","0.0",",E","7",",E","4",",E","0",",E","0",",E","9",",E","0",",E","7",",E","0",",E","-7.0",",E,06,","22.2",",,E,01,","27.5",",E,30,","","","286.4",",E","59.6",",,,E","9.10",",E","15.69",",,,E","2.50",",,,E"
"GR000016648","1955-04","39.65","22.45","73.0","LARISSA, GR","0.0","E","0.0",",E","13",",E","9",",E","0",",E","0",",E","2",",E","0",",E","1",",E","0",",E","-0.6",",E,22,","21.8",",,E,15,","22.2",",E,01,","","","236.8",",E","96.9",",,,E","10.44",",E","15.95",",,,E","4.93",",,,E"
"GR000016648","1955-05","39.65","22.45","73.0","LARISSA, GR","41.0","E","41.0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","30",",E","5",",E","3.5",",E,01,","0.0",",,E,31,+","35.3",",E,28,","","","24.8",",E","0.0",",,,E","18.85",",E","27.52",",,,E","10.19",",,,E"
"GR000016648","1955-06","39.65","22.45","73.0","LARISSA, GR","177.7","E","136.7",",E","5",",E","3",",E","0",",E","0",",E","0",",E","0",",E","30",",E","13",",E","9.0",",E,03,","11.0",",,E,07,","39.2",",E,09,","","","0.0",",E","24.3",",,,E","22.89",",E","31.34",",,,E","14.43",",,,E"
"GR000016648","1955-07","39.65","22.45","73.0","LARISSA, GR","418.8","E","241.1",",E","4",",E","2",",E","0",",E","0",",E","0",",E","0",",E","31",",E","22",",E","13.8",",E,10,","12.0",",,E,14,","41.5",",E,27,","0.0","E","0.0",",E","21.9",",,,E","26.11",",E","34.81",",,,E","17.42",",,,E"
"GR000016648","1955-08","39.65","22.45","73.0","LARISSA, GR","590.9","E","172.1",",E","4",",E","4",",E","2",",E","0",",E","0",",E","0",",E","31",",E","10",",E","14.4",",E,26,+","37.9",",,E,16,","38.0",",E,03,","0.0","E","0.0",",E","81.3",",,,E","23.89",",E","31.10",",,,E","16.67",",,,E"
"GR000016648","1955-09","39.65","22.45","73.0","LARISSA, GR","665.3","E","74.4",",E","3",",E","3",",E","1",",E","0",",E","0",",E","0",",E","30",",E","0",",E","10.0",",E,20,","45.6",",,E,02,","31.8",",E,16,","2.0","E","2.0",",E","52.6",",,,E","20.75",",E","26.56",",,,E","14.93",",,,E"
"GR000016648","1955-10","39.65","22.45","73.0","LARISSA, GR","676.5","E","11.2",",E","14",",E","11",",E","3",",E","0",",E","0",",E","0",",E","15",",E","0",",E","4.6",",E,28,","86.0",",,E,02,","28.0",",E,20,","49.9","E","47.9",",E","285.6",",,,E","17.15",",E","21.40",",,,E","12.89",",,,E"
