"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097630","1992-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","0","4,S","26","4,S","0","4,S","19.8","4,S,14,","30.8","4,S,23,+","","","","","25.65","7,S","29.95","4,,,S","21.35","4,,,S"
"IDM00097630","1992-12","-2.883","132.25","130.0","FAK FAK TOREA, ID","198.9","4,S","0","1,S","0","1,S","0","3,S","28","3,S","2","3,S","20.8","1,S,10,","32.6","3,S,27,","","","0.0","3,S","25.70","4,S","29.96","3,,,S","21.44","1,,,S"
"IDM00097630","1993-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","184.8","3,S","0","1,S","0","1,S","0","2,S","28","2,S","0","2,S","19.0","1,S,04,","31.4","2,S,08,","","","0.0","2,S","25.12","3,S","29.30","2,,,S","20.94","1,,,S"
"IDM00097630","1993-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","171.9","5,S","0","5,S","0","5,S","0","2,S","29","2,S","0","2,S","16.8","5,S,15,","29.8","2,S,05,+","","","0.0","2,S","24.93","5,S","28.85","2,,,S","21.02","5,,,S"
"IDM00097630","1993-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","17.8","4,S,10,","","","","","","","","","","","19.90","4,,,S"
"IDM00097630","1993-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","14.0","5,S,20,","","","","","","","","","","","17.98","5,,,S"
"IDM00097630","1997-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","20.0","4,S,17,","","","","","","","","","","","21.23","4,,,S"
"IDM00097630","1997-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","16.4","5,S,10,","","","","","","","","","","","18.49","5,,,S"
"IDM00097630","1997-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","30.2","5,S,30,","","","","","","","28.76","5,,,S","",""
"IDM00097630","1997-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","187.4","3,S","0","1,S","0","1,S","0","3,S","27","3,S","0","3,S","18.6","1,S,03,","31.4","3,S,23,","","","0.0","3,S","25.28","3,S","29.84","3,,,S","20.71","1,,,S"
"IDM00097630","1998-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","20.2","4,S,26,","","","","","","","","","","","21.53","4,,,S"
"IDM00097630","1998-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","193.5","4,S","0","2,S","0","2,S","0","2,S","28","2,S","0","2,S","20.8","2,S,24,+","31.2","2,S,19,","","","0.0","2,S","25.76","4,S","29.68","2,,,S","21.84","2,,,S"
"IDM00097630","1998-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0",",S","31",",S","0",",S","","","31.4",",S,12,","","","","","","","30.03",",,,S","",""
"IDM00097630","1998-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","28","2,S","0","2,S","","","31.4","2,S,14,","","","","","","","29.10","2,,,S","",""
"IDM00097630","1998-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","3,S","0","3,S","","","","","","","16.8","3,S,25,","","","","","","","","","","","20.20","3,,,S"
"IDM00097630","1998-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","16.0","4,S,29,","","","","","","","","","","","20.53","4,,,S"
"IDM00097630","1998-09","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","19.0","5,S,03,","","","","","","","","","","","20.45","5,,,S"
"IDM00097630","1998-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","192.5","4,S","0","1,S","0","1,S","0","3,S","28","3,S","0","3,S","19.0","1,S,30,","32.0","3,S,02,","","","0.0","3,S","25.46","4,S","29.87","3,,,S","21.06","1,,,S"
"IDM00097630","1999-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","0","2,S","29","2,S","0","2,S","19.0","4,S,26,","30.2","2,S,16,","","","","","24.84","6,S","29.36","2,,,S","20.31","4,,,S"
"IDM00097630","1999-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","29.4","5,S,06,","","","","","","","28.19","5,,,S","",""
"IDM00097630","1999-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","3,S","0","3,S","0","4,S","27","4,S","0","4,S","19.2","3,S,30,","28.8","4,S,06,","","","","","24.09","6,S","27.88","4,,,S","20.30","3,,,S"
"IDM00097630","1999-09","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","19.2","5,S,09,+","","","","","","","","","","","20.29","5,,,S"
"IDM00097630","1999-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","0","5,S","26","5,S","0","5,S","20.2","5,S,09,+","31.4","5,S,22,","","","","","25.30","8,S","29.24","5,,,S","21.37","5,,,S"
"IDM00097630","1999-12","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","20.0","5,S,01,","","","","","","","","","","","21.32","5,,,S"
"IDM00097630","2000-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","20.4","5,S,27,+","","","","","","","","","","","21.22","5,,,S"
"IDM00097630","2006-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","22.4","5,S,15,+","","","","","","","","","","","23.00","5,,,S"
"IDM00097630","2006-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","19.2","4,S,02,","","","","","","","","","","","22.20","4,,,S"
"IDM00097630","2006-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","20.2","5,S,16,","","","","","","","","","","","22.15","5,,,S"
"IDM00097630","2006-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","30.0","5,S,30,+","","","","","","","29.36","5,,,S","",""
"IDM00097630","2006-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","28","2,S","0","2,S","","","32.0","2,S,26,","","","","","","","29.96","2,,,S","",""
"IDM00097630","2007-01","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","3,S","0","3,S","","","","","","","19.6","3,S,30,","","","","","","","","","","","22.22","3,,,S"
"IDM00097630","2007-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","0","4,S","24","4,S","3","4,S","19.4","5,S,11,","32.8","4,S,27,","","","","","26.30","8,S","30.55","4,,,S","22.05","5,,,S"
"IDM00097630","2007-03","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","29","2,S","7","2,S","","","34.6","2,S,05,","","","","","","","30.75","2,,,S","",""
"IDM00097630","2007-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","0","3,S","27","3,S","0","3,S","20.2","5,S,23,","31.2","3,S,12,","","","","","26.21","7,S","29.79","3,,,S","22.64","5,,,S"
"IDM00097630","2007-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","28","3,S","0","3,S","","","30.4","3,S,14,+","","","","","","","29.44","3,,,S","",""
"IDM00097630","2007-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","19.0","4,S,10,","","","","","","","","","","","21.73","4,,,S"
"IDM00097630","2007-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","1,S","30","1,S","0","1,S","","","29.4","1,S,02,","","","","","","","27.22","1,,,S","",""
