"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"IN001160401","1951-01","14.42","80.08","10.0","NARUKUR, IN","1",",I","1",",I","0",",I","16.8",",,I,08,","16.8",",,,I"
"IN001160401","1951-02","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,28,+","0.0",",,,I"
"IN001160401","1951-03","14.42","80.08","10.0","NARUKUR, IN","1",",I","1",",I","1",",I","43.7",",,I,31,","43.7",",,,I"
"IN001160401","1951-04","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"IN001160401","1951-05","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1951-06","14.42","80.08","10.0","NARUKUR, IN","1",",I","1",",I","1",",I","32.0",",,I,09,","32.0",",,,I"
"IN001160401","1951-07","14.42","80.08","10.0","NARUKUR, IN","1",",I","1",",I","1",",I","57.4",",,I,19,","57.4",",,,I"
"IN001160401","1951-08","14.42","80.08","10.0","NARUKUR, IN","3",",I","3",",I","1",",I","61.5",",,I,29,","77.5",",,,I"
"IN001160401","1951-09","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"IN001160401","1951-10","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1951-11","14.42","80.08","10.0","NARUKUR, IN","5",",I","5",",I","4",",I","116.8",",,I,19,","283.7",",,,I"
"IN001160401","1951-12","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1952-01","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1952-02","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,29,+","0.0",",,,I"
"IN001160401","1952-03","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1952-04","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"IN001160401","1952-05","14.42","80.08","10.0","NARUKUR, IN","4",",I","4",",I","4",",I","142.2",",,I,22,","300.0",",,,I"
"IN001160401","1952-06","14.42","80.08","10.0","NARUKUR, IN","3",",I","3",",I","1",",I","40.6",",,I,05,","58.4",",,,I"
"IN001160401","1952-07","14.42","80.08","10.0","NARUKUR, IN","1",",I","1",",I","1",",I","44.5",",,I,17,","44.5",",,,I"
"IN001160401","1952-08","14.42","80.08","10.0","NARUKUR, IN","8",",I","8",",I","1",",I","71.1",",,I,30,","153.4",",,,I"
"IN001160401","1952-09","14.42","80.08","10.0","NARUKUR, IN","2",",I","2",",I","0",",I","18.3",",,I,23,","29.7",",,,I"
"IN001160401","1952-10","14.42","80.08","10.0","NARUKUR, IN","6",",I","6",",I","2",",I","76.2",",,I,08,","151.7",",,,I"
"IN001160401","1952-11","14.42","80.08","10.0","NARUKUR, IN","1",",I","1",",I","0",",I","6.4",",,I,22,","6.4",",,,I"
"IN001160401","1952-12","14.42","80.08","10.0","NARUKUR, IN","6",",I","6",",I","4",",I","82.6",",,I,08,","265.5",",,,I"
"IN001160401","1953-01","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1953-02","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,28,+","0.0",",,,I"
"IN001160401","1953-03","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1953-04","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"IN001160401","1953-05","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1953-06","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"IN001160401","1953-07","14.42","80.08","10.0","NARUKUR, IN","5",",I","5",",I","1",",I","35.6",",,I,30,","56.4",",,,I"
"IN001160401","1953-08","14.42","80.08","10.0","NARUKUR, IN","3",",I","3",",I","1",",I","61.0",",,I,31,","88.9",",,,I"
"IN001160401","1953-09","14.42","80.08","10.0","NARUKUR, IN","4",",I","3",",I","1",",I","45.7",",,I,22,","70.6",",,,I"
"IN001160401","1953-10","14.42","80.08","10.0","NARUKUR, IN","11",",I","11",",I","6",",I","78.7",",,I,21,","424.4",",,,I"
"IN001160401","1953-11","14.42","80.08","10.0","NARUKUR, IN","1",",I","1",",I","1",",I","66.0",",,I,27,","66.0",",,,I"
"IN001160401","1953-12","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1954-01","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1954-02","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,28,+","0.0",",,,I"
"IN001160401","1954-03","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN001160401","1954-04","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"IN001160401","1954-05","14.42","80.08","10.0","NARUKUR, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
