"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IRM00040738","2001-02","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","5,S","5","5,S","0","5,S","","","","","23.8","5,S,25,","","","","","16.77","5,,,S","",""
"IRM00040738","2001-11","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","4,S","14","4,S","0","4,S","","","","","26.4","4,S,15,","","","","","20.08","4,,,S","",""
"IRM00040738","2002-01","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","18.8","4,S,31,+","","","","","13.19","4,,,S","",""
"IRM00040738","2002-02","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","4,S","2","4,S","0","4,S","","","","","24.0","4,S,25,","","","","","15.36","4,,,S","",""
"IRM00040738","2002-05","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","1,S","21","1,S","3","1,S","","","","","40.6","1,S,31,","","","","","24.91","1,,,S","",""
"IRM00040738","2002-08","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","4,S","27","4,S","17","4,S","","","","","40.2","4,S,03,","","","","","33.09","4,,,S","",""
"IRM00040738","2002-09","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","4,S","26","4,S","13","4,S","","","","","35.6","4,S,17,","","","","","32.19","4,,,S","",""
"IRM00040738","2003-08","36.909","54.401","-7.3","GORGAN, IR","5","3,S","3","3,S","0","3,S","","","","","","","","","","","","","14.5","3,,S,21,","","","25.7","3,,,S","","","","","",""
"IRM00040738","2003-09","36.909","54.401","-7.3","GORGAN, IR","3","2,S","0","2,S","0","2,S","","","","","","","","","","","","","2.0","2,,S,25,","","","4.3","2,,,S","","","","","",""
"IRM00040738","2003-11","36.909","54.401","-7.3","GORGAN, IR","4","5,S","3","5,S","1","5,S","","","","","","","","","","","","","34.3","5,,S,15,","","","63.7","5,,,S","","","","","",""
"IRM00040738","2003-12","36.909","54.401","-7.3","GORGAN, IR","5","5,S","0","5,S","0","5,S","","","","","","","","","","","","","1.8","5,,S,25,","","","4.7","5,,,S","","","","","",""
"IRM00040738","2004-02","36.909","54.401","-7.3","GORGAN, IR","3","1,S","1","1,S","0","1,S","","","","","","","","","","","","","7.6","1,,S,24,","","","8.9","1,,,S","","","","","",""
"IRM00040738","2004-03","36.909","54.401","-7.3","GORGAN, IR","11","2,S","5","2,S","0","2,S","","","","","","","","","","","","","10.4","2,,S,20,+","","","51.3","2,,,S","","","","","",""
"IRM00040738","2004-04","36.909","54.401","-7.3","GORGAN, IR","9","3,S","5","3,S","2","3,S","","","","","","","","","","","","","40.4","3,,S,01,","","","89.8","3,,,S","","","","","",""
"IRM00040738","2004-06","36.909","54.401","-7.3","GORGAN, IR","1","2,S","0","2,S","0","2,S","","","","","","","","","","","","","1.0","2,,S,11,","","","1.0","2,,,S","","","","","",""
"IRM00040738","2004-07","36.909","54.401","-7.3","GORGAN, IR","6","2,S","4","2,S","1","2,S","0","4,S","0","4,S","0","2,S","29","2,S","14","2,S","18.0","4,S,01,","45.5","2,,S,11,","35.0","2,S,16,+","63.7","2,,,S","26.61","6,S","31.12","2,,,S","22.10","4,,,S"
"IRM00040738","2004-08","36.909","54.401","-7.3","GORGAN, IR","2","3,S","0","3,S","0","3,S","","","","","0","4,S","27","4,S","24","4,S","","","1.3","3,,S,28,","37.2","4,S,03,","1.8","3,,,S","","","34.23","4,,,S","",""
"IRM00040738","2004-09","36.909","54.401","-7.3","GORGAN, IR","7",",S","6",",S","0",",S","","","","","0","5,S","25","5,S","8","5,S","","","13.2",",,S,16,","39.2","5,S,10,","30.9",",,,S","","","30.72","5,,,S","",""
"IRM00040738","2004-10","36.909","54.401","-7.3","GORGAN, IR","4","2,S","4","2,S","0","2,S","","","","","","","","","","","","","17.8","2,,S,23,","","","41.7","2,,,S","","","","","",""
"IRM00040738","2005-05","36.909","54.401","-7.3","GORGAN, IR","10","5,S","5","5,S","0","5,S","","","","","","","","","","","","","20.6","5,,S,07,","","","46.5","5,,,S","","","","","",""
"IRM00040738","2005-09","36.909","54.401","-7.3","GORGAN, IR","4","3,S","2","3,S","0","3,S","","","","","","","","","","","","","14.7","3,,S,28,","","","29.0","3,,,S","","","","","",""
"IRM00040738","2005-10","36.909","54.401","-7.3","GORGAN, IR","5","4,S","3","4,S","0","4,S","","","","","","","","","","","","","6.6","4,,S,09,","","","17.3","4,,,S","","","","","",""
"IRM00040738","2005-11","36.909","54.401","-7.3","GORGAN, IR","6","2,S","4","2,S","1","2,S","","","","","0","4,S","6","4,S","0","4,S","","","38.1","2,,S,09,","27.2","4,S,22,","88.2","2,,,S","","","19.10","4,,,S","",""
"IRM00040738","2005-12","36.909","54.401","-7.3","GORGAN, IR","8","2,S","4","2,S","1","2,S","","","","","","","","","","","","","90.9","2,,S,27,","","","123.7","2,,,S","","","","","",""
"IRM00040738","2006-01","36.909","54.401","-7.3","GORGAN, IR","9","2,S","5","2,S","1","2,S","","","","","0","5,S","0","5,S","0","5,S","","","25.4","2,,S,22,","16.5","5,S,21,","56.0","2,,,S","","","9.68","5,,,S","",""
"IRM00040738","2006-02","36.909","54.401","-7.3","GORGAN, IR","6","2,S","1","2,S","0","2,S","","","","","0","5,S","1","5,S","0","5,S","","","11.7","2,,S,18,","23.5","5,S,07,","16.2","2,,,S","","","15.56","5,,,S","",""
"IRM00040738","2006-03","36.909","54.401","-7.3","GORGAN, IR","10","1,S","6","1,S","0","1,S","","","","","0","3,S","7","3,S","0","3,S","","","14.5","1,,S,12,","31.2","3,S,09,","43.9","1,,,S","","","18.52","3,,,S","",""
"IRM00040738","2006-04","36.909","54.401","-7.3","GORGAN, IR","13","1,S","4","1,S","0","1,S","","","","","","","","","","","","","10.9","1,,S,08,","","","38.9","1,,,S","","","","","",""
"IRM00040738","2006-05","36.909","54.401","-7.3","GORGAN, IR","11",",S","4",",S","0",",S","","","","","","","","","","","","","16.0",",,S,22,","","","30.5",",,,S","","","","","",""
"IRM00040738","2006-06","36.909","54.401","-7.3","GORGAN, IR","4","4,S","2","4,S","0","4,S","","","","","","","","","","","","","4.8","4,,S,19,","","","9.7","4,,,S","","","","","",""
"IRM00040738","2006-07","36.909","54.401","-7.3","GORGAN, IR","4",",S","0",",S","0",",S","0","4,S","0","4,S","","","","","","","21.2","4,S,08,+","2.0",",,S,07,","","","3.8",",,,S","","","","","23.93","4,,,S"
"IRM00040738","2006-08","36.909","54.401","-7.3","GORGAN, IR","0","1,S","0","1,S","0","1,S","0","5,S","0","5,S","","","","","","","21.0","5,S,21,","0.0","1,,S,31,+","","","0.0","1,,,S","","","","","23.97","5,,,S"
"IRM00040738","2006-09","36.909","54.401","-7.3","GORGAN, IR","3","1,S","1","1,S","0","1,S","","","","","0","2,S","28","2,S","9","2,S","","","5.8","1,,S,18,","36.0","2,S,03,","10.4","1,,,S","","","30.80","2,,,S","",""
"IRM00040738","2006-10","36.909","54.401","-7.3","GORGAN, IR","7","2,S","2","2,S","1","2,S","","","","","0","5,S","25","5,S","3","5,S","","","25.4","2,,S,29,","34.8","5,S,16,","36.8","2,,,S","","","28.69","5,,,S","",""
"IRM00040738","2006-11","36.909","54.401","-7.3","GORGAN, IR","9","2,S","6","2,S","2","2,S","","","","","","","","","","","","","65.5","2,,S,09,","","","142.2","2,,,S","","","","","",""
"IRM00040738","2006-12","36.909","54.401","-7.3","GORGAN, IR","9","4,S","6","4,S","0","4,S","","","","","0","4,S","0","4,S","0","4,S","","","16.3","4,,S,29,","18.4","4,S,26,","54.0","4,,,S","","","12.20","4,,,S","",""
"IRM00040738","2007-01","36.909","54.401","-7.3","GORGAN, IR","7","2,S","3","2,S","0","2,S","","","","","","","","","","","","","11.7","2,,S,18,","","","25.3","2,,,S","","","","","",""
"IRM00040738","2007-02","36.909","54.401","-7.3","GORGAN, IR","11",",S","10",",S","1",",S","","","","","0","5,S","2","5,S","0","5,S","","","50.0",",,S,02,","23.0","5,S,22,","115.8",",,,S","","","14.30","5,,,S","",""
"IRM00040738","2007-03","36.909","54.401","-7.3","GORGAN, IR","14","2,S","9","2,S","1","2,S","","","","","0","5,S","3","5,S","0","5,S","","","55.6","2,,S,17,","25.6","5,S,06,","121.5","2,,,S","","","15.39","5,,,S","",""
"IRM00040738","2007-04","36.909","54.401","-7.3","GORGAN, IR","14","1,S","4","1,S","0","1,S","","","","","0","5,S","5","5,S","0","5,S","","","6.1","1,,S,03,","31.2","5,S,30,","32.5","1,,,S","","","18.24","5,,,S","",""
"IRM00040738","2007-05","36.909","54.401","-7.3","GORGAN, IR","6","1,S","2","1,S","0","1,S","","","","","","","","","","","","","21.1","1,,S,15,","","","30.5","1,,,S","","","","","",""
"IRM00040738","2007-06","36.909","54.401","-7.3","GORGAN, IR","6","2,S","2","2,S","0","2,S","","","","","","","","","","","","","14.5","2,,S,06,","","","21.9","2,,,S","","","","","",""
"IRM00040738","2007-07","36.909","54.401","-7.3","GORGAN, IR","4","2,S","1","2,S","0","2,S","","","","","","","","","","","","","2.5","2,,S,18,","","","4.5","2,,,S","","","","","",""
"IRM00040738","2007-08","36.909","54.401","-7.3","GORGAN, IR","1","2,S","1","2,S","0","2,S","","","","","","","","","","","","","13.2","2,,S,20,","","","13.2","2,,,S","","","","","",""
"IRM00040738","2012-01","36.909","54.401","-7.3","GORGAN, IR","8","1,S","6","1,S","0","1,S","","","","","0","1,S","0","1,S","0","1,S","","","18.3","1,,S,04,","18.6","1,S,09,","52.6","1,,,S","","","12.12","1,,,S","",""
"IRM00040738","2012-02","36.909","54.401","-7.3","GORGAN, IR","9","1,S","7","1,S","2","1,S","","","","","","","","","","","","","31.5","1,,S,03,","","","122.1","1,,,S","","","","","",""
"IRM00040738","2012-03","36.909","54.401","-7.3","GORGAN, IR","13",",S","7",",S","0",",S","","","","","0","2,S","3","2,S","0","2,S","","","11.4",",,S,11,","29.6","2,S,27,","49.8",",,,S","","","14.62","2,,,S","",""
"IRM00040738","2012-04","36.909","54.401","-7.3","GORGAN, IR","2",",S","1",",S","0",",S","","","","","","","","","","","","","10.9",",,S,21,","","","12.9",",,,S","","","","","",""
"IRM00040738","2012-05","36.909","54.401","-7.3","GORGAN, IR","3","3,S","1","3,S","0","3,S","","","","","","","","","","","","","5.1","3,,S,06,","","","6.9","3,,,S","","","","","",""
"IRM00040738","2012-06","36.909","54.401","-7.3","GORGAN, IR","2",",S","1",",S","1",",S","","","","","0","3,S","27","3,S","17","3,S","","","49.3",",,S,19,","39.2","3,S,15,","50.1",",,,S","","","33.13","3,,,S","",""
"IRM00040738","2012-07","36.909","54.401","-7.3","GORGAN, IR","10",",S","6",",S","1",",S","","","","","","","","","","","","","78.5",",,S,17,","","","111.1",",,,S","","","","","",""
"IRM00040738","2012-08","36.909","54.401","-7.3","GORGAN, IR","1","2,S","1","2,S","0","2,S","","","","","0","5,S","26","5,S","25","5,S","","","4.3","2,,S,24,","38.2","5,S,13,","4.3","2,,,S","","","35.81","5,,,S","",""
"IRM00040738","2012-09","36.909","54.401","-7.3","GORGAN, IR","6",",S","6",",S","0",",S","","","","","0","2,S","28","2,S","6","2,S","","","10.9",",,S,03,","34.4","2,S,23,","39.6",",,,S","","","30.70","2,,,S","",""
"IRM00040738","2012-10","36.909","54.401","-7.3","GORGAN, IR","4",",S","3",",S","1",",S","","","","","0","2,S","29","2,S","2","2,S","","","78.7",",,S,13,","38.0","2,S,12,","85.2",",,,S","","","27.92","2,,,S","",""
"IRM00040738","2012-11","36.909","54.401","-7.3","GORGAN, IR","7","1,S","4","1,S","0","1,S","","","","","0","5,S","10","5,S","0","5,S","","","24.4","1,,S,28,","28.4","5,S,08,","55.3","1,,,S","","","20.41","5,,,S","",""
"IRM00040738","2012-12","36.909","54.401","-7.3","GORGAN, IR","9","2,S","6","2,S","0","2,S","","","","","","","","","","","","","21.1","2,,S,12,","","","73.2","2,,,S","","","","","",""
"IRM00040738","2013-01","36.909","54.401","-7.3","GORGAN, IR","8","2,S","6","2,S","2","2,S","","","","","","","","","","","","","42.4","2,,S,11,","","","109.8","2,,,S","","","","","",""
"IRM00040738","2013-02","36.909","54.401","-7.3","GORGAN, IR","8",",S","4",",S","0",",S","","","","","","","","","","","","","17.8",",,S,02,","","","58.8",",,,S","","","","","",""
"IRM00040738","2013-03","36.909","54.401","-7.3","GORGAN, IR","7",",S","5",",S","0",",S","","","","","0","5,S","8","5,S","0","5,S","","","17.5",",,S,25,","30.2","5,S,24,","56.1",",,,S","","","18.12","5,,,S","",""
"IRM00040738","2013-04","36.909","54.401","-7.3","GORGAN, IR","7",",S","4",",S","0",",S","","","","","","","","","","","","","18.8",",,S,22,","","","48.5",",,,S","","","","","",""
"IRM00040738","2013-05","36.909","54.401","-7.3","GORGAN, IR","6","4,S","1","4,S","0","4,S","","","","","","","","","","","","","9.7","4,,S,21,","","","13.6","4,,,S","","","","","",""
"IRM00040738","2013-06","36.909","54.401","-7.3","GORGAN, IR","1","4,S","0","4,S","0","4,S","","","","","0","4,S","26","4,S","13","4,S","","","1.5","4,,S,22,","38.0","4,S,16,","1.5","4,,,S","","","32.28","4,,,S","",""
"IRM00040738","2013-07","36.909","54.401","-7.3","GORGAN, IR","3","4,S","2","4,S","0","4,S","","","","","","","","","","","","","4.1","4,,S,31,","","","6.9","4,,,S","","","","","",""
"IRM00040738","2013-08","36.909","54.401","-7.3","GORGAN, IR","6","3,S","3","3,S","0","3,S","","","","","","","","","","","","","7.9","3,,S,10,","","","18.2","3,,,S","","","","","",""
"IRM00040738","2013-09","36.909","54.401","-7.3","GORGAN, IR","3","4,S","1","4,S","1","4,S","","","","","","","","","","","","","51.1","4,,S,26,","","","52.6","4,,,S","","","","","",""
"IRM00040738","2013-10","36.909","54.401","-7.3","GORGAN, IR","3","2,S","1","2,S","0","2,S","","","","","0","4,S","24","4,S","5","4,S","","","9.9","2,,S,22,","41.0","4,S,19,","12.0","2,,,S","","","26.37","4,,,S","",""
"IRM00040738","2013-11","36.909","54.401","-7.3","GORGAN, IR","5","5,S","3","5,S","0","5,S","","","","","0","5,S","13","5,S","0","5,S","","","10.9","5,,S,17,","31.0","5,S,30,","26.5","5,,,S","","","21.07","5,,,S","",""
"IRM00040738","2013-12","36.909","54.401","-7.3","GORGAN, IR","8","2,S","5","2,S","1","2,S","","","","","","","","","","","","","47.5","2,,S,01,","","","96.9","2,,,S","","","","","",""
"IRM00040738","2014-01","36.909","54.401","-7.3","GORGAN, IR","3","1,S","1","1,S","0","1,S","","","","","","","","","","","","","3.0","1,,S,02,","","","4.8","1,,,S","","","","","",""
"IRM00040738","2014-02","36.909","54.401","-7.3","GORGAN, IR","1","4,S","1","4,S","0","4,S","","","","","","","","","","","","","2.5","4,,S,18,","","","2.5","4,,,S","","","","","",""
"IRM00040738","2014-03","36.909","54.401","-7.3","GORGAN, IR","11","1,S","8","1,S","1","1,S","","","","","","","","","","","","","25.9","1,,S,23,","","","79.5","1,,,S","","","","","",""
"IRM00040738","2014-04","36.909","54.401","-7.3","GORGAN, IR","4","1,S","2","1,S","0","1,S","","","","","","","","","","","","","16.5","1,,S,01,","","","23.1","1,,,S","","","","","",""
"IRM00040738","2014-05","36.909","54.401","-7.3","GORGAN, IR","1",",S","1",",S","0",",S","","","","","0","4,S","27","4,S","12","4,S","","","11.7",",,S,22,","38.0","4,S,31,","11.7",",,,S","","","31.53","4,,,S","",""
"IRM00040738","2014-06","36.909","54.401","-7.3","GORGAN, IR","5",",S","3",",S","1",",S","","","","","0","5,S","25","5,S","17","5,S","","","54.1",",,S,05,","41.0","5,S,21,","64.8",",,,S","","","33.80","5,,,S","",""
"IRM00040738","2014-07","36.909","54.401","-7.3","GORGAN, IR","2",",S","1",",S","0",",S","","","","","0","3,S","28","3,S","23","3,S","","","3.0",",,S,02,","38.0","3,S,06,","4.5",",,,S","","","34.14","3,,,S","",""
"IRM00040738","2014-08","36.909","54.401","-7.3","GORGAN, IR","1",",S","1",",S","0",",S","","","","","0","3,S","28","3,S","28","3,S","","","16.8",",,S,16,","39.6","3,S,25,","16.8",",,,S","","","36.46","3,,,S","",""
"IRM00040738","2014-09","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","3,S","27","3,S","14","3,S","","","","","37.4","3,S,24,","","","","","32.31","3,,,S","",""
"IRM00040738","2014-10","36.909","54.401","-7.3","GORGAN, IR","1","5,S","1","5,S","0","5,S","","","","","0","5,S","22","5,S","0","5,S","","","22.1","5,,S,08,","31.0","5,S,19,+","22.1","5,,,S","","","24.69","5,,,S","",""
"IRM00040738","2014-11","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","3,S","4","3,S","0","3,S","","","","","25.2","3,S,15,","","","","","17.18","3,,,S","",""
"IRM00040738","2014-12","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","20.4","5,S,12,","","","","","14.78","5,,,S","",""
"IRM00040738","2015-01","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","4,S","2","4,S","0","4,S","","","","","24.8","4,S,07,","","","","","13.94","4,,,S","",""
"IRM00040738","2015-03","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","4,S","4","4,S","0","4,S","","","","","27.4","4,S,28,","","","","","16.30","4,,,S","",""
"IRM00040738","2015-04","36.909","54.401","-7.3","GORGAN, IR","6","4,S","2","4,S","0","4,S","","","","","","","","","","","","","4.8","4,,S,12,","","","13.4","4,,,S","","","","","",""
"IRM00040738","2015-05","36.909","54.401","-7.3","GORGAN, IR","5","2,S","0","2,S","0","2,S","","","","","0","5,S","26","5,S","9","5,S","","","1.3","2,,S,07,","46.2","5,S,30,","3.0","2,,,S","","","31.38","5,,,S","",""
"IRM00040738","2015-06","36.909","54.401","-7.3","GORGAN, IR","0","4,S","0","4,S","0","4,S","","","","","0","5,S","25","5,S","21","5,S","","","0.0","4,,S,30,+","41.6","5,S,20,","0.0","4,,,S","","","35.45","5,,,S","",""
"IRM00040738","2015-07","36.909","54.401","-7.3","GORGAN, IR","3","1,S","1","1,S","0","1,S","","","","","0","4,S","27","4,S","23","4,S","","","3.3","1,,S,14,","40.8","4,S,10,","7.1","1,,,S","","","35.32","4,,,S","",""
"IRM00040738","2015-08","36.909","54.401","-7.3","GORGAN, IR","2","5,S","2","5,S","0","5,S","","","","","","","","","","","","","7.9","5,,S,29,","","","11.5","5,,,S","","","","","",""
"IRM00040738","2015-09","36.909","54.401","-7.3","GORGAN, IR","2","1,S","2","1,S","0","1,S","","","","","0","4,S","26","4,S","15","4,S","","","10.4","1,,S,02,","37.1","4,S,09,","19.0","1,,,S","","","32.59","4,,,S","",""
"IRM00040738","2015-11","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","5,S","5","5,S","0","5,S","","","","","24.1","5,S,12,","","","","","18.38","5,,,S","",""
"IRM00040738","2016-02","36.909","54.401","-7.3","GORGAN, IR","","","","","","","","","","","0","5,S","2","5,S","0","5,S","","","","","25.5","5,S,06,","","","","","14.22","5,,,S","",""
"IRM00040738","2016-03","36.909","54.401","-7.3","GORGAN, IR","15","3,S","9","3,S","1","3,S","","","","","","","","","","","","","28.7","3,,S,23,","","","90.9","3,,,S","","","","","",""
"IRM00040738","2016-04","36.909","54.401","-7.3","GORGAN, IR","8","1,S","4","1,S","1","1,S","","","","","","","","","","","","","32.0","1,,S,17,","","","56.4","1,,,S","","","","","",""
"IRM00040738","2016-05","36.909","54.401","-7.3","GORGAN, IR","12",",S","4",",S","1",",S","","","","","0","3,S","26","3,S","10","3,S","","","35.3",",,S,26,","37.8","3,S,15,","63.8",",,,S","","","29.38","3,,,S","",""
"IRM00040738","2016-06","36.909","54.401","-7.3","GORGAN, IR","6",",S","2",",S","0",",S","","","","","","","","","","","","","9.1",",,S,02,","","","20.6",",,,S","","","","","",""
"IRM00040738","2016-07","36.909","54.401","-7.3","GORGAN, IR","11",",S","6",",S","0",",S","","","","","0","4,S","27","4,S","21","4,S","","","13.5",",,S,13,","42.2","4,S,19,","42.6",",,,S","","","33.80","4,,,S","",""
"IRM00040738","2016-08","36.909","54.401","-7.3","GORGAN, IR","2",",S","0",",S","0",",S","","","","","0","3,S","28","3,S","28","3,S","","","0.8",",,S,01,","40.4","3,S,11,","1.3",",,,S","","","36.23","3,,,S","",""
"IRM00040738","2016-09","36.909","54.401","-7.3","GORGAN, IR","8",",S","4",",S","0",",S","","","","","0","5,S","25","5,S","11","5,S","","","20.3",",,S,02,","35.9","5,S,01,","54.4",",,,S","","","30.58","5,,,S","",""
"IRM00040738","2016-10","36.909","54.401","-7.3","GORGAN, IR","5",",S","1",",S","0",",S","","","","","","","","","","","","","7.6",",,S,18,","","","13.7",",,,S","","","","","",""
"IRM00040738","2016-11","36.909","54.401","-7.3","GORGAN, IR","12",",S","3",",S","1",",S","","","","","","","","","","","","","44.2",",,S,03,","","","68.0",",,,S","","","","","",""
"IRM00040738","2016-12","36.909","54.401","-7.3","GORGAN, IR","7",",S","5",",S","0",",S","","","","","","","","","","","","","6.1",",,S,18,+","","","26.5",",,,S","","","","","",""
"IRM00040738","2017-01","36.909","54.401","-7.3","GORGAN, IR","5",",S","4",",S","0",",S","","","","","0","5,S","1","5,S","0","5,S","","","16.3",",,S,30,+","21.2","5,S,09,","49.9",",,,S","","","13.60","5,,,S","",""
"IRM00040738","2017-02","36.909","54.401","-7.3","GORGAN, IR","11",",S","5",",S","0",",S","","","","","","","","","","","","","6.6",",,S,18,","","","27.7",",,,S","","","","","",""
"IRM00040738","2017-03","36.909","54.401","-7.3","GORGAN, IR","7",",S","4",",S","0",",S","","","","","0","4,S","4","4,S","0","4,S","","","14.5",",,S,14,","27.5","4,S,19,","32.7",",,,S","","","17.45","4,,,S","",""
"IRM00040738","2017-04","36.909","54.401","-7.3","GORGAN, IR","11",",S","5",",S","1",",S","","","","","","","","","","","","","25.9",",,S,26,","","","53.7",",,,S","","","","","",""
"IRM00040738","2017-05","36.909","54.401","-7.3","GORGAN, IR","5",",S","0",",S","0",",S","","","","","0","5,S","26","5,S","9","5,S","","","2.0",",,S,04,","39.9","5,S,11,","5.4",",,,S","","","30.40","5,,,S","",""
"IRM00040738","2017-06","36.909","54.401","-7.3","GORGAN, IR","2",",S","0",",S","0",",S","","","","","0","3,S","27","3,S","19","3,S","","","0.3",",,S,26,+","38.9","3,S,10,","0.6",",,,S","","","33.51","3,,,S","",""
"IRM00040738","2017-07","36.909","54.401","-7.3","GORGAN, IR","5",",S","1",",S","0",",S","","","","","0","2,S","29","2,S","26","2,S","","","5.6",",,S,12,","42.5","2,S,04,","8.3",",,,S","","","36.07","2,,,S","",""
"IRM00040738","2017-08","36.909","54.401","-7.3","GORGAN, IR","0",",S","0",",S","0",",S","","","","","0","3,S","28","3,S","28","3,S","","","0.0",",,S,31,+","40.9","3,S,29,","0.0",",,,S","","","37.16","3,,,S","",""
"IRM00040738","2017-09","36.909","54.401","-7.3","GORGAN, IR","2",",S","2",",S","1",",S","","","","","0","4,S","25","4,S","21","4,S","","","68.1",",,S,26,","39.3","4,S,01,","72.4",",,,S","","","33.41","4,,,S","",""
"IRM00040738","2017-10","36.909","54.401","-7.3","GORGAN, IR","8",",S","3",",S","1",",S","","","","","","","","","","","","","29.2",",,S,05,","","","47.0",",,,S","","","","","",""
"IRM00040738","2017-11","36.909","54.401","-7.3","GORGAN, IR","6",",S","5",",S","1",",S","","","","","","","","","","","","","36.3",",,S,25,","","","68.9",",,,S","","","","","",""
"IRM00040738","2017-12","36.909","54.401","-7.3","GORGAN, IR","9",",S","4",",S","0",",S","","","","","","","","","","","","","7.4",",,S,08,","","","23.5",",,,S","","","","","",""
"IRM00040738","2018-01","36.909","54.401","-7.3","GORGAN, IR","12",",S","6",",S","0",",S","","","","","","","","","","","","","24.4",",,S,03,","","","70.1",",,,S","","","","","",""
"IRM00040738","2018-02","36.909","54.401","-7.3","GORGAN, IR","11",",S","6",",S","0",",S","","","","","0","4,S","1","4,S","0","4,S","","","9.7",",,S,14,","22.1","4,S,26,","35.0",",,,S","","","13.27","4,,,S","",""
"IRM00040738","2018-03","36.909","54.401","-7.3","GORGAN, IR","10",",S","2",",S","0",",S","","","","","","","","","","","","","9.4",",,S,18,","","","24.2",",,,S","","","","","",""
"IRM00040738","2018-04","36.909","54.401","-7.3","GORGAN, IR","9",",S","4",",S","0",",S","","","","","","","","","","","","","14.5",",,S,16,","","","40.5",",,,S","","","","","",""
"IRM00040738","2018-05","36.909","54.401","-7.3","GORGAN, IR","6","1,S","0","1,S","0","1,S","","","","","0","1,S","30","1,S","12","1,S","","","1.8","1,,S,10,","38.5","1,S,26,","5.1","1,,,S","","","30.49","1,,,S","",""
"IRM00040738","2018-06","36.909","54.401","-7.3","GORGAN, IR","4",",S","0",",S","0",",S","","","","","0","2,S","28","2,S","21","2,S","","","2.3",",,S,13,","43.5","2,S,30,","4.4",",,,S","","","33.64","2,,,S","",""
"IRM00040738","2018-07","36.909","54.401","-7.3","GORGAN, IR","7",",S","2",",S","0",",S","","","","","0","5,S","26","5,S","24","5,S","","","13.2",",,S,22,","43.0","5,S,12,","24.4",",,,S","","","37.54","5,,,S","",""
"IRM00040738","2018-08","36.909","54.401","-7.3","GORGAN, IR","6",",S","2",",S","0",",S","","","","","0",",S","31",",S","24",",S","","","13.2",",,S,20,","39.3",",S,09,+","20.6",",,,S","","","34.30",",,,S","",""
"IRM00040738","2018-09","36.909","54.401","-7.3","GORGAN, IR","2","2,S","1","2,S","0","2,S","","","","","0","3,S","27","3,S","16","3,S","","","9.1","2,,S,20,","37.3","3,S,15,","10.6","2,,,S","","","32.43","3,,,S","",""
"IRM00040738","2018-10","36.909","54.401","-7.3","GORGAN, IR","4",",S","4",",S","1",",S","","","","","","","","","","","","","27.7",",,S,06,","","","68.9",",,,S","","","","","",""
"IRM00040738","2018-11","36.909","54.401","-7.3","GORGAN, IR","9",",S","6",",S","0",",S","","","","","","","","","","","","","16.3",",,S,24,","","","63.1",",,,S","","","","","",""
