"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ISE00100480","1908-12","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","9",",E","9",",E","3",",E","47.0",",,E,07,","153.1",",,,E"
"ISE00100480","1909-01","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","12",",E","12",",E","1",",E","54.5",",,E,12,","167.5",",,,E"
"ISE00100480","1909-02","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","7",",E","5",",E","0",",E","16.0",",,E,22,","66.0",",,,E"
"ISE00100480","1909-03","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","3",",E","1",",E","0",",E","2.5",",,E,06,","5.0",",,,E"
"ISE00100480","1909-04","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","4",",E","4",",E","0",",E","19.5",",,E,07,","36.0",",,,E"
"ISE00100480","1909-05","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","2",",E","2",",E","0",",E","10.0",",,E,04,","13.0",",,,E"
"ISE00100480","1909-06","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1909-07","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1909-08","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1909-09","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1909-10","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","4",",E","4",",E","0",",E","18.0",",,E,23,","34.5",",,,E"
"ISE00100480","1909-11","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","6",",E","2",",E","0",",E","11.0",",,E,12,","22.5",",,,E"
"ISE00100480","1909-12","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","5",",E","5",",E","0",",E","18.0",",,E,29,","46.5",",,,E"
"ISE00100480","1910-01","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","7",",E","7",",E","3",",E","55.0",",,E,04,","152.0",",,,E"
"ISE00100480","1910-02","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","4",",E","4",",E","1",",E","33.5",",,E,18,","54.0",",,,E"
"ISE00100480","1910-03","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","14",",E","12",",E","4",",E","44.5",",,E,23,","236.3",",,,E"
"ISE00100480","1910-04","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","4",",E","4",",E","0",",E","11.0",",,E,21,","26.7",",,,E"
"ISE00100480","1910-05","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","1",",E","1",",E","0",",E","3.7",",,E,14,","3.7",",,,E"
"ISE00100480","1910-06","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1910-07","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1910-08","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1910-09","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1910-10","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","1",",E","0",",E","0",",E","1.4",",,E,14,","1.4",",,,E"
"ISE00100480","1910-11","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","5",",E","3",",E","0",",E","19.5",",,E,25,","45.1",",,,E"
"ISE00100480","1910-12","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","4",",E","4",",E","0",",E","8.0",",,E,24,","26.0",",,,E"
"ISE00100480","1911-01","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","14",",E","13",",E","3",",E","64.0",",,E,26,","234.9",",,,E"
"ISE00100480","1911-02","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","9",",E","9",",E","3",",E","76.0",",,E,10,","208.0",",,,E"
"ISE00100480","1911-03","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","7",",E","5",",E","1",",E","42.5",",,E,12,","89.9",",,,E"
"ISE00100480","1911-04","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","4",",E","4",",E","1",",E","45.2",",,E,15,","75.2",",,,E"
"ISE00100480","1911-05","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1911-06","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1911-07","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1911-08","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1911-09","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1911-10","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","2",",E","1",",E","0",",E","3.7",",,E,20,","6.0",",,,E"
"ISE00100480","1911-11","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","5",",E","4",",E","1",",E","27.0",",,E,09,","43.0",",,,E"
"ISE00100480","1911-12","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","12",",E","11",",E","4",",E","57.9",",,E,29,","221.2",",,,E"
"ISE00100480","1912-01","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","10",",E","9",",E","2",",E","40.9",",,E,03,","177.0",",,,E"
"ISE00100480","1912-02","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","5",",E","3",",E","0",",E","6.7",",,E,12,","21.4",",,,E"
"ISE00100480","1912-03","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","3",",E","3",",E","0",",E","20.5",",,E,01,","47.3",",,,E"
"ISE00100480","1912-04","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","5",",E","3",",E","0",",E","9.5",",,E,23,","18.9",",,,E"
"ISE00100480","1912-05","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","3",",E","3",",E","0",",E","7.0",",,E,12,","17.0",",,,E"
"ISE00100480","1912-06","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1912-07","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1912-08","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,31,+","0.0",",,,E"
"ISE00100480","1912-09","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","0",",E","0",",E","0",",E","0.0",",,E,30,+","0.0",",,,E"
"ISE00100480","1912-10","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","7",",E","7",",E","0",",E","21.5",",,E,28,","67.3",",,,E"
"ISE00100480","1912-11","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","3",",E","1",",E","0",",E","5.6",",,E,30,","9.4",",,,E"
"ISE00100480","1912-12","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","10",",E","6",",E","3",",E","30.2",",,E,31,","129.0",",,,E"
"ISE00100480","1913-01","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","16",",E","9",",E","1",",E","31.4",",,E,08,","105.3",",,,E"
"ISE00100480","1913-02","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","11",",E","9",",E","1",",E","40.9",",,E,17,","121.9",",,,E"
"ISE00100480","1913-03","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","6",",E","5",",E","1",",E","34.0",",,E,30,","80.3",",,,E"
"ISE00100480","1913-04","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","1",",E","1",",E","0",",E","12.7",",,E,04,","12.7",",,,E"
"ISE00100480","1913-05","31.7831","35.2331","740.0","JERUSALEM ST. ANNE, IS","2",",E","1",",E","0",",E","5.8",",,E,15,","7.0",",,,E"
