"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"KG000038488","1960-01","41.0","73.8","2749.0","CAAR TAS, KG","12",",I","9",",I","0",",I","20.6",",,I,05,","69.3",",,,I"
"KG000038488","1960-02","41.0","73.8","2749.0","CAAR TAS, KG","14",",I","11",",I","0",",I","24.7",",,I,07,","98.0",",,,I"
"KG000038488","1960-03","41.0","73.8","2749.0","CAAR TAS, KG","21",",I","15",",I","1",",I","35.9",",,I,04,","164.9",",,,I"
"KG000038488","1960-04","41.0","73.8","2749.0","CAAR TAS, KG","12","1,I","6","1,I","3","1,I","32.7","1,,I,07,","108.5","1,,,I"
"KG000038488","1960-05","41.0","73.8","2749.0","CAAR TAS, KG","15",",I","15",",I","7",",I","55.4",",,I,26,","373.3",",,,I"
"KG000038488","1960-06","41.0","73.8","2749.0","CAAR TAS, KG","16",",I","11",",I","1",",I","39.6",",,I,07,","107.2",",,,I"
"KG000038488","1960-07","41.0","73.8","2749.0","CAAR TAS, KG","8",",I","5",",I","0",",I","15.6",",,I,12,","38.9",",,,I"
"KG000038488","1960-08","41.0","73.8","2749.0","CAAR TAS, KG","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"KG000038488","1960-09","41.0","73.8","2749.0","CAAR TAS, KG","9",",I","8",",I","0",",I","18.0",",,I,21,","72.2",",,,I"
"KG000038488","1960-10","41.0","73.8","2749.0","CAAR TAS, KG","7",",I","3",",I","0",",I","25.0",",,I,28,","56.8",",,,I"
"KG000038488","1960-11","41.0","73.8","2749.0","CAAR TAS, KG","11",",I","9",",I","2",",I","42.0",",,I,21,","132.0",",,,I"
"KG000038488","1960-12","41.0","73.8","2749.0","CAAR TAS, KG","6","1,I","3","1,I","0","1,I","8.0","1,,I,05,","26.0","1,,,I"
"KG000038488","1961-01","41.0","73.8","2749.0","CAAR TAS, KG","6",",I","4",",I","0",",I","15.0",",,I,08,","38.2",",,,I"
"KG000038488","1961-02","41.0","73.8","2749.0","CAAR TAS, KG","10",",I","6",",I","0",",I","21.0",",,I,27,","91.1",",,,I"
"KG000038488","1961-03","41.0","73.8","2749.0","CAAR TAS, KG","12",",I","10",",I","0",",I","11.2",",,I,21,","73.4",",,,I"
"KG000038488","1961-04","41.0","73.8","2749.0","CAAR TAS, KG","8",",I","5",",I","1",",I","28.7",",,I,27,","64.6",",,,I"
"KG000038488","1961-05","41.0","73.8","2749.0","CAAR TAS, KG","9",",I","7",",I","0",",I","14.0",",,I,11,","61.9",",,,I"
