"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KSW00043221","1951-09","37.96667","124.66667","193.2","DO ROK K 53, KS","","","","","","","","","","","","","","","","","","","","","","","","","5","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSW00043221","1951-10","37.96667","124.66667","193.2","DO ROK K 53, KS","","","","","8",",X","5",",X","0",",X","0",",X","0",",X","","","","","","","","","","","8","","3","","","","0",",,X,31,+","0",",,X,31,+","12.4",",,X,20,","","","","","","","35.5",",,,X","0",",,,X","","","","","",""
"KSW00043221","1951-11","37.96667","124.66667","193.2","DO ROK K 53, KS","","","0.0","2,X","13",",X","5",",X","0",",X","0",",X","0",",X","0","2,X","4","2,X","1","2,X","0","2,X","0","2,X","2","","","","-5.0","2,X,26,","0",",T,X,26,+","20",",,X,26,","7.1",",,X,11,","16.7","2,X,13,","","","293.6","2,X","34.1",",,,X","20",",,,X","7.85","2,X","10.57","2,,,X","5.13","2,,,X"
"KSW00043221","1951-12","37.96667","124.66667","193.2","DO ROK K 53, KS","","","0.0",",X","5",",X","1",",X","1",",X","1",",X","1",",X","0",",X","10",",X","3",",X","0",",X","0",",X","7","","","","-6.7",",X,29,","25",",,X,31,","25",",,X,30,","26.9",",,X,25,","12.8",",X,12,","","","452.4",",X","30.5",",,,X","25",",,,X","3.74",",X","6.04",",,,X","1.45",",,,X"
"KSW00043221","1952-01","37.96667","124.66667","193.2","DO ROK K 53, KS","0.0","X","0.0","2,X","10",",X","4",",X","0",",X","2","2,X","4","1,X","0","1,X","30","1,X","10","1,X","0","1,X","0","1,X","6","","","","-9.4","1,X,25,","25","2,,X,10,+","25","1,,X,26,+","3.6",",,X,14,","5.6","1,X,27,+","","","573.7","1,X","18.3",",,,X","144","1,,,X","-1.43","2,X","1.42","1,,,X","-4.28","1,,,X"
"KSW00043221","1952-02","37.96667","124.66667","193.2","DO ROK K 53, KS","0.0","X","0.0",",X","6",",X","0",",X","0",",X","4",",X","1",",X","0",",X","28",",X","11",",X","0",",X","0",",X","1","","","","-11.1",",X,03,","25",",,X,26,+","25",",,X,01,","2.3",",,X,25,","7.2",",X,11,","","","608.8",",X","9.0",",,,X","79",",,,X","-2.66",",X","-0.22",",,,X","-5.10",",,,X"
"KSW00043221","1952-03","37.96667","124.66667","193.2","DO ROK K 53, KS","0.0","X","0.0",",X","4",",X","2",",X","0",",X","0",",X","0",",X","0",",X","13",",X","1",",X","0",",X","0",",X","11","","","","-4.4",",X,05,+","0",",,X,31,+","5",",,X,02,","7.1",",,X,22,","11.7",",X,17,","","","473.8",",X","11.4",",,,X","5",",,,X","3.05",",X","5.88",",,,X","0.22",",,,X"
"KSW00043221","1952-04","37.96667","124.66667","193.2","DO ROK K 53, KS","0.0","X","0.0",",X","5",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","14","","","","2.8",",X,01,","0",",,X,30,+","0",",T,X,19,","55.4",",,X,11,","20.0",",X,10,","","","272.5",",X","97.0",",,,X","0",",T,,X","9.25",",X","12.67",",,,X","5.83",",,,X"
"KSW00043221","1952-05","37.96667","124.66667","193.2","DO ROK K 53, KS","3.0","X","3.0",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","9","","","","8.9",",X,01,","0",",,X,31,+","0",",,X,31,+","1.8",",,X,23,","23.9",",X,16,","","","80.8",",X","3.6",",,,X","0",",,,X","15.82",",X","19.43",",,,X","12.22",",,,X"
"KSW00043221","1952-06","37.96667","124.66667","193.2","DO ROK K 53, KS","43.9","X","40.9","2,X","6",",X","5",",X","1",",X","0",",X","0",",X","0","2,X","0","2,X","0","2,X","19","2,X","0","2,X","16","","4","","11.1","2,X,02,+","0",",,X,30,+","0",",,X,30,+","31.0",",,X,28,","28.3","2,X,23,","","","22.0","2,X","85.6",",,,X","0",",,,X","19.01","2,X","22.60","2,,,X","15.42","2,,,X"
"KSW00043221","1952-07","37.96667","124.66667","193.2","DO ROK K 53, KS","197.9","X","154.0","2,X","6","2,X","3","2,X","0","2,X","0","2,X","0","2,X","0","2,X","0","2,X","0","2,X","29","2,X","0","2,X","19","","","","16.7","2,X,03,","0","2,,X,31,+","0","2,,X,31,+","15.2","2,,X,31,","30.0","2,X,22,","0.0","X","0.0","2,X","30.2","2,,,X","0","2,,,X","23.64","2,X","26.50","2,,,X","20.78","2,,,X"
"KSW00043221","1952-08","37.96667","124.66667","193.2","DO ROK K 53, KS","364.7","X","166.8",",X","11",",X","7",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","1",",X","12","","","","16.7",",X,26,","0",",,X,31,+","0",",,X,31,+","86.9",",,X,23,","32.2",",X,14,","0.0","X","0.0",",X","189.3",",,,X","0",",,,X","23.71",",X","26.69",",,,X","20.74",",,,X"
