"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"LAM00048940","1953-03","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","1,S","0","1,S","","","","","","","15.0","1,S,07,","","","","","","","","","","","19.85","1,,,S"
"LAM00048940","1953-09","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","22","5,S","14","5,S","3","5,S","0","4,S","0","4,S","","","","","","","22.2","4,S,26,+","45.0","5,,S,05,","","","269.7","5,,,S","","","","","23.37","4,,,S"
"LAM00048940","1956-04","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","5,S","0","5,S","","","","","","","20.0","5,S,01,","","","","","","","","","","","22.69","5,,,S"
"LAM00048940","1980-01","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","4,S","0","4,S","0","4,S","27","4,S","4","4,S","14.0","4,S,08,","","","33.0","4,S,30,+","","","23.37","8,S","30.11","4,,,S","16.63","4,,,S"
"LAM00048940","1980-02","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","","","","","0","4,S","25","4,S","8","4,S","","","","","35.0","4,S,29,","","","","","30.84","4,,,S","",""
"LAM00048940","1980-06","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","","","","","0","5,S","25","5,S","5","5,S","","","","","35.0","5,S,08,+","","","","","31.24","5,,,S","",""
"LAM00048940","1980-08","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","5,S","0","5,S","","","","","","","24.0","5,S,26,+","","","","","","","","","","","25.23","5,,,S"
"LAM00048940","1980-09","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","4,S","0","4,S","","","","","","","23.0","4,S,07,","","","","","","","","","","","24.38","4,,,S"
"LAM00048940","1980-10","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","","","","","0","5,S","26","5,S","10","5,S","","","","","34.0","5,S,21,","","","","","31.88","5,,,S","",""
"LAM00048940","1980-11","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","","","","","0","5,S","25","5,S","2","5,S","","","","","33.0","5,S,27,+","","","","","30.76","5,,,S","",""
"LAM00048940","1981-08","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","4,S","0","4,S","","","","","","","22.0","4,S,01,","","","","","","","","","","","24.81","4,,,S"
"LAM00048940","1981-09","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","5,S","0","5,S","","","","","","","22.0","5,S,16,","","","","","","","","","","","24.08","5,,,S"
"LAM00048940","1981-12","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","0","4,S","0","4,S","","","","","","","12.0","4,S,22,+","","","","","","","","","","","15.63","4,,,S"
"LAM00048940","2003-07","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","18","3,S","12","3,S","0","3,S","","","","","","","","","","","","","14.0","3,,S,08,","","","85.1","3,,,S","","","","","",""
"LAM00048940","2003-08","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","16","3,S","13","3,S","3","3,S","","","","","0","4,S","27","4,S","16","4,S","","","31.0","3,,S,20,","35.0","4,S,06,+","201.1","3,,,S","","","31.93","4,,,S","",""
"LAM00048940","2004-03","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","","","","","","","","","","","0","3,S","28","3,S","22","3,S","","","","","38.0","3,S,29,","","","","","34.14","3,,,S","",""
"LAM00048940","2004-06","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","16","4,S","13","4,S","3","4,S","","","","","0","4,S","26","4,S","9","4,S","","","97.0","4,,S,16,","35.5","4,S,06,","295.5","4,,,S","","","31.88","4,,,S","",""
"LAM00048940","2004-07","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","23","1,S","19","1,S","3","1,S","","","","","","","","","","","","","58.9","1,,S,24,","","","315.4","1,,,S","","","","","",""
"LAM00048940","2004-08","17.988","102.563","171.9","WATTAY INTERNATIONAL, LA","21","2,S","15","2,S","4","2,S","","","","","","","","","","","","","103.9","2,,S,08,","","","314.7","2,,,S","","","","","",""
