"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MLM00061257","1957-07","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","293.3","4,S","","","","","","","0","4,S","0","4,S","0","1,S","30","1,S","24","1,S","21.1","4,S,21,","","","37.2","1,S,26,","0.0","S","0.0","1,S","","","29.02","4,S","33.46","1,,,S","24.59","4,,,S"
"MLM00061257","1957-08","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","272.0","2,S","","","","","","","0","2,S","0","2,S","0",",S","31",",S","18",",S","20.0","2,S,04,","","","37.2",",S,24,","0.0","S","0.0",",S","","","27.62","2,S","32.03",",,,S","23.22","2,,,S"
"MLM00061257","1957-09","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","273.9","1,S","","","","","","","0","1,S","0","1,S","0",",S","30",",S","21",",S","21.1","1,S,27,+","","","35.0",",S,26,+","0.0","S","0.0",",S","","","27.77","1,S","32.52",",,,S","23.03","1,,,S"
"MLM00061257","1957-10","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","310.9","1,S","","","","","","","0","1,S","0","1,S","0",",S","31",",S","28",",S","21.1","1,S,31,+","","","37.2",",S,30,+","0.0","S","0.0",",S","","","28.69","1,S","34.17",",,,S","23.21","1,,,S"
"MLM00061257","1957-11","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","312.8",",S","","","","","","","0",",S","0",",S","0",",S","30",",S","30",",S","17.8",",S,22,+","","","40.0",",S,15,+","0.0","S","0.0",",S","","","28.76",",S","36.92",",,,S","20.59",",,,S"
"MLM00061257","1957-12","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","250.3","1,S","","","","","","","0","1,S","0","1,S","0","1,S","30","1,S","28","1,S","16.1","1,S,31,","","","37.2","1,S,28,+","0.0","S","0.0","1,S","","","26.68","1,S","33.76","1,,,S","19.59","1,,,S"
"MLM00061257","1958-01","14.482","-11.44","51.5","KAYES DAG DAG, ML","271.9","S","271.9",",S","","","","","","","0",",S","0",",S","0",",S","31",",S","26",",S","15.0",",S,15,+","","","38.9",",S,26,+","0.0","S","0.0",",S","","","27.10",",S","35.39",",,,S","18.81",",,,S"
"MLM00061257","1958-03","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","398.9","1,S","","","","","","","0","1,S","0","1,S","0","1,S","30","1,S","30","1,S","17.8","1,S,11,+","","","45.0","1,S,26,","","","0.0","1,S","","","31.63","1,S","40.76","1,,,S","22.50","1,,,S"
"MLM00061257","1958-04","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","498.9",",S","","","","","","","0",",S","0",",S","0",",S","30",",S","30",",S","22.8",",S,10,+","","","43.9",",S,22,+","","","0.0",",S","","","34.96",",S","42.42",",,,S","27.50",",,,S"
"MLM00061257","1958-05","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","533.6",",S","","","","","","","0",",S","0",",S","0",",S","31",",S","31",",S","23.9",",S,18,","","","45.0",",S,29,+","","","0.0",",S","","","35.55",",S","41.99",",,,S","29.10",",,,S"
"MLM00061257","1958-06","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","360.3","2,S","","","","","","","0","2,S","0","2,S","0","1,S","29","1,S","29","1,S","20.0","2,S,06,","","","42.2","1,S,04,","","","0.0","1,S","","","31.13","2,S","36.07","1,,,S","26.19","2,,,S"
"MLM00061257","1958-07","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","294.2","3,S","","","","","","","0","3,S","0","3,S","0",",S","31",",S","24",",S","20.0","3,S,21,","","","36.1",",S,30,+","0.0","S","0.0",",S","","","28.82","3,S","32.87",",,,S","24.78","3,,,S"
"MLM00061257","1958-08","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","249.8","1,S","","","","","","","0","1,S","0","1,S","0",",S","31",",S","10",",S","20.0","1,S,12,","","","32.8",",S,31,+","0.0","S","0.0",",S","","","26.67","1,S","30.64",",,,S","22.70","1,,,S"
"MLM00061257","1958-09","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","288.7","2,S","","","","","","","0","2,S","0","2,S","0","1,S","29","1,S","27","1,S","21.1","2,S,30,+","","","36.1","1,S,27,+","0.0","S","0.0","1,S","","","28.67","2,S","33.64","1,,,S","23.69","2,,,S"
"MLM00061257","1958-10","14.482","-11.44","51.5","KAYES DAG DAG, ML","","","329.5","1,S","","","","","","","0","1,S","0","1,S","0",",S","31",",S","28",",S","21.1","1,S,30,+","","","38.9",",S,31,+","0.0","S","0.0",",S","","","29.29","1,S","35.46",",,,S","23.11","1,,,S"
