"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"MXM00076625","1996-12","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","0","1,S","0","1,S","0","1,S","0.0","1,,S,31,+","0.0","1,,,S"
"MXM00076625","1997-01","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","1","1,S","0","1,S","0","1,S","1.8","1,,S,30,","1.8","1,,,S"
"MXM00076625","1997-02","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","1",",S","0",",S","0",",S","0.8",",,S,02,","0.8",",,,S"
"MXM00076625","1997-03","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","4",",S","2",",S","1",",S","26.4",",,S,20,","32.6",",,,S"
"MXM00076625","1997-04","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","2",",S","1",",S","0",",S","8.9",",,S,17,","10.2",",,,S"
"MXM00076625","1997-05","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","6","1,S","4","1,S","0","1,S","15.2","1,,S,18,","48.1","1,,,S"
"MXM00076625","1997-06","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","5","1,S","4","1,S","0","1,S","24.6","1,,S,25,","60.2","1,,,S"
"MXM00076625","1997-10","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","4","3,S","3","3,S","0","3,S","11.7","3,,S,11,","23.1","3,,,S"
"MXM00076625","1997-11","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","3","2,S","2","2,S","0","2,S","14.0","2,,S,11,","18.8","2,,,S"
"MXM00076625","1997-12","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","2","2,S","0","2,S","0","2,S","1.0","2,,S,13,","1.3","2,,,S"
"MXM00076625","1998-04","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","0","4,S","0","4,S","0","4,S","0.0","4,,S,30,+","0.0","4,,,S"
"MXM00076625","1998-05","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","3","1,S","0","1,S","0","1,S","2.3","1,,S,15,","3.8","1,,,S"
"MXM00076625","1998-06","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","10",",S","6",",S","2",",S","51.6",",,S,09,","119.1",",,,S"
"MXM00076625","1998-07","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","8",",S","5",",S","1",",S","36.6",",,S,12,","79.6",",,,S"
"MXM00076625","2002-09","20.617","-100.186","1919.0","QUERETARO INTERCONTINENTAL, MX","9","2,S","7","2,S","3","2,S","46.7","2,,S,18,","138.2","2,,,S"
