"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"MXN00018033","1942-01","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","1",",m","0",",m","0",",m","1.3",",,m,01,","1.3",",,,m"
"MXN00018033","1942-02","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","5",",m","1",",m","0",",m","21.1",",,m,15,","23.8",",,,m"
"MXN00018033","1942-03","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","1",",m","1",",m","0",",m","3.6",",,m,06,","3.6",",,,m"
"MXN00018033","1942-04","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","0","1,m","0","1,m","0","1,m","0.0","1,,m,30,+","0.0","1,,,m"
"MXN00018033","1942-05","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","0",",m","0",",m","0",",m","0.0",",,m,31,+","0.0",",,,m"
"MXN00018033","1942-06","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","10",",m","5",",m","1",",m","36.1",",,m,30,","74.4",",,,m"
"MXN00018033","1942-07","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","20",",m","13",",m","6",",m","85.9",",,m,18,","379.8",",,,m"
"MXN00018033","1942-08","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","24",",m","21",",m","10",",m","79.8",",,m,28,+","710.6",",,,m"
"MXN00018033","1942-09","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","14","1,m","14","1,m","5","1,m","82.3","1,,m,08,","350.6","1,,,m"
"MXN00018033","1942-10","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","3",",m","3",",m","1",",m","26.9",",,m,02,","47.3",",,,m"
"MXN00018033","1942-11","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","1",",m","1",",m","0",",m","18.8",",,m,03,","18.8",",,,m"
"MXN00018033","1942-12","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","0",",m","0",",m","0",",m","0.0",",,m,31,+","0.0",",,,m"
"MXN00018033","1943-01","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","7",",m","6",",m","0",",m","18.8",",,m,08,","51.9",",,,m"
"MXN00018033","1943-02","22.05","-104.9167","1304.8","SAN PEDRO IXCATAN, MX","0",",m","0",",m","0",",m","0.0",",,m,28,+","0.0",",,,m"
