"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RPW00041232","1965-08","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","","","285.2","2,X","19",",X","12",",X","2",",X","0",",X","0",",X","0","2,X","0","2,X","0","2,X","29","2,X","13","2,X","","","17","","23.9","2,X,31,+","0",",,X,31,+","0",",,X,31,+","44.5",",,X,21,+","33.3","2,X,17,","","","0.0","2,X","185.7",",,,X","0",",,,X","28.17","2,X","31.65","2,,,X","24.68","2,,,X"
"RPW00041232","1965-09","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","","","289.9",",X","13",",X","8",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","8",",X","","","10","","23.3",",X,22,+","0",",,X,30,+","0",",,X,30,+","42.2",",,X,21,","33.3",",X,18,","","","0.0",",X","106.9",",,,X","0",",,,X","28.00",",X","31.35",",,,X","24.64",",,,X"
"RPW00041232","1965-10","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","","","295.9",",X","15",",X","8",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","6",",X","","","11","","23.3",",X,06,+","0",",,X,31,+","0",",,X,31,+","57.4",",,X,04,","32.8",",X,07,","","","0.0",",X","120.8",",,,X","0",",,,X","27.88",",X","31.02",",,,X","24.73",",,,X"
"RPW00041232","1965-11","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","","","275.6",",X","20","1,X","10","1,X","1","1,X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","","","7","","22.8",",X,29,+","0",",,X,30,+","0",",,X,30,+","32.0","1,,X,29,","32.2",",X,24,","","","0.0",",X","109.9","1,,,X","0",",,,X","27.52",",X","30.51",",,,X","24.53",",,,X"
"RPW00041232","1965-12","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","","","262.3",",X","20",",X","11",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","22.2",",X,31,","0",",,X,31,+","0",",,X,31,+","113.8",",,X,16,","30.6",",X,29,+","","","0.0",",X","222.6",",,,X","0",",,,X","26.80",",X","29.52",",,,X","24.07",",,,X"
"RPW00041232","1966-01","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","256.6","X","256.6",",X","16",",X","8",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","21.7",",X,11,","0",",,X,31,+","0",",,X,31,+","18.3",",,X,18,","30.6",",X,27,+","","","0.0",",X","76.3",",,,X","0",",,,X","26.61",",X","29.63",",,,X","23.59",",,,X"
"RPW00041232","1966-02","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","500.1","X","243.5",",X","11",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","0",",X","","","","","22.8",",X,28,+","0",",,X,28,+","0",",,X,28,+","26.2",",,X,28,","31.7",",X,25,","","","0.0",",X","53.4",",,,X","0",",,,X","27.03",",X","30.22",",,,X","23.84",",,,X"
"RPW00041232","1966-03","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","790.8","X","290.7",",X","6",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","4",",X","","","","","22.8",",X,26,+","0",",,X,31,+","0",",,X,31,+","21.1",",,X,14,","32.8",",X,27,","","","0.0",",X","26.0",",,,X","0",",,,X","27.71",",X","30.96",",,,X","24.46",",,,X"
"RPW00041232","1966-04","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","1108.6","X","317.8",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","17",",X","","","1","","24.4",",X,28,","0",",,X,30,+","0",",,X,30,+","4.8",",,X,23,","33.3",",X,16,","","","0.0",",X","8.0",",,,X","0",",,,X","28.93",",X","31.99",",,,X","25.86",",,,X"
"RPW00041232","1966-05","10.31667","123.96667","13.1","MACTAN ISLAND AF, RP","1429.2","X","320.6",",X","14",",X","10",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","18",",X","6","","13","","22.8",",X,28,","0",",,X,31,+","0",",,X,31,+","54.6",",,X,16,","34.4",",X,04,","","","0.0",",X","229.9",",,,X","0",",,,X","28.67",",X","31.82",",,,X","25.53",",,,X"
