"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"RSM00030683","1936-01","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","2",",I","0",",I","0",",I","","","","","","","","","","","1.0",",,I,19,","","","1.7",",,,I","",""
"RSM00030683","1936-02","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","0",",I","0",",I","0",",I","","","","","","","","","","","0.2",",,I,12,","","","0.2",",,,I","",""
"RSM00030683","1936-03","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","1",",I","0",",I","0",",I","","","","","","","","","","","1.0",",,I,22,","","","1.0",",,,I","",""
"RSM00030683","1936-04","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","8",",I","3",",I","0",",I","","","","","","","","","","","11.2",",,I,24,","","","21.1",",,,I","",""
"RSM00030683","1936-05","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","9",",I","5",",I","0",",I","","","","","","","","","","","16.8",",,I,27,","","","44.5",",,,I","",""
"RSM00030683","1936-06","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","17",",I","10",",I","1",",I","","","","","","","","","","","39.1",",,I,10,","","","130.4",",,,I","",""
"RSM00030683","1936-07","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","14",",I","8",",I","1",",I","","","","","","","","","","","36.6",",,I,21,","","","102.5",",,,I","",""
"RSM00030683","1936-08","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","14",",I","9",",I","2",",I","","","","","","","","","","","32.3",",,I,07,","","","128.6",",,,I","",""
"RSM00030683","1936-09","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","9",",I","5",",I","0",",I","","","","","","","","","","","20.1",",,I,04,","","","54.3",",,,I","",""
"RSM00030683","1936-10","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","10",",I","4",",I","0",",I","","","","","","","","","","","11.3",",,I,10,","","","29.6",",,,I","",""
"RSM00030683","1936-11","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","5",",I","1",",I","0",",I","","","","","","","","","","","5.4",",,I,07,","","","8.0",",,,I","",""
"RSM00030683","1936-12","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","4",",I","0",",I","0",",I","","","","","","","","","","","0.5",",,I,16,","","","1.8",",,,I","",""
"RSM00030683","1937-01","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","1",",I","0",",I","0",",I","","","","","","","","","","","0.3",",,I,03,","","","0.4",",,,I","",""
"RSM00030683","1937-02","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","1",",I","0",",I","0",",I","","","","","","","","","","","1.7",",,I,22,","","","1.8",",,,I","",""
"RSM00030683","1937-03","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","1",",I","0",",I","0",",I","","","","","","","","","","","0.3",",,I,27,","","","0.5",",,,I","",""
"RSM00030683","1937-04","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","6",",I","4",",I","0",",I","","","","","","","","","","","13.5",",,I,30,","","","26.6",",,,I","",""
"RSM00030683","1937-05","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","4",",I","2",",I","0",",I","","","","","","","","","","","5.4",",,I,01,","","","11.6",",,,I","",""
"RSM00030683","1937-06","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","13",",I","10",",I","0",",I","","","","","","","","","","","19.9",",,I,20,","","","113.7",",,,I","",""
"RSM00030683","1937-07","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","14",",I","8",",I","1",",I","","","","","","","","","","","40.5",",,I,20,","","","99.9",",,,I","",""
"RSM00030683","1937-08","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","11",",I","8",",I","1",",I","","","","","","","","","","","80.8",",,I,02,","","","153.9",",,,I","",""
"RSM00030683","1937-09","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","11",",I","5",",I","1",",I","","","","","","","","","","","26.9",",,I,01,","","","62.9",",,,I","",""
"RSM00030683","1937-10","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","4",",I","2",",I","0",",I","","","","","","","","","","","10.4",",,I,11,","","","14.3",",,,I","",""
"RSM00030683","1937-11","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","6",",I","0",",I","0",",I","","","","","","","","","","","2.4",",,I,03,","","","8.5",",,,I","",""
"RSM00030683","1937-12","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","3",",I","1",",I","0",",I","","","","","","","","","","","4.0",",,I,09,","","","6.0",",,,I","",""
"RSM00030683","1938-01","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","4",",I","1",",I","0",",I","","","","","","","","","","","3.1",",,I,18,","","","5.6",",,,I","",""
"RSM00030683","1938-02","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","3",",I","0",",I","0",",I","","","","","","","","","","","1.4",",,I,25,","","","3.3",",,,I","",""
"RSM00030683","1938-03","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","2",",I","2",",I","0",",I","","","","","","","","","","","21.0",",,I,04,","","","26.6",",,,I","",""
"RSM00030683","1938-04","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","8",",I","3",",I","0",",I","","","","","","","","","","","16.9",",,I,29,","","","32.7",",,,I","",""
"RSM00030683","1938-05","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","7",",I","6",",I","1",",I","","","","","","","","","","","37.6",",,I,30,","","","74.3",",,,I","",""
"RSM00030683","1938-06","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","12",",I","9",",I","1",",I","","","","","","","","","","","46.1",",,I,19,","","","123.9",",,,I","",""
"RSM00030683","1938-07","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","13",",I","8",",I","2",",I","","","","","","","","","","","37.6",",,I,11,","","","131.4",",,,I","",""
"RSM00030683","1938-08","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","8",",I","6",",I","0",",I","","","","","","","","","","","24.4",",,I,31,","","","64.0",",,,I","",""
"RSM00030683","1938-09","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","10",",I","7",",I","0",",I","","","","","","","","","","","24.6",",,I,08,","","","79.5",",,,I","",""
"RSM00030683","1938-10","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","5",",I","3",",I","0",",I","","","","","","","","","","","5.9",",,I,25,","","","17.7",",,,I","",""
"RSM00030683","1938-11","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","5",",I","1",",I","0",",I","","","","","","","","","","","9.2",",,I,06,","","","13.6",",,,I","",""
"RSM00030683","1938-12","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","1",",I","0",",I","0",",I","","","","","","","","","","","1.4",",,I,03,","","","1.6",",,,I","",""
"RSM00030683","1939-01","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","3",",I","0",",I","0",",I","","","","","","","","","","","2.2",",,I,30,","","","4.5",",,,I","",""
"RSM00030683","1939-02","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","0",",I","0",",I","0",",I","","","","","","","","","","","0.0",",,I,28,+","","","0.0",",,,I","",""
"RSM00030683","1939-03","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","4",",I","3",",I","0",",I","","","","","","","","","","","7.9",",,I,08,","","","20.0",",,,I","",""
"RSM00030683","1939-04","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","3",",I","1",",I","0",",I","","","","","","","","","","","2.7",",,I,19,","","","4.9",",,,I","",""
"RSM00030683","1939-05","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","17",",I","10",",I","0",",I","","","","","","","","","","","9.0",",,I,07,","","","73.4",",,,I","",""
"RSM00030683","1939-06","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","13",",I","10",",I","0",",I","","","","","","","","","","","20.0",",,I,16,","","","120.8",",,,I","",""
"RSM00030683","1939-07","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","8",",I","4",",I","0",",I","","","","","","","","","","","11.8",",,I,10,","","","38.0",",,,I","",""
"RSM00030683","1939-08","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","11",",I","9",",I","0",",I","","","","","","","","","","","16.9",",,I,01,","","","95.1",",,,I","",""
"RSM00030683","1939-09","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","9",",I","5",",I","1",",I","","","","","","","","","","","32.7",",,I,11,","","","53.6",",,,I","",""
"RSM00030683","1939-10","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","3",",I","1",",I","0",",I","","","","","","","","","","","3.8",",,I,12,","","","4.5",",,,I","",""
"RSM00030683","1939-11","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","5",",I","1",",I","0",",I","","","","","","","","","","","2.5",",,I,01,","","","7.2",",,,I","",""
"RSM00030683","1939-12","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","2",",I","0",",I","0",",I","","","","","","","","","","","0.7",",,I,27,+","","","1.4",",,,I","",""
"RSM00030683","1940-01","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","2",",I","1",",I","0",",I","","","","","","","","","","","2.6",",,I,02,","","","4.6",",,,I","",""
"RSM00030683","1940-02","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","3",",I","0",",I","0",",I","","","","","","","","","","","1.8",",,I,19,","","","3.2",",,,I","",""
"RSM00030683","1940-03","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","3",",I","0",",I","0",",I","","","","","","","","","","","0.9",",,I,28,","","","1.9",",,,I","",""
"RSM00030683","1940-04","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","8",",I","5",",I","0",",I","","","","","","","","","","","8.2",",,I,28,","","","27.3",",,,I","",""
"RSM00030683","1940-05","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","9",",I","4",",I","0",",I","","","","","","","","","","","5.5",",,I,05,","","","17.5",",,,I","",""
"RSM00030683","1940-06","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","9",",I","5",",I","0",",I","","","","","","","","","","","22.0",",,I,28,","","","65.4",",,,I","",""
"RSM00030683","1940-07","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","11",",I","10",",I","1",",I","","","","","","","","","","","53.7",",,I,03,","","","130.2",",,,I","",""
"RSM00030683","1940-08","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","8",",I","8",",I","1",",I","","","","","","","","","","","35.0",",,I,20,","","","85.3",",,,I","",""
"RSM00030683","1940-09","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","6",",I","4",",I","0",",I","","","","","","","","","","","20.0",",,I,07,","","","49.0",",,,I","",""
"RSM00030683","1940-10","53.967","121.933","522.0","EROFEJ PAVLOVIC, RS","9",",I","1",",I","0",",I","","","","","","","","","","","11.8",",,I,14,","","","22.1",",,,I","",""
