"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00031416","1936-01","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","0.0","r","0.0",",r","8",",r","0",",r","0",",r","","","26",",r","31",",r","31",",r","0",",r","0",",r","-45.4",",r,03,","","","1.9",",,r,19,","-5.2",",r,20,","","","1288.3",",r","5.7",",,,r","-23.22",",r","-17.49",",,,r","-28.96",",,,r"
"RSM00031416","1936-02","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","0.0","r","0.0",",r","1",",r","0",",r","0",",r","","","26",",r","29",",r","29",",r","0",",r","0",",r","-35.0",",r,03,","","","0.3",",,r,09,","-5.0",",r,13,","","","1052.3",",r","0.6",",,,r","-17.95",",r","-11.30",",,,r","-24.60",",,,r"
"RSM00031416","1936-03","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","0.0","r","0.0",",r","5",",r","0",",r","0",",r","","","16",",r","31",",r","29",",r","0",",r","0",",r","-29.9",",r,08,","","","0.6",",,r,15,","2.5",",r,31,","","","965.8",",r","2.4",",,,r","-12.82",",r","-5.92",",,,r","-19.73",",,,r"
"RSM00031416","1936-04","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","0.0","r","0.0",",r","6",",r","3",",r","0",",r","","","1",",r","29",",r","3",",r","0",",r","0",",r","-19.0",",r,04,","","","8.1",",,r,19,","12.9",",r,13,","","","560.1",",r","23.6",",,,r","-0.34",",r","5.70",",,,r","-6.37",",,,r"
"RSM00031416","1936-05","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","0.0","r","0.0",",r","3",",r","1",",r","0",",r","","","0",",r","12",",r","0",",r","11",",r","0",",r","-4.3",",r,02,","","","4.4",",,r,12,","27.5",",r,31,","","","294.5",",r","7.3",",,,r","8.83",",r","16.20",",,,r","1.46",",,,r"
"RSM00031416","1936-06","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","30.6","r","30.6",",r","12",",r","5",",r","0",",r","","","0",",r","0",",r","0",",r","23",",r","1",",r","3.6",",r,06,","","","8.9",",,r,13,","32.8",",r,23,","","","97.2",",r","37.5",",,,r","16.11",",r","23.44",",,,r","8.78",",,,r"
"RSM00031416","1936-07","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","45.1","r","14.5",",r","10",",r","7",",r","0",",r","","","0",",r","0",",r","0",",r","22",",r","0",",r","6.7",",r,01,","","","20.2",",,r,25,","30.0",",r,03,","62.9","r","62.9",",r","76.9",",,,r","16.77",",r","23.25",",,,r","10.29",",,,r"
"RSM00031416","1936-08","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","62.1","r","17.0",",r","17",",r","10",",r","1",",r","","","0",",r","0",",r","0",",r","21",",r","0",",r","7.0",",r,02,","","","37.9",",,r,04,","27.7",",r,08,","110.0","r","47.1",",r","109.3",",,,r","17.36",",r","22.77",",,,r","11.95",",,,r"
"RSM00031416","1936-09","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","68.5","r","6.4",",r","11",",r","8",",r","0",",r","","","0",",r","1",",r","0",",r","5",",r","0",",r","-0.4",",r,26,","","","23.4",",,r,10,","31.3",",r,03,","306.2","r","196.2",",r","104.4",",,,r","12.01",",r","17.32",",,,r","6.69",",,,r"
"RSM00031416","1936-10","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","68.5","r","0.0",",r","8",",r","3",",r","0",",r","","","0",",r","23",",r","1",",r","1",",r","0",",r","-8.5",",r,24,","","","14.6",",,r,07,","22.8",",r,02,","782.2","r","476.0",",r","28.4",",,,r","2.98",",r","7.61",",,,r","-1.65",",,,r"
"RSM00031416","1936-11","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","68.5","r","0.0",",r","9",",r","5",",r","0",",r","","","18",",r","30",",r","29",",r","0",",r","0",",r","-36.9",",r,19,","","","11.4",",,r,30,","0.5",",r,09,","1779.9","r","997.7",",r","36.4",",,,r","-14.92",",r","-8.52",",,,r","-21.32",",,,r"
"RSM00031416","1936-12","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","68.5","r","0.0",",r","6",",r","1",",r","0",",r","","","29",",r","31",",r","31",",r","0",",r","0",",r","-45.5",",r,14,","","","5.9",",,r,02,","-3.7",",r,02,","3225.8","r","1445.9",",r","10.0",",,,r","-28.31",",r","-21.26",",,,r","-35.36",",,,r"
"RSM00031416","1937-01","52.4167","136.5","73.0","IM. POLINY OSIPENKO, RS","0.0","r","0.0",",r","1",",r","0",",r","0",",r","","","31",",r","31",",r","31",",r","0",",r","0",",r","-45.6",",r,28,","","","0.4",",,r,01,","-13.2",",r,01,","4763.6","r","1537.8",",r","0.7",",,,r","-31.27",",r","-22.83",",,,r","-39.72",",,,r"
