"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SF000107420","1924-04","-34.37","21.42","15.0","STILBAAI BOS, SF","2",",I","2",",I","0",",I","11.9",",,I,29,","15.7",",,,I"
"SF000107420","1924-05","-34.37","21.42","15.0","STILBAAI BOS, SF","5",",I","4",",I","0",",I","9.7",",,I,01,","30.4",",,,I"
"SF000107420","1924-06","-34.37","21.42","15.0","STILBAAI BOS, SF","7",",I","5",",I","0",",I","18.5",",,I,10,","54.1",",,,I"
"SF000107420","1924-07","-34.37","21.42","15.0","STILBAAI BOS, SF","3",",I","2",",I","0",",I","8.4",",,I,25,","15.2",",,,I"
"SF000107420","1924-08","-34.37","21.42","15.0","STILBAAI BOS, SF","7",",I","7",",I","0",",I","24.9",",,I,06,","59.6",",,,I"
"SF000107420","1924-09","-34.37","21.42","15.0","STILBAAI BOS, SF","2",",I","2",",I","0",",I","8.9",",,I,21,","11.7",",,,I"
"SF000107420","1924-10","-34.37","21.42","15.0","STILBAAI BOS, SF","2",",I","2",",I","0",",I","7.4",",,I,06,","12.7",",,,I"
"SF000107420","1924-11","-34.37","21.42","15.0","STILBAAI BOS, SF","4",",I","4",",I","0",",I","11.4",",,I,06,","31.7",",,,I"
"SF000107420","1924-12","-34.37","21.42","15.0","STILBAAI BOS, SF","3",",I","3",",I","0",",I","5.8",",,I,05,","13.2",",,,I"
"SF000107420","1925-01","-34.37","21.42","15.0","STILBAAI BOS, SF","3",",I","3",",I","0",",I","14.7",",,I,13,","24.4",",,,I"
"SF000107420","1925-02","-34.37","21.42","15.0","STILBAAI BOS, SF","1",",I","0",",I","0",",I","1.8",",,I,11,","1.8",",,,I"
"SF000107420","1925-03","-34.37","21.42","15.0","STILBAAI BOS, SF","5",",I","2",",I","0",",I","11.9",",,I,15,","20.8",",,,I"
"SF000107420","1925-04","-34.37","21.42","15.0","STILBAAI BOS, SF","4",",I","4",",I","0",",I","12.4",",,I,23,","30.4",",,,I"
