"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00137606","1957-06","55.92","14.28","5.0","AHUS, SW","8",",E","7",",E","0",",E","7.5",",,E,05,","33.2",",,,E"
"SWE00137606","1957-07","55.92","14.28","5.0","AHUS, SW","9",",E","7",",E","0",",E","13.7",",,E,17,","60.2",",,,E"
"SWE00137606","1957-08","55.92","14.28","5.0","AHUS, SW","13",",E","7",",E","0",",E","17.0",",,E,16,","67.0",",,,E"
"SWE00137606","1957-09","55.92","14.28","5.0","AHUS, SW","12",",E","5",",E","0",",E","8.5",",,E,22,","31.4",",,,E"
"SWE00137606","1957-10","55.92","14.28","5.0","AHUS, SW","11",",E","6",",E","0",",E","4.7",",,E,31,","26.4",",,,E"
"SWE00137606","1957-11","55.92","14.28","5.0","AHUS, SW","5",",E","1",",E","0",",E","17.0",",,E,10,","21.7",",,,E"
"SWE00137606","1957-12","55.92","14.28","5.0","AHUS, SW","8",",E","5",",E","0",",E","10.0",",,E,08,","29.3",",,,E"
"SWE00137606","1958-01","55.92","14.28","5.0","AHUS, SW","8",",E","4",",E","0",",E","7.2",",,E,05,","20.3",",,,E"
"SWE00137606","1958-02","55.92","14.28","5.0","AHUS, SW","11",",E","9",",E","0",",E","14.0",",,E,15,","72.0",",,,E"
"SWE00137606","1958-03","55.92","14.28","5.0","AHUS, SW","11",",E","4",",E","0",",E","5.7",",,E,10,","25.5",",,,E"
"SWE00137606","1958-04","55.92","14.28","5.0","AHUS, SW","9",",E","2",",E","0",",E","7.3",",,E,27,","19.9",",,,E"
"SWE00137606","1958-05","55.92","14.28","5.0","AHUS, SW","14",",E","7",",E","0",",E","15.3",",,E,14,","63.9",",,,E"
"SWE00137606","1958-06","55.92","14.28","5.0","AHUS, SW","5",",E","3",",E","0",",E","15.0",",,E,01,","30.0",",,,E"
"SWE00137606","1958-07","55.92","14.28","5.0","AHUS, SW","11",",E","7",",E","0",",E","10.5",",,E,16,","49.7",",,,E"
"SWE00137606","1958-08","55.92","14.28","5.0","AHUS, SW","12",",E","5",",E","0",",E","25.1",",,E,23,","73.2",",,,E"
"SWE00137606","1958-09","55.92","14.28","5.0","AHUS, SW","7",",E","4",",E","0",",E","8.8",",,E,15,","27.2",",,,E"
"SWE00137606","1958-10","55.92","14.28","5.0","AHUS, SW","12",",E","3",",E","0",",E","13.4",",,E,15,","39.7",",,,E"
"SWE00137606","1958-11","55.92","14.28","5.0","AHUS, SW","7",",E","4",",E","0",",E","18.5",",,E,01,","48.9",",,,E"
"SWE00137606","1958-12","55.92","14.28","5.0","AHUS, SW","13",",E","9",",E","0",",E","11.5",",,E,25,","55.2",",,,E"
"SWE00137606","1959-01","55.92","14.28","5.0","AHUS, SW","14",",E","6",",E","0",",E","7.0",",,E,11,","34.5",",,,E"
"SWE00137606","1959-02","55.92","14.28","5.0","AHUS, SW","2",",E","0",",E","0",",E","1.2",",,E,20,","1.7",",,,E"
"SWE00137606","1959-03","55.92","14.28","5.0","AHUS, SW","5",",E","2",",E","0",",E","6.9",",,E,04,","11.6",",,,E"
"SWE00137606","1959-04","55.92","14.28","5.0","AHUS, SW","13",",E","7",",E","1",",E","31.7",",,E,10,","61.1",",,,E"
"SWE00137606","1959-05","55.92","14.28","5.0","AHUS, SW","3",",E","0",",E","0",",E","0.5",",,E,18,+","1.3",",,,E"
