"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00139202","1970-04","59.96","18.35","20.0","VALLNORA D, SW","13",",E","7",",E","0",",E","","","","","8.6",",,E,18,","40.3",",,,E"
"SWE00139202","1970-05","59.96","18.35","20.0","VALLNORA D, SW","4",",E","2",",E","0",",E","","","","","7.9",",,E,19,","12.0",",,,E"
"SWE00139202","1970-06","59.96","18.35","20.0","VALLNORA D, SW","4",",E","3",",E","0",",E","","","","","12.5",",,E,25,","25.2",",,,E"
"SWE00139202","1970-07","59.96","18.35","20.0","VALLNORA D, SW","18",",E","14",",E","0",",E","","","","","9.5",",,E,26,","77.5",",,,E"
"SWE00139202","1970-08","59.96","18.35","20.0","VALLNORA D, SW","6",",E","2",",E","0",",E","","","","","9.1",",,E,06,","17.2",",,,E"
"SWE00139202","1970-09","59.96","18.35","20.0","VALLNORA D, SW","15",",E","10",",E","0",",E","","","","","7.9",",,E,24,","59.5",",,,E"
"SWE00139202","1970-10","59.96","18.35","20.0","VALLNORA D, SW","15",",E","5",",E","0",",E","","","","","11.0",",,E,19,","48.5",",,,E"
"SWE00139202","1970-11","59.96","18.35","20.0","VALLNORA D, SW","19",",E","12",",E","0",",E","","","","","9.2",",,E,09,","71.3",",,,E"
"SWE00139202","1970-12","59.96","18.35","20.0","VALLNORA D, SW","13",",E","8",",E","0",",E","","","","","9.8",",,E,20,","53.8",",,,E"
"SWE00139202","1971-02","59.96","18.35","20.0","VALLNORA D, SW","16",",E","6",",E","0",",E","","","","","7.0",",,E,28,","45.4",",,,E"
"SWE00139202","1971-03","59.96","18.35","20.0","VALLNORA D, SW","15",",E","4",",E","0",",E","","","","","4.9",",,E,17,","27.3",",,,E"
"SWE00139202","1971-04","59.96","18.35","20.0","VALLNORA D, SW","9",",E","2",",E","0",",E","","","","","6.5",",,E,07,","16.9",",,,E"
"SWE00139202","1971-05","59.96","18.35","20.0","VALLNORA D, SW","5",",E","2",",E","0",",E","","","","","7.5",",,E,25,","11.4",",,,E"
"SWE00139202","1971-06","59.96","18.35","20.0","VALLNORA D, SW","2",",E","1",",E","0",",E","","","","","10.3",",,E,16,","11.2",",,,E"
"SWE00139202","1971-07","59.96","18.35","20.0","VALLNORA D, SW","15",",E","7",",E","0",",E","","","","","15.0",",,E,16,","65.2",",,,E"
"SWE00139202","1971-08","59.96","18.35","20.0","VALLNORA D, SW","12",",E","10",",E","0",",E","","","","","20.7",",,E,14,","79.5",",,,E"
"SWE00139202","1971-09","59.96","18.35","20.0","VALLNORA D, SW","12",",E","3",",E","0",",E","","","","","4.4",",,E,14,","27.8",",,,E"
"SWE00139202","1971-10","59.96","18.35","20.0","VALLNORA D, SW","13",",E","5",",E","0",",E","","","","","14.4",",,E,09,","58.4",",,,E"
"SWE00139202","1971-11","59.96","18.35","20.0","VALLNORA D, SW","16",",E","9",",E","0",",E","","","","","15.0",",,E,18,","58.7",",,,E"
"SWE00139202","1971-12","59.96","18.35","20.0","VALLNORA D, SW","13",",E","4",",E","0",",E","","","","","6.9",",,E,07,","28.8",",,,E"
"SWE00139202","1972-01","59.96","18.35","20.0","VALLNORA D, SW","12",",E","4",",E","0",",E","","","","","4.6",",,E,31,","22.6",",,,E"
"SWE00139202","1972-02","59.96","18.35","20.0","VALLNORA D, SW","13",",E","7",",E","0",",E","","","","","8.7",",,E,20,","40.9",",,,E"
"SWE00139202","1972-03","59.96","18.35","20.0","VALLNORA D, SW","7",",E","3",",E","0",",E","","","","","9.0",",,E,26,","26.7",",,,E"
"SWE00139202","1972-04","59.96","18.35","20.0","VALLNORA D, SW","14",",E","3",",E","0",",E","","","","","3.9",",,E,03,","28.1",",,,E"
"SWE00139202","1972-05","59.96","18.35","20.0","VALLNORA D, SW","10",",E","5",",E","0",",E","","","","","8.8",",,E,31,","35.7",",,,E"
"SWE00139202","1972-06","59.96","18.35","20.0","VALLNORA D, SW","7",",E","2",",E","0",",E","","","","","19.2",",,E,12,","25.1",",,,E"
"SWE00139202","1972-07","59.96","18.35","20.0","VALLNORA D, SW","10",",E","8",",E","0",",E","","","","","13.0",",,E,06,","61.0",",,,E"
"SWE00139202","1972-08","59.96","18.35","20.0","VALLNORA D, SW","15",",E","5",",E","1",",E","","","","","34.0",",,E,02,","91.2",",,,E"
"SWE00139202","1972-09","59.96","18.35","20.0","VALLNORA D, SW","14",",E","8",",E","0",",E","","","","","10.6",",,E,23,","49.0",",,,E"
"SWE00139202","1972-10","59.96","18.35","20.0","VALLNORA D, SW","10",",E","3",",E","0",",E","","","","","9.5",",,E,12,","32.2",",,,E"
"SWE00139202","1972-11","59.96","18.35","20.0","VALLNORA D, SW","17",",E","3",",E","0",",E","","","","","10.9",",,E,01,","38.4",",,,E"
"SWE00139202","1972-12","59.96","18.35","20.0","VALLNORA D, SW","9",",E","2",",E","0",",E","","","","","5.4",",,E,09,","15.7",",,,E"
"SWE00139202","1973-01","59.96","18.35","20.0","VALLNORA D, SW","12",",E","5",",E","0",",E","","","","","9.2",",,E,27,","29.7",",,,E"
"SWE00139202","1973-02","59.96","18.35","20.0","VALLNORA D, SW","10",",E","7",",E","0",",E","","","","","13.1",",,E,16,","58.5",",,,E"
"SWE00139202","1973-03","59.96","18.35","20.0","VALLNORA D, SW","5",",E","2",",E","0",",E","","","","","5.2",",,E,17,","12.4",",,,E"
"SWE00139202","1973-04","59.96","18.35","20.0","VALLNORA D, SW","20",",E","3",",E","0",",E","","","","","18.0",",,E,18,","55.3",",,,E"
"SWE00139202","1973-05","59.96","18.35","20.0","VALLNORA D, SW","10",",E","5",",E","0",",E","","","","","6.5",",,E,19,","28.9",",,,E"
"SWE00139202","1973-06","59.96","18.35","20.0","VALLNORA D, SW","8",",E","5",",E","0",",E","","","","","19.6",",,E,29,","40.5",",,,E"
"SWE00139202","1973-07","59.96","18.35","20.0","VALLNORA D, SW","11",",E","8",",E","0",",E","","","","","21.7",",,E,25,","92.3",",,,E"
"SWE00139202","1973-08","59.96","18.35","20.0","VALLNORA D, SW","10",",E","4",",E","0",",E","","","","","18.0",",,E,20,","47.9",",,,E"
"SWE00139202","1973-09","59.96","18.35","20.0","VALLNORA D, SW","15",",E","9",",E","0",",E","","","","","7.8",",,E,25,","44.9",",,,E"
"SWE00139202","1973-10","59.96","18.35","20.0","VALLNORA D, SW","11",",E","5",",E","0",",E","","","","","9.5",",,E,29,","29.4",",,,E"
"SWE00139202","1973-11","59.96","18.35","20.0","VALLNORA D, SW","13",",E","9",",E","0",",E","","","","","14.5",",,E,25,","73.4",",,,E"
"SWE00139202","1973-12","59.96","18.35","20.0","VALLNORA D, SW","18",",E","6",",E","0",",E","","","","","8.0",",,E,16,","46.4",",,,E"
"SWE00139202","1974-01","59.96","18.35","20.0","VALLNORA D, SW","12",",E","4",",E","0",",E","","","","","15.0",",,E,15,","35.1",",,,E"
"SWE00139202","1974-02","59.96","18.35","20.0","VALLNORA D, SW","10",",E","5",",E","0",",E","","","","","9.9",",,E,07,","34.4",",,,E"
"SWE00139202","1974-03","59.96","18.35","20.0","VALLNORA D, SW","5",",E","3",",E","0",",E","","","","","20.7",",,E,21,","27.9",",,,E"
"SWE00139202","1974-04","59.96","18.35","20.0","VALLNORA D, SW","6",",E","3",",E","0",",E","","","","","6.6",",,E,14,","16.9",",,,E"
"SWE00139202","1974-05","59.96","18.35","20.0","VALLNORA D, SW","7",",E","5",",E","0",",E","","","","","8.6",",,E,29,","34.7",",,,E"
"SWE00139202","1974-06","59.96","18.35","20.0","VALLNORA D, SW","13",",E","7",",E","0",",E","","","","","8.2",",,E,21,","47.8",",,,E"
"SWE00139202","1974-07","59.96","18.35","20.0","VALLNORA D, SW","19",",E","13",",E","1",",E","","","","","29.5",",,E,11,","120.8",",,,E"
"SWE00139202","1974-08","59.96","18.35","20.0","VALLNORA D, SW","7",",E","3",",E","0",",E","","","","","15.5",",,E,28,","27.5",",,,E"
"SWE00139202","1974-09","59.96","18.35","20.0","VALLNORA D, SW","15",",E","8",",E","0",",E","","","","","13.5",",,E,29,","49.8",",,,E"
"SWE00139202","1974-10","59.96","18.35","20.0","VALLNORA D, SW","19",",E","13",",E","0",",E","","","","","24.3",",,E,02,","121.1",",,,E"
"SWE00139202","1974-11","59.96","18.35","20.0","VALLNORA D, SW","17",",E","14",",E","0",",E","","","","","9.6",",,E,16,","93.1",",,,E"
"SWE00139202","1974-12","59.96","18.35","20.0","VALLNORA D, SW","14",",E","7",",E","0",",E","","","","","10.6",",,E,12,","49.9",",,,E"
"SWE00139202","1975-01","59.96","18.35","20.0","VALLNORA D, SW","12",",E","6",",E","0",",E","","","","","11.5",",,E,09,","43.8",",,,E"
"SWE00139202","1975-02","59.96","18.35","20.0","VALLNORA D, SW","4",",E","2",",E","0",",E","","","","","3.9",",,E,01,","10.2",",,,E"
