"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"TI000038598","1977-01","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","12",",I","3",",I","0",",I","4.2",",,I,10,","22.2",",,,I"
"TI000038598","1977-02","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","6",",I","0",",I","0",",I","2.4",",,I,02,","5.6",",,,I"
"TI000038598","1977-03","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","5",",I","3",",I","0",",I","4.8",",,I,25,","14.4",",,,I"
"TI000038598","1977-04","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","2",",I","0",",I","0",",I","1.3",",,I,17,","1.9",",,,I"
"TI000038598","1977-05","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","5",",I","1",",I","0",",I","6.7",",,I,09,","10.7",",,,I"
"TI000038598","1977-06","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","3",",I","1",",I","0",",I","2.6",",,I,08,","3.4",",,,I"
"TI000038598","1977-07","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"TI000038598","1977-08","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","1",",I","0",",I","0",",I","0.9",",,I,16,","0.9",",,,I"
"TI000038598","1977-09","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"TI000038598","1977-10","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","12",",I","6",",I","1",",I","40.4",",,I,23,","91.6",",,,I"
"TI000038598","1977-11","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","4",",I","0",",I","0",",I","1.3",",,I,04,","2.3",",,,I"
"TI000038598","1977-12","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","11",",I","9",",I","0",",I","11.8",",,I,13,","53.9",",,,I"
"TI000038598","1978-01","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","6",",I","3",",I","0",",I","18.3",",,I,11,","28.5",",,,I"
"TI000038598","1978-02","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","4",",I","4",",I","0",",I","6.7",",,I,03,","16.5",",,,I"
"TI000038598","1978-03","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","4",",I","3",",I","0",",I","11.0",",,I,14,","19.2",",,,I"
"TI000038598","1978-04","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","11",",I","4",",I","0",",I","18.2",",,I,12,","40.4",",,,I"
"TI000038598","1978-05","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","10",",I","4",",I","0",",I","12.9",",,I,26,","33.8",",,,I"
"TI000038598","1978-06","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","4",",I","1",",I","0",",I","5.0",",,I,08,","7.5",",,,I"
"TI000038598","1978-07","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"TI000038598","1978-08","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"TI000038598","1978-09","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"TI000038598","1978-10","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","1",",I","0",",I","0",",I","1.7",",,I,19,","1.7",",,,I"
"TI000038598","1978-11","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","7",",I","5",",I","0",",I","5.9",",,I,20,","20.7",",,,I"
"TI000038598","1978-12","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","5",",I","3",",I","0",",I","9.1",",,I,09,","20.0",",,,I"
"TI000038598","1979-01","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","9",",I","5",",I","0",",I","9.9",",,I,25,","36.7",",,,I"
"TI000038598","1979-02","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","3",",I","1",",I","0",",I","3.6",",,I,13,","6.0",",,,I"
"TI000038598","1979-03","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","4",",I","1",",I","0",",I","6.1",",,I,27,","8.9",",,,I"
"TI000038598","1979-04","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","17",",I","9",",I","0",",I","12.8",",,I,18,","78.7",",,,I"
"TI000038598","1979-05","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","7",",I","2",",I","0",",I","7.8",",,I,06,","20.5",",,,I"
"TI000038598","1979-06","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","3",",I","1",",I","0",",I","3.4",",,I,10,","5.7",",,,I"
"TI000038598","1979-07","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"TI000038598","1979-08","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","2",",I","1",",I","0",",I","6.9",",,I,29,","7.7",",,,I"
"TI000038598","1979-09","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","1",",I","0",",I","0",",I","0.5",",,I,13,","0.5",",,,I"
"TI000038598","1979-10","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","2",",I","0",",I","0",",I","1.8",",,I,31,","2.3",",,,I"
"TI000038598","1979-11","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","1",",I","0",",I","0",",I","1.3",",,I,06,","1.4",",,,I"
"TI000038598","1979-12","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","4",",I","3",",I","0",",I","18.1",",,I,02,","28.4",",,,I"
"TI000038598","1980-01","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","5",",I","0",",I","0",",I","1.6",",,I,26,","3.6",",,,I"
"TI000038598","1980-02","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","10",",I","2",",I","0",",I","4.6",",,I,13,","17.9",",,,I"
"TI000038598","1980-03","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","8",",I","1",",I","0",",I","12.0",",,I,15,","18.4",",,,I"
"TI000038598","1980-04","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","10",",I","6",",I","0",",I","9.5",",,I,01,","35.9",",,,I"
"TI000038598","1980-05","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","7",",I","5",",I","0",",I","6.3",",,I,12,","26.2",",,,I"
"TI000038598","1980-06","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","5",",I","2",",I","0",",I","5.4",",,I,15,","10.9",",,,I"
"TI000038598","1980-07","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"TI000038598","1980-08","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","1",",I","0",",I","0",",I","1.4",",,I,08,","1.4",",,,I"
"TI000038598","1980-09","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"TI000038598","1980-10","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","3",",I","1",",I","0",",I","3.8",",,I,11,","6.5",",,,I"
"TI000038598","1980-11","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","6",",I","3",",I","0",",I","13.3",",,I,25,","28.8",",,,I"
"TI000038598","1980-12","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","1",",I","0",",I","0",",I","2.2",",,I,13,","2.2",",,,I"
"TI000038598","1981-01","40.3","69.8","347.0","KAYRAKUMSKAYA GMO, TI","4",",I","0",",I","0",",I","2.1",",,I,03,","7.1",",,,I"
