"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10cher009","2006-08","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","9",",N","5",",N","0",",N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","16.8",",,N,28,","39.5",",,,N","0","1,,,N"
"US10cher009","2006-09","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","9",",N","7",",N","2",",N","","","","","","","","","30.0",",,N,22,","84.4",",,,N","",""
"US10cher009","2006-10","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","4",",N","3",",N","0",",N","","","","","","","","","7.1",",,N,21,","14.5",",,,N","",""
"US10cher009","2006-11","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","2",",N","1",",N","0",",N","","","","","","","","","4.3",",,N,15,","5.8",",,,N","",""
"US10cher009","2006-12","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","3",",N","3",",N","0",",N","","","","","","","","","13.7",",,N,21,","20.8",",,,N","",""
"US10cher009","2007-01","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","3",",N","2",",N","0",",N","","","","","","","","","5.6",",,N,22,","9.2",",,,N","",""
"US10cher009","2007-02","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","5",",N","2",",N","0",",N","","","","","","","","","8.1",",,N,25,","17.8",",,,N","",""
"US10cher009","2007-03","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","4",",N","3",",N","0",",N","","","","","","","","","19.8",",,N,29,","45.4",",,,N","",""
"US10cher009","2007-04","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","10",",N","6",",N","0",",N","","","","","","","","","19.3",",,N,24,","59.1",",,,N","",""
"US10cher009","2007-05","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","9",",N","5",",N","3",",N","","","","","","","","","47.2",",,N,30,","132.5",",,,N","",""
"US10cher009","2007-06","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","8",",N","7",",N","1",",N","","","","","","","","","41.9",",,N,13,","65.9",",,,N","",""
"US10cher009","2007-07","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","5",",N","1",",N","0",",N","","","","","","","","","4.3",",,N,06,","8.6",",,,N","",""
"US10cher009","2007-08","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","13",",N","6",",N","1",",N","","","","","","","","","37.6",",,N,14,","83.0",",,,N","",""
"US10cher009","2007-09","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","6",",N","4",",N","1",",N","","","","","","","","","33.8",",,N,30,","50.8",",,,N","",""
"US10cher009","2007-10","42.4568","-100.5756","904.0","VALENTINE 28.7 S, NE US","8",",N","7",",N","1",",N","","","","","","","","","25.4",",,N,14,","67.6",",,,N","",""
