"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10doug054","2014-04","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","6",",N","4",",N","1",",N","33.8",",,N,12,","58.1",",,,N"
"US10doug054","2014-05","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","3","1,N","3","1,N","1","1,N","67.1","1,,N,12,","76.0","1,,,N"
"US10doug054","2014-07","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","2","3,N","1","3,N","0","3,N","13.0","3,,N,05,","15.0","3,,,N"
"US10doug054","2014-08","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","10","1,N","9","1,N","2","1,N","41.9","1,,N,28,","144.6","1,,,N"
"US10doug054","2014-09","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","6",",N","5",",N","1",",N","52.6",",,N,10,","76.5",",,,N"
"US10doug054","2015-04","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","4",",N","4",",N","1",",N","26.7",",,N,02,","72.1",",,,N"
"US10doug054","2015-05","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","13",",N","11",",N","1",",N","77.5",",,N,07,","153.7",",,,N"
"US10doug054","2015-06","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","7",",N","5",",N","1",",N","51.1",",,N,11,","97.1",",,,N"
"US10doug054","2015-07","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","10",",N","9",",N","0",",N","19.3",",,N,31,","96.9",",,,N"
"US10doug054","2015-08","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","6",",N","6",",N","2",",N","87.6",",,N,18,","157.7",",,,N"
"US10doug054","2015-09","41.31206","-96.177942",,"OMAHA 13.1 WNW, NE US","7",",N","7",",N","2",",N","89.2",",,N,25,","194.9",",,,N"
