"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10dund014","2004-08","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","6",",N","3",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","18.3",",,N,25,","32.7",",,,N","0",",,,N"
"US10dund014","2004-09","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","4",",N","3",",N","1",",N","","","","","","","","","40.6",",,N,15,","86.3",",,,N","",""
"US10dund014","2004-10","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","10",",N","4",",N","0",",N","","","","","","","","","22.9",",,N,06,","49.3",",,,N","",""
"US10dund014","2004-11","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","9",",N","2",",N","0",",N","","","","","","","","","9.9",",,N,18,","23.3",",,,N","",""
"US10dund014","2004-12","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","0",",N","0",",N","","","","","","","","","2.0",",,N,23,","3.5",",,,N","",""
"US10dund014","2005-01","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","0",",N","0",",N","","","","","","","","","2.3",",,N,05,","4.3",",,,N","",""
"US10dund014","2005-02","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","0",",N","0",",N","","","","","","","","","1.0",",,N,21,","1.8",",,,N","",""
"US10dund014","2005-03","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","5",",N","4",",N","0",",N","","","","","","","","","12.2",",,N,21,","28.6",",,,N","",""
"US10dund014","2005-04","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","8",",N","2",",N","0",",N","","","","","","","","","16.3",",,N,21,","34.8",",,,N","",""
"US10dund014","2005-05","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","9",",N","4",",N","0",",N","","","","","","","","","20.6",",,N,31,","49.1",",,,N","",""
"US10dund014","2005-06","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","12",",N","9",",N","1",",N","0","3,N","0","3,N","0","3,,N,30,+","0","3,,N,30,+","30.2",",,N,11,","121.0",",,,N","0","3,,,N"
"US10dund014","2005-07","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","9",",N","3",",N","0",",N","","","","","","","","","10.2",",,N,06,","28.7",",,,N","",""
"US10dund014","2005-08","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","12",",N","7",",N","2",",N","","","","","","","","","56.4",",,N,13,","155.3",",,,N","",""
"US10dund014","2005-09","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","0",",N","0",",N","","","","","","","","","0.5",",,N,14,","0.8",",,,N","",""
"US10dund014","2005-10","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","6",",N","3",",N","2",",N","","","","","","","","","41.4",",,N,10,","86.6",",,,N","",""
"US10dund014","2005-11","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","3",",N","2",",N","0",",N","","","","","","","","","6.1",",,N,28,","10.4",",,,N","",""
"US10dund014","2005-12","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","3",",N","1",",N","0",",N","","","","","","","","","2.5",",,N,07,","5.6",",,,N","",""
"US10dund014","2006-01","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","0",",N","0",",N","","","","","","","","","1.3",",,N,02,","2.3",",,,N","",""
"US10dund014","2006-02","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","3",",N","1",",N","0",",N","","","","","","","","","3.0",",,N,06,","5.3",",,,N","",""
"US10dund014","2006-03","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","5",",N","3",",N","0",",N","","","","","","","","","11.4",",,N,21,","20.9",",,,N","",""
"US10dund014","2006-04","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","1",",N","0",",N","","","","","","","","","10.9",",,N,07,","11.9",",,,N","",""
"US10dund014","2006-05","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","7",",N","4",",N","0",",N","","","","","","","","","11.2",",,N,23,","28.5",",,,N","",""
"US10dund014","2006-06","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","10",",N","5",",N","2",",N","","","","","","","","","36.1",",,N,24,","92.9",",,,N","",""
"US10dund014","2006-07","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","6",",N","4",",N","1",",N","","","","","","","","","27.2",",,N,10,","60.5",",,,N","",""
"US10dund014","2006-08","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","7",",N","4",",N","0",",N","","","","","","","","","18.5",",,N,13,","55.2",",,,N","",""
"US10dund014","2006-09","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","7",",N","4",",N","1",",N","","","","","","","","","34.8",",,N,01,","65.7",",,,N","",""
"US10dund014","2006-10","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","7",",N","5",",N","0",",N","","","","","","","","","20.1",",,N,17,","62.5",",,,N","",""
"US10dund014","2006-11","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","0",",N","0",",N","","","","","","","","","1.8",",,N,29,","2.8",",,,N","",""
"US10dund014","2006-12","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","4",",N","3",",N","1",",N","","","","","","","","","27.9",",,N,20,","55.8",",,,N","",""
"US10dund014","2007-01","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","3",",N","1",",N","0",",N","","","","","","","","","12.7",",,N,21,","15.5",",,,N","",""
"US10dund014","2007-02","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","1",",N","0",",N","","","","","","","","","3.8",",,N,25,","5.1",",,,N","",""
"US10dund014","2007-03","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","2",",N","2",",N","1",",N","","","","","","","","","29.5",",,N,29,","34.8",",,,N","",""
"US10dund014","2007-04","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","5",",N","4",",N","0",",N","","","","","","","","","16.8",",,N,25,","31.7",",,,N","",""
"US10dund014","2007-05","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","7",",N","2",",N","1",",N","","","","","","","","","26.2",",,N,30,","42.4",",,,N","",""
"US10dund014","2007-06","40.0757","-101.5947","979.9","BENKELMAN 3.7 WNW, NE US","6",",N","5",",N","2",",N","","","","","","","","","51.1",",,N,14,","138.8",",,,N","",""
