"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10otoe017","2007-06","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","7",",N","4",",N","0",",N","15.2",",,N,23,","29.2",",,,N"
"US10otoe017","2007-07","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","5",",N","3",",N","0",",N","13.2",",,N,19,","24.1",",,,N"
"US10otoe017","2007-08","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","12",",N","11",",N","2",",N","66.0",",,N,08,","228.4",",,,N"
"US10otoe017","2007-09","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","5",",N","4",",N","1",",N","38.1",",,N,07,","69.3",",,,N"
"US10otoe017","2007-10","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","9",",N","8",",N","2",",N","135.1",",,N,15,","228.1",",,,N"
"US10otoe017","2007-11","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","0",",N","0",",N","0",",N","0.0",",,N,30,+","0.0",",,,N"
"US10otoe017","2008-04","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","4","2,N","4","2,N","1","2,N","36.8","2,,N,25,","60.2","2,,,N"
"US10otoe017","2008-05","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","9",",N","9",",N","3",",N","41.9",",,N,07,","168.4",",,,N"
"US10otoe017","2008-06","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","12",",N","11",",N","4",",N","43.2",",,N,05,","251.9",",,,N"
"US10otoe017","2008-07","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","4",",N","3",",N","2",",N","48.3",",,N,18,","79.0",",,,N"
"US10otoe017","2008-08","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","2",",N","2",",N","0",",N","8.6",",,N,12,","13.7",",,,N"
"US10otoe017","2008-09","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","7",",N","7",",N","3",",N","43.2",",,N,12,","133.3",",,,N"
"US10otoe017","2008-10","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","4","2,N","4","2,N","1","2,N","33.0","2,,N,15,","92.0","2,,,N"
"US10otoe017","2009-04","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","4",",N","4",",N","1",",N","88.9",",,N,27,","110.9",",,,N"
"US10otoe017","2009-05","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","4",",N","4",",N","0",",N","24.1",",,N,16,","64.2",",,,N"
"US10otoe017","2009-06","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","7",",N","6",",N","0",",N","21.1",",,N,06,","95.0",",,,N"
"US10otoe017","2009-07","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","7",",N","7",",N","0",",N","14.7",",,N,08,","61.5",",,,N"
"US10otoe017","2009-08","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","8",",N","7",",N","1",",N","45.7",",,N,04,","116.1",",,,N"
"US10otoe017","2009-09","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","3",",N","3",",N","0",",N","17.0",",,N,04,","34.3",",,,N"
"US10otoe017","2009-10","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","9",",N","8",",N","2",",N","26.7",",,N,23,","105.7",",,,N"
"US10otoe017","2009-11","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","2",",N","2",",N","0",",N","14.7",",,N,17,","18.3",",,,N"
"US10otoe017","2011-05","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","6",",N","6",",N","2",",N","29.7",",,N,12,","114.3",",,,N"
"US10otoe017","2011-06","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","8",",N","6",",N","1",",N","27.9",",,N,25,","85.7",",,,N"
"US10otoe017","2011-07","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","6",",N","5",",N","1",",N","78.7",",,N,08,","109.0",",,,N"
"US10otoe017","2011-08","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","9",",N","8",",N","3",",N","35.6",",,N,12,","124.8",",,,N"
"US10otoe017","2011-09","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","3",",N","3",",N","1",",N","33.0",",,N,19,","39.3",",,,N"
"US10otoe017","2011-10","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","2",",N","0",",N","0",",N","1.3",",,N,10,","2.3",",,,N"
"US10otoe017","2011-11","40.6548","-95.9348","362.1","NEBRASKA CITY 4.2 WSW, NE US","1","2,N","1","2,N","0","2,N","12.7","2,,N,02,","12.7","2,,,N"
