"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10saun005","2007-09","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","4",",N","4",",N","0",",N","19.1",",,N,25,","50.1",",,,N"
"US10saun005","2007-10","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","12",",N","9",",N","2",",N","26.7",",,N,14,","125.4",",,,N"
"US10saun005","2007-11","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","0",",N","0",",N","0",",N","0.0",",T,N,22,","0.0",",T,,N"
"US10saun005","2008-03","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","1",",N","1",",N","0",",N","7.6",",,N,31,","7.6",",,,N"
"US10saun005","2008-04","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","11",",N","8",",N","0",",N","24.6",",,N,11,","104.8",",,,N"
"US10saun005","2008-05","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","12",",N","9",",N","2",",N","67.6",",,N,30,","185.0",",,,N"
"US10saun005","2008-06","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","18",",N","9",",N","3",",N","54.4",",,N,05,","196.3",",,,N"
"US10saun005","2008-07","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","8",",N","3",",N","1",",N","54.4",",,N,16,","66.6",",,,N"
"US10saun005","2008-08","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","5",",N","1",",N","0",",N","15.2",",,N,12,","20.6",",,,N"
"US10saun005","2008-09","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","13",",N","11",",N","1",",N","28.4",",,N,03,","89.7",",,,N"
"US10saun005","2008-10","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","8",",N","6",",N","1",",N","59.2",",,N,22,","135.7",",,,N"
"US10saun005","2008-11","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","5",",N","2",",N","0",",N","14.7",",,N,11,","25.1",",,,N"
"US10saun005","2008-12","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","4",",N","1",",N","0",",N","2.5",",,N,17,","4.3",",,,N"
"US10saun005","2009-01","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","0",",N","0",",N","0",",N","0.0",",,N,31,+","0.0",",,,N"
"US10saun005","2009-02","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","1",",N","0",",N","0",",N","1.8",",,N,14,","1.8",",,,N"
"US10saun005","2009-03","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","0",",N","0",",N","0",",N","0.0",",,N,31,+","0.0",",,,N"
"US10saun005","2009-04","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","11",",N","7",",N","0",",N","8.4",",,N,18,","42.8",",,,N"
"US10saun005","2009-06","41.2882","-96.6431","381.9","COLON 2.0 WSW, NE US","14",",N","11",",N","2",",N","32.0",",,N,21,","172.6",",,,N"
