"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ALSH0027","2008-09","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","10","4,N","4","4,N","1","4,N","0","4,N","0","4,,N,30,+","33.5","4,,N,15,","66.8","4,,,N","0","4,,,N"
"US1ALSH0027","2008-10","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","6","3,N","4","3,N","2","3,N","0","3,N","0","3,,N,31,+","52.1","3,,N,09,","91.1","3,,,N","0","3,,,N"
"US1ALSH0027","2008-11","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","9","2,N","5","2,N","0","2,N","0","2,N","0","2,,N,30,+","17.8","2,,N,29,","49.1","2,,,N","0","2,,,N"
"US1ALSH0027","2009-01","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","13","3,N","7","3,N","2","3,N","","","","","55.1","3,,N,07,","135.5","3,,,N","",""
"US1ALSH0027","2009-02","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","9","3,N","6","3,N","2","3,N","","","","","88.6","3,,N,28,","154.0","3,,,N","",""
"US1ALSH0027","2009-03","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","10","1,N","9","1,N","2","1,N","","","","","67.1","1,,N,26,","164.1","1,,,N","",""
"US1ALSH0027","2009-05","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","19","3,N","14","3,N","5","3,N","","","","","66.0","3,,N,16,","299.5","3,,,N","",""
"US1ALSH0027","2009-06","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","8","4,N","3","4,N","1","4,N","","","","","41.4","4,,N,15,","74.4","4,,,N","",""
"US1ALSH0027","2009-10","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","15","3,N","10","3,N","5","3,N","","","","","53.3","3,,N,05,","223.0","3,,,N","",""
"US1ALSH0027","2009-11","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","7","2,N","4","2,N","2","2,N","","","","","60.5","2,,N,11,","130.1","2,,,N","",""
"US1ALSH0027","2009-12","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","14","3,N","9","3,N","4","3,N","","","","","47.5","3,,N,25,","218.3","3,,,N","",""
"US1ALSH0027","2010-08","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","13","1,N","8","1,N","1","1,N","","","","","92.2","1,,N,15,","155.6","1,,,N","",""
"US1ALSH0027","2010-09","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","4","4,N","1","4,N","0","4,N","","","","","8.9","4,,N,27,","11.4","4,,,N","",""
"US1ALSH0027","2010-10","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","5","2,N","4","2,N","2","2,N","","","","","48.3","2,,N,25,","84.4","2,,,N","",""
"US1ALSH0027","2011-08","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","4","3,N","3","3,N","0","3,N","","","","","23.4","3,,N,21,","31.5","3,,,N","",""
"US1ALSH0027","2011-09","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","10","4,N","7","4,N","3","4,N","","","","","108.0","4,,N,06,","242.9","4,,,N","",""
"US1ALSH0027","2011-10","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","8",",N","0",",N","0",",N","","","","","2.0",",,N,11,","7.4",",,,N","",""
"US1ALSH0027","2011-11","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","8","5,N","6","5,N","1","5,N","","","","","26.9","5,,N,16,","134.3","3,a,,N","",""
"US1ALSH0027","2011-12","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","9","3,N","6","3,N","2","3,N","","","","","33.3","3,,N,23,","127.4",",a,,N","",""
"US1ALSH0027","2012-01","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","13",",N","9",",N","2",",N","","","","","51.3",",,N,27,","202.2",",,,N","",""
"US1ALSH0027","2012-05","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","10","3,N","9","3,N","1","3,N","","","","","27.4","3,,N,13,","133.9","1,a,,N","",""
"US1ALSH0027","2012-08","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","12","4,N","6","4,N","0","4,N","","","","","15.2","4,,N,01,","159.8",",a,,N","",""
"US1ALSH0027","2012-10","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","4","3,N","2","3,N","1","3,N","","","","","29.7","3,,N,15,","53.1","1,a,,N","",""
"US1ALSH0027","2012-11","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","6","2,N","4","2,N","0","2,N","","","","","17.8","2,,N,13,","40.5","2,,,N","",""
"US1ALSH0027","2012-12","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","10","4,N","6","4,N","2","4,N","","","","","40.4","4,,N,17,","136.0","4,,,N","",""
"US1ALSH0027","2013-10","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","8","1,N","4","1,N","0","1,N","","","","","23.6","1,,N,07,","46.5","1,,,N","",""
"US1ALSH0027","2014-01","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","8","5,N","4","5,N","1","5,N","","","","","47.5","5,,N,11,","70.4","5,,,N","",""
"US1ALSH0027","2014-03","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","11","5,N","6","5,N","1","5,N","","","","","41.7","5,,N,28,","127.1","5,,,N","",""
"US1ALSH0027","2014-07","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","","","","","","","","","","","","","37.2","3,a,,N","",""
"US1ALSH0027","2014-08","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","4","5,N","3","5,N","0","5,N","","","","","23.4","5,,N,03,","61.8","5,,,N","",""
"US1ALSH0027","2014-09","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","4","1,N","3","1,N","2","1,N","","","","","94.5","1,,N,16,","139.3","1,,,N","",""
"US1ALSH0027","2014-10","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","","","","","","","","","","","","","121.8","2,a,,N","",""
"US1ALSH0027","2014-11","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","6","5,N","4","5,N","1","5,N","","","","","142.5","5,,N,17,","172.8","5,,,N","",""
"US1ALSH0027","2015-01","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","8","2,N","6","2,N","2","2,N","","","","","57.4","2,,N,04,","140.1","2,,,N","",""
"US1ALSH0027","2015-04","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","","","","","","","","","","","","","236.8","1,a,,N","",""
"US1ALSH0027","2015-05","33.310567","-86.79825","191.1","PELHAM 0.6 NNW, AL US","9","4,N","5","4,N","1","4,N","","","","","27.4","4,,N,28,","58.8","4,,,N","",""
