"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1ARCK0008","2017-06","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","7","1,N","6","1,N","0","1,N","21.6","1,,N,24,","71.5","1,,,N"
"US1ARCK0008","2017-08","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","","","","","","","","","126.0","4,a,,N"
"US1ARCK0008","2017-09","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","3","2,N","1","2,N","0","2,N","14.2","2,,N,06,","16.0","2,,,N"
"US1ARCK0008","2017-10","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","7","1,N","2","1,N","0","1,N","12.7","1,,N,22,","23.1","1,,,N"
"US1ARCK0008","2017-11","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","11",",N","3",",N","0",",N","5.6",",,N,09,","19.1",",,,N"
"US1ARCK0008","2017-12","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","10","2,N","5","2,N","3","2,N","119.1","2,,N,23,","254.1","2,,,N"
"US1ARCK0008","2018-01","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","9","3,N","7","3,N","0","3,N","15.7","3,,N,16,","59.3","3,,,N"
"US1ARCK0008","2018-02","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","19","2,N","13","2,N","6","2,N","63.0","2,,N,21,","323.0","2,,,N"
"US1ARCK0008","2018-03","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","11","5,N","8","5,N","2","5,N","106.9","5,,N,01,","188.7","2,a,,N"
"US1ARCK0008","2018-04","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","13","1,N","6","1,N","3","1,N","48.3","1,,N,14,","144.6","1,,,N"
"US1ARCK0008","2018-05","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","","","","","","","","","140.2","5,a,,N"
"US1ARCK0008","2018-06","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","","","","","","","","","62.7","1,a,,N"
"US1ARCK0008","2018-07","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","13","3,N","6","3,N","0","3,N","25.1","3,,N,13,","87.1","3,,,N"
"US1ARCK0008","2018-08","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","10","1,N","6","1,N","4","1,N","67.3","1,,N,09,","188.0","1,,,N"
"US1ARCK0008","2018-09","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","14","1,N","12","1,N","1","1,N","42.7","1,,N,22,","121.7","1,,,N"
"US1ARCK0008","2018-10","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","9","5,N","5","5,N","3","5,N","43.9","5,,N,10,","171.6","1,a,,N"
"US1ARCK0008","2018-11","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","13","3,N","9","3,N","3","3,N","39.9","3,,N,01,","160.4","1,a,,N"
"US1ARCK0008","2018-12","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","12","2,N","9","2,N","5","2,N","30.2","2,,N,27,","217.6","2,,,N"
"US1ARCK0008","2019-01","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","10","2,N","6","2,N","2","2,N","32.8","2,,N,23,","98.8",",a,,N"
"US1ARCK0008","2019-02","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","12",",N","7",",N","1",",N","35.1",",,N,23,","121.6",",,,N"
"US1ARCK0008","2019-03","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","","","","","","","","","155.8",",a,,N"
"US1ARCK0008","2019-04","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","12",",N","10",",N","5",",N","79.0",",,N,18,","281.6",",,,N"
"US1ARCK0008","2019-05","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","11","4,N","9","4,N","3","4,N","93.2","4,,N,09,","292.4",",a,,N"
"US1ARCK0008","2019-07","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","","","","","","","","","215.2","2,a,,N"
"US1ARCK0008","2019-08","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","12",",N","3",",N","0",",N","15.5",",,N,25,","42.1",",,,N"
"US1ARCK0008","2019-09","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","4",",N","2",",N","0",",N","7.1",",,N,21,","14.0",",,,N"
"US1ARCK0008","2019-10","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","15","1,N","8","1,N","2","1,N","54.4","1,,N,21,","180.9","1,,,N"
"US1ARCK0008","2019-12","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","8",",N","4",",N","0",",N","23.6",",,N,29,","44.9",",,,N"
"US1ARCK0008","2020-01","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","18",",N","10",",N","2",",N","33.0",",,N,11,","133.6",",,,N"
"US1ARCK0008","2020-02","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","12","1,N","9","1,N","4","1,N","31.0","1,,N,13,","192.1","1,,,N"
"US1ARCK0008","2020-03","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","20","2,N","12","2,N","3","2,N","39.6","2,,N,31,","167.9","2,,,N"
"US1ARCK0008","2020-04","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","16",",N","11",",N","2",",N","57.7",",,N,13,","203.6",",,,N"
"US1ARCK0008","2020-05","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","15",",N","11",",N","3",",N","53.3",",,N,17,","215.3",",,,N"
"US1ARCK0008","2020-06","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","9",",N","7",",N","2",",N","95.5",",,N,22,","219.2",",,,N"
"US1ARCK0008","2020-07","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","13",",N","6",",N","0",",N","18.3",",,N,23,","66.4",",,,N"
"US1ARCK0008","2020-08","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","12",",N","7",",N","2",",N","85.1",",,N,28,","179.4",",,,N"
"US1ARCK0008","2020-10","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","","","","","","","","","90.0","4,a,,N"
"US1ARCK0008","2020-11","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","9",",N","4",",N","0",",N","19.3",",,N,25,","39.3",",,,N"
"US1ARCK0008","2020-12","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","13",",N","7",",N","1",",N","51.8",",,N,31,","143.6",",,,N"
"US1ARCK0008","2021-01","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","15",",N","6",",N","2",",N","77.7",",,N,07,","142.8",",,,N"
"US1ARCK0008","2021-02","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","8","5,N","6","5,N","1","5,N","57.9","5,,N,26,","101.9","5,,,N"
"US1ARCK0008","2021-03","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","11","3,N","6","3,N","3","3,N","44.5","3,,N,01,","183.1","3,,,N"
"US1ARCK0008","2021-04","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","11",",N","7",",N","1",",N","73.9",",,N,24,","141.0",",,,N"
"US1ARCK0008","2021-05","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","13",",N","7",",N","2",",N","35.3",",,N,12,","152.8",",,,N"
"US1ARCK0008","2021-06","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","11",",N","6",",N","1",",N","35.1",",,N,07,","104.0",",,,N"
"US1ARCK0008","2021-07","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","11","1,N","7","1,N","1","1,N","39.1","1,,N,11,","111.9","1,,,N"
"US1ARCK0008","2021-08","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","8",",N","4",",N","1",",N","32.8",",,N,20,","58.1",",,,N"
"US1ARCK0008","2021-09","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","7",",N","3",",N","0",",N","4.1",",,N,15,","12.1",",,,N"
"US1ARCK0008","2021-10","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","10","1,N","5","1,N","0","1,N","19.6","1,,N,28,","59.3","1,,,N"
"US1ARCK0008","2021-11","34.067498","-92.93825","78.6","ARKADELPHIA 8.5 ESE, AR US","9",",N","6",",N","1",",N","25.4",",,N,11,","56.3",",,,N"
