"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ARMR0014","2012-09","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","","","","","","","","","","","","","101.9","3,a,,N","",""
"US1ARMR0014","2012-10","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","7","3,N","6","3,N","1","3,N","","","","","30.5","3,,N,13,","93.3","1,a,,N","",""
"US1ARMR0014","2012-11","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","4",",N","4",",N","0",",N","0","4,N","0","4,,N,30,+","21.3",",,N,12,","32.3",",,,N","0","4,,,N"
"US1ARMR0014","2012-12","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","6",",N","5",",N","1",",N","0","5,N","0","5,,N,31,+","25.4",",,N,20,","60.7",",,,N","0","5,,,N"
"US1ARMR0014","2013-01","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","8",",N","5",",N","2",",N","","","","","47.0",",,N,30,","112.1",",,,N","",""
"US1ARMR0014","2013-02","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","11",",N","10",",N","1",",N","","","","","30.5",",,N,26,","100.6",",,,N","",""
"US1ARMR0014","2013-03","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","9",",N","6",",N","1",",N","","","","","33.0",",,N,10,","79.8",",,,N","",""
"US1ARMR0014","2013-04","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","9",",N","8",",N","0",",N","","","","","21.1",",,N,11,","106.7",",,,N","",""
"US1ARMR0014","2013-05","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","9",",N","7",",N","2",",N","","","","","30.0",",,N,03,","104.2",",,,N","",""
"US1ARMR0014","2013-06","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","5",",N","5",",N","1",",N","0","5,N","0","5,,N,30,+","32.0",",,N,18,","72.5",",,,N","0","5,,,N"
"US1ARMR0014","2013-08","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","9",",N","8",",N","0",",N","","","","","22.1",",,N,03,","140.0",",,,N","",""
"US1ARMR0014","2013-09","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","6",",N","5",",N","0",",N","","","","","20.3",",,N,20,","39.3",",,,N","",""
"US1ARMR0014","2013-10","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","10",",N","8",",N","0",",N","","","","","24.6",",,N,16,","96.3",",,,N","",""
"US1ARMR0014","2013-11","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","8","1,N","5","1,N","1","1,N","","","","","25.7","1,,N,17,","82.6","1,,,N","",""
"US1ARMR0014","2013-12","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","6",",N","5",",N","1",",N","","","","","56.1",",,N,21,","137.2",",,,N","",""
"US1ARMR0014","2014-04","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","8","2,N","5","2,N","2","2,N","","","","","36.1","2,,N,04,","107.8","2,,,N","",""
"US1ARMR0014","2014-07","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","7",",N","4",",N","1",",N","","","","","68.1",",,N,31,","100.6",",,,N","",""
"US1ARMR0014","2014-09","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","8",",N","3",",N","0",",N","","","","","8.9",",,N,03,","25.0",",,,N","",""
"US1ARMR0014","2014-10","36.17196","-92.6745381","266.4","YELLVILLE 4.0 S, AR US","","","","","","","","","","","","","132.2","1,a,,N","",""
