"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1AZNV0024","2017-01","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","9","2,N","4","2,N","0","2,N","","","","","6.9","2,,N,15,","29.1","2,,,N","",""
"US1AZNV0024","2017-02","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,28,+","4.1",",,N,19,","4.6",",,,N","0","2,,,N"
"US1AZNV0024","2017-03","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","6",",N","2",",N","1",",N","","","","","43.2",",,N,01,","53.4",",,,N","",""
"US1AZNV0024","2017-04","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,30,+","5.8",",,N,04,","5.8",",,,N","0","1,,,N"
"US1AZNV0024","2017-05","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","5","2,N","3","2,N","0","2,N","","","","","4.6","2,,N,10,","15.5","2,,,N","",""
"US1AZNV0024","2017-06","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","3","2,N","1","2,N","0","2,N","0","5,N","0","5,,N,30,+","4.6","2,,N,27,","7.7","2,,,N","0","5,,,N"
"US1AZNV0024","2017-07","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","16",",N","9",",N","0",",N","","","","","21.6",",,N,25,","127.0",",,,N","",""
"US1AZNV0024","2017-08","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","2","2,N","0","2,N","0","2,N","0","4,N","0","4,,N,31,+","1.3","2,,N,28,","1.8","2,,,N","0","4,,,N"
"US1AZNV0024","2017-09","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","4","1,N","2","1,N","0","1,N","0","5,N","0","5,,N,30,+","5.1","1,,N,13,","11.4","1,,,N","0","5,,,N"
"US1AZNV0024","2017-10","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","1",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","0.5",",,N,05,","0.5",",,,N","0","1,,,N"
"US1AZNV0024","2017-11","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1AZNV0024","2017-12","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","0","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,31,+","0.0","1,,N,31,+","0.0","1,,,N","0","1,,,N"
"US1AZNV0024","2018-01","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","1",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","0.3",",,N,07,","0.3",",,,N","0","1,,,N"
"US1AZNV0024","2018-02","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","4","2,N","3","2,N","0","2,N","","","","","7.4","2,,N,19,","18.3","2,,,N","",""
"US1AZNV0024","2018-03","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","6","1,N","1","1,N","0","1,N","","","","","3.6","1,,N,12,","6.3","1,,,N","",""
"US1AZNV0024","2018-04","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1AZNV0024","2018-05","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","5.1",",,N,02,","6.6",",,,N","0","2,,,N"
"US1AZNV0024","2018-07","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","13",",N","8",",N","0",",N","","","","","22.6",",,N,17,","80.9",",,,N","",""
"US1AZNV0024","2018-08","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","13","1,N","10","1,N","1","1,N","","","","","31.0","1,,N,18,","133.9","1,,,N","",""
"US1AZNV0024","2018-09","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","6",",N","2",",N","0",",N","","","","","13.5",",,N,20,","26.3",",,,N","",""
"US1AZNV0024","2018-10","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","15",",N","9",",N","0",",N","","","","","15.5",",,N,15,","80.8",",,,N","",""
"US1AZNV0024","2018-11","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,30,+","6.6",",,N,30,","6.6",",,,N","0","1,,,N"
"US1AZNV0024","2018-12","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","8",",N","2",",N","0",",N","3","5,N","56","5,,N,29,","5.1",",,N,02,","13.2",",,,N","119","5,,,N"
"US1AZNV0024","2019-01","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","7","2,N","4","2,N","0","2,N","4","3,N","191","3,,N,01,","10.7","2,,N,06,","31.1","2,,,N","432","3,,,N"
"US1AZNV0024","2019-02","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","11","2,N","6","2,N","0","2,N","","","","","9.7","2,,N,15,","34.8","2,,,N","",""
"US1AZNV0024","2019-03","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","5","1,N","5","1,N","1","1,N","2","3,N","76","3,,N,13,","25.4","1,,N,12,","49.0","1,,,N","101","3,,,N"
"US1AZNV0024","2019-04","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","4",",N","2",",N","0",",N","0","3,N","0","3,T,N,13,","4.6",",,N,30,","10.2",",,,N","0","3,T,,N"
"US1AZNV0024","2019-06","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1AZNV0024","2019-07","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","7",",N","6",",N","0",",N","","","","","7.1",",,N,25,","25.4",",,,N","",""
"US1AZNV0024","2019-08","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","9",",N","5",",N","0",",N","","","","","16.0",",,N,05,","43.2",",,,N","",""
"US1AZNV0024","2019-09","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","6",",N","3",",N","1",",N","","","","","49.3",",,N,24,","67.7",",,,N","",""
"US1AZNV0024","2019-10","34.397","-110.529","2025.7","OVERGAARD 1.4 ENE, AZ US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
