"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CADN0001","2008-10","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","8","1,N","5","1,N","1","1,N","0","1,N","0","1,,N,31,+","49.5","1,,N,14,","100.6","1,,,N","0","1,,,N"
"US1CADN0001","2009-01","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","14",",N","9",",N","1",",N","","","","","32.0",",,N,02,","100.2",",,,N","",""
"US1CADN0001","2009-02","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","16",",N","14",",N","5",",N","","","","","47.0",",,N,23,","304.8",",,,N","",""
"US1CADN0001","2009-03","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","16",",N","11",",N","5",",N","","","","","81.3",",,N,16,","284.9",",,,N","",""
"US1CADN0001","2009-04","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","9",",N","6",",N","0",",N","","","","","17.5",",,N,10,","50.6",",,,N","",""
"US1CADN0001","2009-05","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","11","1,N","8","1,N","3","1,N","","","","","44.7","1,,N,05,","142.6","1,,,N","",""
"US1CADN0001","2009-06","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","7",",N","2",",N","0",",N","","","","","5.8",",,N,04,","12.2",",,,N","",""
"US1CADN0001","2009-07","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","1","1,N","1","1,N","0","1,N","0","2,N","0","2,,N,31,+","3.6","1,,N,12,","3.6","1,,,N","0","2,,,N"
"US1CADN0001","2009-08","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","2",",N","0",",N","0",",N","0",",N","0",",,N,31,+","1.5",",,N,03,","2.3",",,,N","0",",,,N"
"US1CADN0001","2009-09","41.824032","-124.148236","19.8","CRESCENT CITY 5.5 NNE, CA US","4","1,N","3","1,N","0","1,N","0","5,N","0","5,,N,30,+","8.6","1,,N,06,","18.4","1,,,N","0","5,,,N"
